,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
RPL37A,3.2141237,3.5312943,3.4191158,2.885944,3.4111395,3.0359917,3.1644506,3.222724,3.2689776
LUM,0.0,0.0,0.0,3.687905,0.0,0.0,0.0,0.0,4.066654
RPS6,2.5979676,3.9592013,3.3691797,3.9044416,4.23618,3.2337842,3.6728308,4.053522,3.9204552
ANXA1,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
SEC11C,2.7384071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTF3,0.0,2.6092448,0.0,2.6381292,0.0,0.0,0.0,0.0,2.2779405
RPS2,0.0,0.0,1.3770176,2.603848,2.8094404,0.0,2.373705,2.8499343,2.373705
CD59,1.3172597,3.0362582,3.0539892,0.0,0.0,0.0,0.0,0.0,0.0
IFITM3,0.0,3.7701576,3.741089,4.3443975,3.1303434,0.0,0.0,2.547769,4.3796377
CTRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1117015,0.0
ACTB,0.0,3.1995828,0.0,3.9044416,0.0,0.0,3.6942573,0.0,3.0062912
TGFBR2,0.0,1.4272748,2.6272116,0.0,0.0,0.0,0.0,0.0,0.0
TTR,0.0,0.0,0.0,0.0,0.0,6.7527227,0.0,0.0,0.0
CD63,0.0,0.0,2.776636,2.6381292,0.0,2.7798982,2.7581758,0.0,3.3799326
TIMP1,0.0,0.0,1.3770176,6.2547526,0.0,0.0,0.0,0.0,5.101722
DNAJB1,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
RPS12,3.1922812,3.5312943,3.0164986,3.1015067,3.9306016,0.0,3.0598898,3.7764115,3.5361168
PABPC1,0.0,0.0,3.0164986,0.0,0.0,0.0,0.0,0.0,0.0
MT1G,0.0,0.0,0.0,0.0,2.663219,0.0,0.0,3.1864293,0.0
SFRP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361434
ANXA2,0.0,2.765739,2.6272116,3.2592993,0.0,0.0,2.9436815,0.0,2.4900556
NEAT1,2.4619637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOX1,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM4A,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,2.361434
ARHGDIB,0.0,0.0,0.0,0.0,0.0,0.0,2.6166916,0.0,0.0
GNAS,0.0,0.0,0.0,0.0,0.0,3.1429954,0.0,0.0,0.0
CYCS,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
PNLIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1461742,0.0
NPC2,0.0,0.0,2.6272116,0.0,0.0,0.0,3.3524806,0.0,0.0
CCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079179
RPS26,3.0864513,3.565755,3.0539892,3.2714128,3.085428,2.9293616,2.9748845,2.8245964,2.9218001
SERPING1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8294566
GCG,0.0,0.0,0.0,0.0,0.0,7.7715836,0.0,0.0,0.0
EEF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544519,2.2779405
PRSS23,0.0,0.0,2.8995793,0.0,0.0,0.0,0.0,0.0,0.0
GP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9214652,0.0
RPL11,2.8542485,3.5371099,3.1741729,3.4903219,3.5361168,2.9775345,2.9436815,3.3972187,3.2808084
MRPL22,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCN,0.0,0.0,0.0,4.2294855,0.0,0.0,0.0,0.0,4.619373
ATP5MK,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA4,2.8263795,0.0,0.0,2.8392575,0.0,0.0,2.7071173,0.0,2.5221024
TMEM258,1.4990551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5007768,0.0
CAPG,0.0,0.0,0.0,0.0,0.0,0.0,2.2677875,0.0,0.0
RPL29,2.8263795,0.0,0.0,0.0,2.49975,0.0,0.0,2.3938146,2.254699
TAGLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
INS,2.7165556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS16,1.4990551,3.1590428,3.2831938,2.8453426,3.1579585,0.0,2.9713638,2.97665,2.978419
RPS14,2.8263795,3.6144347,3.046677,3.933052,4.0704203,3.098471,3.6942573,3.8421881,3.88791
CPE,0.0,0.0,0.0,0.0,0.0,1.092263,0.0,0.0,0.0
AMY2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8775954,0.0
GHITM,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPINK1,0.0,0.0,0.0,0.0,4.4874306,0.0,0.0,5.5709047,0.0
FTH1,0.0,0.0,0.0,2.8453426,2.978419,0.0,4.0297813,0.0,4.291091
GLRX,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPC2,1.4990551,0.0,0.0,2.6381292,0.0,0.0,2.62141,0.0,0.0
RPL36A,1.1768202,0.0,2.8124762,0.0,0.0,0.0,0.0,0.0,0.0
COX6B1,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCHAIN,5.619033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSP90B1,3.0387905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA12,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-C,2.8542485,0.0,3.0714538,0.0,0.0,0.0,0.0,0.0,0.0
RPS18,4.033951,3.6052437,3.118209,4.368461,4.0885115,3.0864253,3.4996157,3.918318,3.9838612
VSIG4,0.0,0.0,0.0,0.0,0.0,0.0,2.2677875,0.0,0.0
RPL21,3.7179985,3.7914371,3.9365277,3.8981102,4.208048,3.7283325,3.5808492,4.0521326,4.1367917
RPL37,3.1853004,2.975478,3.2614417,3.5507934,3.2750783,1.9357932,3.0512137,3.1091423,3.4082158
PECAM1,0.0,2.7403517,3.2831938,0.0,0.0,0.0,0.0,0.0,0.0
RPL7A,2.217636,2.6092448,2.9625983,2.8453426,3.1797805,0.0,2.3942668,3.1060805,2.995099
CD163,0.0,0.0,0.0,0.0,0.0,0.0,2.62141,0.0,0.0
ESAM,0.0,0.0,1.4128578,0.0,0.0,0.0,0.0,0.0,0.0
SAT1,1.0408161,0.0,0.0,0.0,3.0735521,0.0,3.2948744,0.0,2.5221024
ATP1A1,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP2,2.217636,0.0,3.007234,3.4903219,3.1830995,0.0,3.0426197,3.035048,3.0062912
MZB1,2.9202027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS15A,3.2996473,3.1206162,3.1094723,3.1015067,3.196494,0.0,2.898817,3.0331652,3.001737
CD99,0.0,0.0,0.0,0.0,0.0,3.098471,0.0,0.0,0.0
LDHB,2.3580756,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,0.0
RPS11,2.5979676,3.0804744,1.499961,2.885944,3.095444,2.7693315,2.9891067,2.9703393,2.9574163
RPS4X,3.6853766,2.8996458,2.912819,3.1015067,3.440786,2.941133,2.9293141,3.3813038,2.8843477
RGS2,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
SOD2,0.0,0.0,0.0,0.0,2.6055884,0.0,0.0,0.0,0.0
RPS19,2.7165556,3.6052437,3.2831938,3.4965076,3.7574956,2.2421126,3.3979166,3.505863,3.6118915
AQP1,0.0,0.0,2.6456618,0.0,0.0,0.0,0.0,0.0,0.0
