,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ENSG00000272573,0.0,0.0,0.0,0.0,2.3034856,0.0
ENSG00000163931,0.0,0.0,0.0,1.3368979,0.0,0.0
ENSG00000113811,0.0,0.0,1.6239954,1.2208059,0.0,0.0
ENSG00000168374,0.0,1.0471275,0.0,0.49360624,0.0,0.0
ENSG00000144746,0.0,1.7838864,1.476027,1.1047835,0.0,0.0
ENSG00000114861,0.0,0.0,0.0,0.7884464,0.0,0.0
ENSG00000144810,0.0,1.4053426,0.0,0.0,0.0,0.0
ENSG00000168386,0.0,0.0,0.0,0.0,1.1011521,0.0
ENSG00000154175,0.0,1.2200049,0.0,0.0,0.0,0.0
ENSG00000114391,2.322456,2.3661454,2.7292583,2.4296384,2.3536403,0.0
ENSG00000144802,0.0,0.0,0.0,1.5270746,0.0,0.0
ENSG00000196776,0.0,0.0,1.2692546,0.641816,0.0,0.0
ENSG00000144848,0.0,0.0,0.0,0.79143715,0.0,0.0
ENSG00000091986,0.0,3.2176478,0.0,0.0,0.0,0.0
ENSG00000181722,0.0,1.2444329,0.0,0.0,0.0,0.0
ENSG00000163430,0.0,2.1304195,0.0,0.0,0.0,0.0
ENSG00000065518,0.0,0.66356814,0.0,0.0,0.0,0.0
ENSG00000180353,0.0,0.0,0.0,1.1210384,0.0,0.0
ENSG00000114013,0.0,0.0,0.0,0.65894324,0.0,0.0
ENSG00000075785,0.0,0.0,0.0,0.82295585,0.0,0.0
ENSG00000169714,0.0,1.5013094,1.2119887,1.0082486,1.6052909,0.0
ENSG00000091527,0.0,0.0,0.0,0.73533916,0.0,0.0
ENSG00000069849,0.0,0.0,1.1590011,1.4641671,0.0,0.0
ENSG00000163710,0.0,3.1300447,0.0,0.0,0.0,0.0
ENSG00000169908,2.815324,1.0156595,0.0,0.0,0.0,0.0
ENSG00000082996,0.0,0.0,0.0,0.8305508,0.0,0.0
ENSG00000120742,0.0,0.0,1.1774794,1.5691552,0.0,0.0
ENSG00000152601,0.0,0.689171,0.0,1.1258705,0.0,0.0
ENSG00000114850,0.0,0.0,0.0,0.5722222,0.0,0.0
ENSG00000163660,0.0,0.0,0.0,1.0159128,0.0,0.0
ENSG00000118855,0.0,0.0,0.0,0.72986794,0.0,0.0
ENSG00000173905,0.0,1.2437298,0.0,0.0,0.0,0.0
ENSG00000008952,1.3033214,1.6332155,0.0,0.79676855,0.9106284,0.0
ENSG00000136603,0.0,0.0,0.0,0.7374115,0.0,0.0
ENSG00000161203,0.0,0.0,0.0,0.68008316,0.0,0.0
ENSG00000136527,0.0,0.0,0.0,1.0764683,0.0,0.0
ENSG00000156976,0.0,1.3715891,1.1519958,0.98328376,1.4387525,0.0
ENSG00000145012,0.0,0.0,0.0,0.0,1.1397064,0.0
ENSG00000114331,0.0,0.0,0.0,0.4966792,0.0,0.0
ENSG00000189058,0.0,1.3720832,0.0,0.0,0.0,0.0
ENSG00000180370,0.0,0.0,0.0,0.8035878,0.0,0.0
ENSG00000182899,2.5757713,2.5926213,3.0779874,2.7368996,2.633719,0.0
ENSG00000169020,0.0,1.0075301,0.0,0.9321182,1.1930937,0.0
ENSG00000163956,0.0,0.9247127,0.0,0.0,0.0,0.0
ENSG00000179010,0.0,0.9664759,0.0,0.0,0.0,0.0
ENSG00000170801,0.0,1.8594266,0.0,0.0,0.0,0.0
ENSG00000071127,0.0,0.0,0.0,0.56707174,0.0,0.0
ENSG00000137441,0.0,0.0,1.3004478,0.0,0.0,0.0
ENSG00000109610,0.0,1.4093032,0.0,0.0,1.8107594,0.0
ENSG00000168214,0.0,0.0,0.0,0.91198593,0.0,0.0
ENSG00000163682,2.6787229,2.6621745,3.124919,2.9190147,2.788433,2.2033205
ENSG00000163683,0.0,0.858657,0.0,0.0,0.0,0.0
ENSG00000178343,0.0,1.0314229,0.0,0.0,0.0,0.0
ENSG00000109180,0.0,0.900102,0.0,0.0,0.0,0.0
ENSG00000134853,0.0,0.7734053,0.0,0.0,0.0,0.0
ENSG00000171476,0.0,0.0,1.2817144,0.0,0.0,0.0
ENSG00000163453,0.0,3.793041,0.0,0.0,4.35918,0.0
ENSG00000169429,0.0,0.0,0.0,2.955252,0.0,3.82404
ENSG00000163734,0.0,0.0,0.0,1.5696943,0.0,0.0
ENSG00000081041,0.0,0.0,0.0,1.9329937,0.0,0.0
ENSG00000118816,0.0,2.114244,1.3533227,1.7729813,1.9120598,1.9208254
ENSG00000138668,0.0,0.0,0.0,0.79203296,0.0,0.0
ENSG00000152795,0.0,1.1818492,1.3518345,1.1138067,1.2096728,0.0
ENSG00000198189,0.0,0.0,0.0,0.65323323,0.0,0.0
ENSG00000152583,3.5788717,3.637016,0.0,0.0,3.8640149,0.0
ENSG00000196616,0.0,1.6374563,0.0,0.0,0.0,0.0
ENSG00000164032,0.0,0.0,1.967121,1.7383224,0.8900292,0.0
ENSG00000164035,2.2261858,0.0,0.0,0.0,0.0,0.0
ENSG00000109320,0.0,0.0,0.0,0.7787235,0.0,0.0
ENSG00000109332,0.0,1.0085248,1.3638463,1.4929177,0.0,1.8735447
ENSG00000168769,0.0,0.0,0.0,0.69065666,0.0,0.0
ENSG00000109475,3.0736012,3.0102565,3.7695386,3.5372155,2.9012516,3.0925949
ENSG00000198856,0.0,0.9503234,0.0,0.0,0.0,0.0
ENSG00000164096,0.0,0.84328,0.0,0.74224985,0.0,0.0
ENSG00000164111,0.0,2.1768641,0.0,1.8005354,0.8384817,0.0
ENSG00000164056,0.0,1.4125844,0.0,0.0,0.0,0.0
ENSG00000109390,0.0,0.8855422,0.0,0.0,0.0,0.0
ENSG00000145425,2.6349702,2.7229226,3.5746486,3.3553858,2.805053,2.6376038
ENSG00000164116,0.0,0.0,0.0,0.0,1.4055748,0.0
ENSG00000109472,0.0,0.74511534,0.0,0.0,2.439203,0.0
ENSG00000154553,0.0,0.8359561,0.0,0.0,0.0,0.0
ENSG00000176788,0.0,0.0,0.0,0.88398194,0.0,2.098092
ENSG00000113387,0.0,1.0621232,1.7683967,1.2411664,0.0,0.0
ENSG00000082074,0.0,0.0,1.124746,1.1734164,0.0,0.0
ENSG00000145592,2.65528,2.5126734,3.4035203,3.0910234,2.3675466,1.820905
ENSG00000112936,0.0,2.2193341,0.0,0.0,0.0,0.0
ENSG00000250722,0.0,1.6223621,0.0,0.0,0.0,0.0
ENSG00000145649,0.0,0.0,2.6225934,0.0,0.0,0.0
ENSG00000134352,0.0,1.1542213,0.0,0.0,0.0,0.0
ENSG00000062194,0.0,0.0,0.0,0.8966509,0.0,0.0
ENSG00000145675,0.0,0.9965122,0.0,0.0,0.0,0.0
ENSG00000131711,0.0,0.9178837,0.0,0.0,1.6600164,0.0
ENSG00000145741,1.6752777,1.8763218,2.0940146,2.0005043,2.0963583,0.0
ENSG00000164346,0.0,0.0,0.0,0.75018215,0.0,0.0
ENSG00000171530,0.0,0.9434675,0.0,0.9187901,0.0,0.0
ENSG00000039319,0.0,0.0,0.0,0.6053269,0.0,0.0
ENSG00000186468,2.7963428,2.7642841,3.4162529,3.234316,2.6369243,0.0
ENSG00000038427,0.0,2.143825,0.0,0.0,0.0,0.0
ENSG00000127184,0.0,1.6804118,1.7930106,1.6321673,2.0682352,0.0
ENSG00000081189,0.0,0.0,0.0,1.0872104,1.5189892,0.0
ENSG00000248323,0.0,0.0,0.0,0.5085039,0.0,0.0
ENSG00000173221,0.0,0.0,0.0,0.59300685,0.0,0.0
ENSG00000153113,0.0,1.2002369,0.0,1.1539241,0.0,0.0
ENSG00000153922,0.0,0.0,0.0,1.0063176,0.0,0.0
ENSG00000129625,0.0,0.7246182,0.0,0.7156316,0.0,0.0
ENSG00000205302,0.0,0.0,0.0,0.7824087,0.0,0.0
ENSG00000168938,0.0,1.0473677,0.0,0.0,0.0,0.0
ENSG00000169567,0.0,1.370602,1.6233417,1.1109974,1.3799901,0.0
ENSG00000125347,0.0,0.0,1.2841642,0.0,0.0,0.0
ENSG00000164405,0.0,0.74297076,0.0,0.7125299,0.0,0.0
ENSG00000113558,0.0,1.7579904,1.5986459,1.2789011,2.0937026,0.0
