,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
C1orf162,0.0,0.0,0.0,0.0,1.7568673,0.0,0.0,0.0,1.5654035,0.0,0.0,0.0,0.0,0.0,0.0
RAP1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57906103,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,0.0,0.0,0.0,0.0,0.118915774,0.0,0.0,0.0,0.8568829,0.0,0.0,0.0,0.0,0.0,0.3615836
RHOC,0.0,0.0,0.0,0.0,0.0,0.74804413,0.84850407,0.7070644,0.0,0.0,0.5385896,0.49659634,0.0,0.0,0.0
OLFML3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23319,0.0,0.0,0.0
CSDE1,0.0,0.30552107,0.0,0.0,0.0,0.0,0.0,0.0,0.57948303,0.0,0.4830135,0.0,0.0,0.0,0.0
ATP1A1,0.0,0.952295,0.0,0.0,0.0,0.24081221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4792502,0.0,0.0
HMGCS2,0.0,0.0,0.0,2.1643534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM8A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67923963
TXNIP,2.1072478,0.0,0.0,0.0,1.6968617,0.8604767,0.6531,1.9973738,1.5992751,0.0,0.93860364,0.0,1.8376714,2.5961425,0.0
ANP32E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6366316
MRPS21,0.0,0.5049728,0.0,0.751277,0.0,0.36002254,0.0,0.0,0.0,0.0,0.39016554,0.8340007,0.0,0.0,0.58229303
MCL1,0.0,0.44170478,0.0,0.0,0.90813744,0.41758883,0.0,0.0,0.983926,0.0,0.0,0.0,0.0,0.0,0.0
ENSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610106
CTSS,0.0,0.0,0.0,0.0,2.9946284,0.0,0.0,0.0,3.1310844,0.0,0.0,0.0,0.0,0.0,0.0
SELENBP1,0.0,0.0,4.770618,1.1986207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A10,0.0,1.3270937,0.0,0.0,2.0535362,1.7957171,1.4007791,0.0,0.0,0.0,1.701792,1.5954819,1.1481991,0.0,0.18412468
S100A11,0.0,1.117353,0.0,0.0,2.5583093,0.96151054,0.0,0.0,1.4710448,0.0,0.7174842,1.3208365,0.0,0.0,0.0
S100A9,0.0,0.0,0.0,0.0,3.9056337,0.0,0.0,0.0,1.5090401,0.0,0.0,0.0,0.0,0.0,0.0
S100A8,0.0,0.0,0.0,0.0,3.1243067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,0.0,1.5523283,0.0,0.0,3.8602285,1.601139,0.0,0.0,0.0,0.0,0.902596,2.8974774,2.0711663,1.8150115,0.0
S100A4,0.0,0.0,0.0,0.0,3.6806748,0.0,0.0,0.0,0.17405207,0.0,0.0,0.0,2.8717177,2.9901075,0.0
S100A16,0.0,0.0,0.0,0.0,0.0,0.8093183,0.72542757,0.0,0.0,0.0,0.6388893,0.114840515,0.0,0.0,0.0
S100A14,0.0,0.5766458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A13,0.0,0.30552107,0.0,0.0,0.0,0.82323956,0.0,0.0,0.0,0.0,1.0077128,1.6372992,0.0,0.0,0.0
NPR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906396,0.0,0.0,0.0,0.0
SLC27A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100857995,0.0,0.0,0.0,0.0
JTB,0.0,0.36798677,0.0,0.70588255,0.0,0.0,0.0,0.0,0.0,0.9903819,0.0,0.18159316,0.0,0.0,0.7950121
RAB13,0.0,0.0,0.0,0.0,0.0,0.5179479,0.0,0.0,0.0,0.0,0.0,0.13601094,0.0,0.0,0.0
RPS27,6.654059,3.7602344,5.136085,4.8588963,5.2539225,4.5411777,3.753874,5.4676056,4.2732625,5.1988254,4.32849,4.338468,6.0970373,5.60282,4.877795
TPM3,0.0,0.0,0.0,0.0,0.7181258,0.45097858,0.0,0.0,0.87280214,0.0,0.0,0.0,0.0,0.0,0.65884936
C1orf43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18159316,0.0,0.0,0.0
HAX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20176339
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78336
KRTCAP2,0.0,0.0,0.0,0.0,0.0,0.43217432,0.0,0.0,0.0,0.9771474,0.2750227,0.25085145,0.0,0.0,0.18956724
FDPS,0.0,0.0,0.0,0.0,0.0,0.3940855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41062808
SSR2,0.0,0.5385013,0.0,0.0,0.0,0.24159023,0.0,1.0891154,0.0,1.7935777,0.0,1.009786,1.2525508,1.2014521,1.3967973
LAMTOR2,0.0,0.0,0.0,0.4287101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMNA,0.0,0.0,0.0,0.0,0.0,0.5700228,0.0,0.0,0.0,0.0,0.0,0.6707528,0.0,0.0,0.0
CD5L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3511286,0.0,0.0,0.0,0.0,0.0,0.0
MNDA,0.0,0.0,0.0,0.0,0.9102577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCS,0.0,0.564436,0.0,3.8034663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRP,0.0,0.0,0.0,2.7788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,0.0,0.0,0.0,0.0,0.0,0.8286091,0.0,0.0,0.5303205,0.0,0.7720146,0.62797034,0.0,0.0,0.5700143
PEA15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139544,0.0,0.0,0.0
CD84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62195355,0.0,0.0,0.0,0.0,0.0,0.0
CD48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117817,0.0,0.0,0.0,0.0,1.288165,0.7801861,0.0
TSTD1,0.0,0.45440623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367731
FCER1G,0.0,0.0,0.0,0.0,2.7703853,0.0,0.0,2.4428499,2.9338558,0.0,0.0,0.0,0.0,2.240515,0.0
APOA2,0.89696753,0.82657135,3.1761863,7.435557,0.9866128,0.7352928,0.7981498,1.039012,0.76087177,0.98250395,0.9593327,0.75986576,1.0277036,1.21063,0.59578174
FCGR3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4734638,0.0,0.0,0.0,0.0,1.6293507,0.0
FCGR2B,0.0,0.0,0.0,0.0,0.0,0.0,1.5751246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST3,0.0,0.6831175,0.0,0.0,0.0,0.7455807,0.0,0.0,0.0,0.0,0.3957004,0.3911946,0.0,0.0,0.0
TMCO1,0.0,0.48290178,0.0,0.61912274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3129886,0.0,0.0,0.0
CD247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3316056,0.0,0.0,0.0,0.0,0.0,1.8573945,0.0
CREG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965944,0.0,0.0,0.0,0.0,0.0,0.0
MPC2,0.0,0.9661428,0.0,1.4390173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13601094,0.0,0.0,0.0
XCL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8207333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XCL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0308988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,1.1154928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
