Celltypes,mean,std,median,count,q1,q3,f_score
NK_CD56bright,0.011775672770662101,0.12832858208879241,0.0312864625,876,0.00703079375,0.087069783,0.4443359375
MAIT,-0.02276818453576555,0.20049100343657006,0.021867925500000003,1254,-0.15292515,0.154205905,0.4340183883180097
Fibro_immune_recruiting,0.000946483669491526,0.1645928156273956,-0.0081375325,59,-0.105322137,0.16665734999999998,0.4471544715447154
SMG_Duct,-0.0728115989067995,0.24686459814553993,-0.030571183,803,-0.25309814500000005,0.12800701,0.4288939051918736
gdT,-0.12255716088109393,0.2906364193927762,-0.045808576,841,-0.4308192,0.15222496,0.1829843425768723
NK_CD11d,-0.08851605472505092,0.11479904383839586,-0.045881515,982,-0.09500802,-0.03005396675,0.2598710717163577
ILC,-0.1062568003491296,0.19827857104036883,-0.063475125,517,-0.2576847,0.044078257,0.2622274602239245
Erythrocyte,-0.17348194158841465,0.4272823578284193,-0.0727780405,328,-0.6072132375,0.266539985,0.8677685950413223
CD4_naive/CM,-0.07614446579900105,0.17677539951847415,-0.07904697,3804,-0.2140317425,0.1017263625,0.287890044576523
NAF_endoneurial,-0.1547845679756757,0.2537278716260754,-0.095619915,74,-0.26201111,0.03917995625,0.6168831168831169
Macro_dividing,-0.14463955230192307,0.15599377832234962,-0.09644422999999999,156,-0.1327619,-0.04851731675,0.2351485148514851
Basal,-0.09145474194334709,0.19980415499398307,-0.120012305,5814,-0.20010482999999998,0.087412787,0.7914067216743812
B_memory,-0.148808259280251,0.18582683999679572,-0.1457311,1753,-0.30562755,0.018389028,0.6241352805534205
Fibro_adventitial,-0.15407400982700326,0.2540428722569554,-0.155937405,10170,-0.3797343975,0.08163466875,0.7151754203861325
CD8_EM,-0.2023801429255726,0.14925881618611178,-0.15666622,3781,-0.31012326,-0.0944099,0.4075614366729678
NK_CD16hi,-0.14357390035491271,0.1992276812037549,-0.160594825,8116,-0.28933399,0.04245202675,0.6516370307648885
T_reg,-0.2017468851089109,0.09312443361189505,-0.17084415,808,-0.25018325999999996,-0.14947967,0.0723763570566948
Macro_AW_CX3CR1,-0.21388410183931622,0.1494759047312807,-0.20998884,468,-0.29347527500000004,-0.12024195400000001,0.4591049382716049
CD4_TRM,-0.22400401779820603,0.15850112103842698,-0.21229376,1859,-0.347742775,-0.079505883,0.2061163838558144
Dividing_AT2,-0.19052262755272223,0.21551299315995323,-0.21470417,180,-0.36792055,0.00993739125,0.4910714285714285
Macro_intravascular,-0.19980006963985436,0.16273956962158465,-0.21663612,5033,-0.29884595,-0.10170273,0.4856766545933487
Muscle_pericyte_systemic,-0.16159073207597766,0.27917801263686787,-0.21818069,179,-0.37915229,0.068194174,0.3634085213032581
B_plasma_IgG,-0.251078078159618,0.11739077719933343,-0.24978766,733,-0.30060625,-0.18701357,0.6338028169014085
CD4_EM/Effector,-0.2449961559175436,0.1195461372430918,-0.26200047,6367,-0.336207915,-0.129336465,0.2972010178117048
DC_1,-0.32125638109873417,0.1437735329566202,-0.26643366,395,-0.35946543,-0.217851665,0.6536312849162011
Endothelia_vascular_Cap_g,-0.2697449723777778,0.14776313289993623,-0.277226385,9348,-0.380327945,-0.176541785,0.7001567249240122
NKT,-0.27731375957868953,0.15634712927831368,-0.29309672,2335,-0.3840317,-0.16022956,0.3711692280039543
CD8_TRM/EM,-0.27883591123371093,0.13156699226364157,-0.293802155,1854,-0.373172505,-0.1931119925,0.1470060953746862
Fibro_myofibroblast,-0.32765623199770116,0.14478531390164953,-0.31420225,870,-0.4076933825,-0.22908271,0.2883817427385892
NAF_perineurial,-0.3703907081818182,0.16109342719051062,-0.31762525,165,-0.35409665,-0.28409964,0.4954954954954955
Mesothelia,-0.3876435639285714,0.12312028162831404,-0.34638473999999997,140,-0.455570535,-0.301008025,0.4385964912280701
Muscle_smooth_pulmonary,-0.3686298135495808,0.19167149971792774,-0.3758144,1789,-0.50542134,-0.20859356,0.5953345213024461
Macro_intermediate,-0.33215798362405696,0.21281689635493295,-0.37839155,2598,-0.5210995549999999,-0.1640609875,0.3342149555181534
Macro_alveolar_metallothioneins,-0.4211374301804878,0.15156266064533244,-0.388952345,410,-0.5372914,-0.323638125,0.5789473684210527
Macro_CCL,-0.38220878048882684,0.1815540953669054,-0.43486304,358,-0.54208574,-0.2270920175,0.3035143769968051
B_plasmablast,-0.4386522986129032,0.13926084518820947,-0.46502036,62,-0.5229374,-0.3669103675,0.5797101449275363
Dividing_Basal,-0.4121878952454212,0.16672612101713474,-0.46762025,273,-0.53133786,-0.25322407,0.4281567489114659
Macro_interstitial,-0.46463488461791047,0.1437173179929755,-0.5032272,335,-0.571657895,-0.38228474999999995,0.5780691299165673
Ionocyte_n_Brush,-0.49131608666666665,0.25326232772635443,-0.5312222799999999,54,-0.7395268100000001,-0.21458643500000002,0.8707865168539326
Neuroendocrine,-0.5780538315909091,0.1720069645659028,-0.5706119,44,-0.751217625,-0.40827516999999997,0.5921052631578947
Megakaryocyte,-0.6006769471428571,0.0924558281236091,-0.63698985,14,-0.6633170675,-0.515683695,0.3333333333333333
Schwann_Myelinating,-0.6807674927272728,0.13898822330354166,-0.6855248,11,-0.7470231350000001,-0.651365,0.8974358974358975
Schwann_nonmyelinating,-0.7270093103571428,0.11348983203588243,-0.75200975,112,-0.80833681,-0.68755461,0.6626506024096386
