,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
CNN3,0.0,0.0,0.0,0.0,0.6666666666666666,0.7475970192497221,0.6851641223036888
TLCD4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RWDD3-DT,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RWDD3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PTBP2,0.04426793255116616,0.08299067665247152,0.18155849470435492,0.0,0.15067373381463228,0.23142240524338567,0.20203019697702043
DPYD,0.0,0.12634281865119273,0.26024903965361695,0.4168338704956587,0.24502610422053403,0.10722111474080596,0.07874485062111684
PALMD,0.8333333333333334,0.8538108456756325,0.0,0.0,0.0,0.0,0.0
AGL,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC39,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233184,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RNPC3,0.6327759404301759,0.0,0.5,0.0,0.5313602129105707,0.0,0.5526527211172917
VAV3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SLC25A24,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRPF38B,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SORT1,0.6832091151875579,0.0,0.0,0.0,0.0,0.6666666666666666,0.7878196834502792
GNAI3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224699,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD53,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CEPT1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5PB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RAP1A,0.0,0.13747088879703734,0.029222186886609287,0.302573460313548,0.0023327454719905827,0.14639818655334097,0.08090267387001748
KCND3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CTTNBP2NL,0.0,0.963719578763179,0.0,0.0,0.0,0.8333333333333334,0.0
ST7L,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,0.8333333333333334,0.0,0.0,0.895919074891081,0.0,0.0,0.0
SLC16A1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC16A1-AS1,0.9132479598836789,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
LRIG2-DT,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIG2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI3,0.3333333333333333,0.41721706311280277,0.4758630772499413,0.0,0.4244866018646949,0.0,0.40229826467908164
TRIM33,0.24319374205771438,0.18363808376583035,0.1760562922280431,0.16666666666666666,0.2901590316100601,0.0,0.4291287777081693
CSDE1,0.8978718067439564,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
NGF,0.0,0.0,0.8333333333333334,0.0,0.9164222035429374,0.0,0.0
CASQ2,0.8477232368977887,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
SLC22A15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1-AS1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD58,0.8333333333333334,0.8746369100912613,0.0,0.0,0.0,0.0,0.0
MAN1A2,0.9141657464315363,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
WARS2-AS1,0.8333333333333334,0.0,0.9328044326466126,0.0,0.0,0.0,0.0
NOTCH2,0.0,0.0,0.8385024132563507,0.8333333333333334,0.0,0.0,0.0
SRGAP2C,0.0,0.0,0.0,1.0,0.0,0.0,0.0
LINC02802,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SRGAP2B,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RNF115,0.27321421773869337,0.46085747659927906,0.23658710214164344,0.17179006882902778,0.16666666666666666,0.0,0.31997039256160714
TXNIP,0.31907933549023637,0.3303730105849158,0.06520955743715097,0.15085055974596145,0.17358157485843093,0.24392038813671313,0.0
BCL9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE4DIP,0.9463184112097691,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
ENSG00000274265,0.8333333333333334,0.0,0.0,0.0,0.0,0.9587362046614164,0.0
OTUD7B,0.6666666666666666,0.0,0.0,0.0,0.0,0.8565677141418409,0.7025983518671864
VPS45,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.862565562074549
RPRD2,0.3028443515666291,0.29559831540138376,0.36943731974288757,0.16666666666666666,0.31227943875801395,0.0,0.35800976310981375
ENSA,0.0,0.6769243417845184,0.6666666666666666,0.0,0.6955306837533654,0.0,0.0
CTSS,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARNT,0.8333333333333334,0.0,0.9422700111439756,0.0,0.0,0.0,0.0
GABPB2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIP5K1A,0.4559635514400929,0.0,0.3430950745180663,0.3333333333333333,0.40025163928756835,0.0,0.36075209901600586
POGZ,0.0,0.04699565236600014,0.09823587425434573,0.002885568672954882,0.14918944921997052,0.1900995499664798,0.20056417584253608
THEM4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S100A6,0.0,0.0,0.8333333333333334,0.0,0.0,0.944472226099932,0.0
S100A4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S100A1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CHTOP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GATAD2B,0.014027269154024524,0.09763610209541597,0.006712582549877499,0.26395071654791524,0.0,0.08060943063341099,0.0026440738496961527
TPM3,0.0,0.8333333333333334,0.0,0.9211746640278892,0.0,0.0,0.0
SHE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADAR,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ADAM15,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ASH1L,0.008304085207040124,0.029185252394878698,0.07867062116924461,0.1235392615997039,0.06847636574180295,0.0,0.055178828253882706
YY1AP1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DAP3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GON4L,0.2652006409074433,0.41735193005211707,0.3722452330542099,0.335326711648555,0.2677121902032728,0.16666666666666666,0.0
KHDC4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF2,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8722406448487504
LMNA,0.5,0.0,0.0,0.0,0.5858154388754152,0.6507025692748939,0.628265962121488
PMF1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MEF2D,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.9485926233690583
ARHGEF11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KIRREL1,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.855415016994975
IFI16,0.0,0.42306471544589375,0.3333333333333333,0.5624306773554665,0.36255446494180915,0.3931071725774966,0.0
CADM3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ATP1A2,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8849905887580163
