,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000189143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6476192,0.0,0.0,0.0,2.451389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111716,0.0,1.0457611,0.0,0.0,0.0,0.0,0.0,0.0,3.0910902,2.2225027,2.9539628,3.1454642,0.0,2.302054,0.0,0.0,0.0,0.0,0.0,1.0126872,0.0,3.542634
ENSG00000142534,3.7332869,3.631387,2.2874265,3.2741618,2.9135618,2.7805936,2.5099785,0.0,2.567723,0.0,2.7977884,2.549943,2.9436815,2.8196435,3.088421,1.9433994,0.0,3.3357792,2.4173574,3.0103564,3.2308571,2.9420195
ENSG00000133639,2.4162781,0.0,0.0,2.5855012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9004393,0.0,2.6285357,2.352871,0.0,3.010868,0.0,0.0,2.8716798,0.0
ENSG00000104763,2.9419792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1376433,0.0,2.3772445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198034,0.0,2.878307,0.0,2.6096692,0.0,2.1570113,1.1194087,0.0,2.1426072,0.0,2.5658731,2.3841457,2.3340514,2.608216,2.5877733,2.169547,0.0,3.010868,0.0,3.0033324,2.9626215,0.0
ENSG00000147872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441276,0.0,0.0,0.0,2.713668,2.7642124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116741,0.0,3.731299,0.0,3.2181082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5168512,3.5654628,3.2437847,0.0,0.0,3.010868,0.0,0.0,0.0,0.0
ENSG00000291237,3.0637722,0.0,0.0,0.0,0.0,0.0,0.0,2.8545496,2.1381392,0.0,0.0,0.0,3.7816358,0.0,2.6941612,2.7549772,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105372,4.5082912,2.6204896,2.4407964,2.8242288,0.0,0.0,0.0,4.031592,0.0,0.0,0.0,0.0,0.0,0.0,2.8654125,0.0,0.0,0.0,2.8577256,2.404561,3.3215144,0.0
ENSG00000240583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,2.5523047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204472,3.7453146,0.0,0.0,3.0294108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2990522,0.0,3.7466602,0.0,0.0,2.3348935,0.0,0.0,0.0,0.0
ENSG00000211892,0.0,0.0,2.349342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226608,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099622,0.0,0.0,0.0,0.0,0.0,0.0,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204592,3.7332869,0.0,0.0,0.0,2.8438175,3.0755208,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2701943,0.0,0.0,0.0,0.0
ENSG00000147614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6309242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103187,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131507,0.0,0.0,0.0,0.0,0.0,0.0,1.1194087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0275393,0.0,0.0,0.0,0.0,0.0
