,cellular_classification,silhouette_score
D29.7_35,pp,0.83439
D29.7_36,pp,0.87635916
D29.7_37,beta,0.45328698
D29.7_38,alpha,0.4327188
D29.7_39,beta,0.54988563
D29.7_40,pp,0.81948507
D29.7_41,beta,0.68892515
D29.7_42,beta,0.5672762
D29.7_43,alpha,0.59027004
D29.7_44,alpha,0.6226798
D29.7_45,beta,0.5673198
D29.7_46,alpha,0.35084325
D29.7_47,alpha,0.55489385
D29.7_48,beta,0.499066
D29.7_49,acinar,0.7427818
D29.7_50,alpha,0.62831414
D29.7_51,alpha,0.48887873
D29.7_52,beta,0.60838145
D29.7_54,delta,0.7499371
D29.7_55,alpha,0.58545536
D29.7_56,alpha,0.45082116
D29.7_57,alpha,0.6308111
D29.7_58,beta,0.57566977
D29.7_59,alpha,0.21476068
D29.7_60,pp,0.8776959
D29.7_61,pp,0.8136521
D29.7_62,duct,-0.3995681
D29.7_63,delta,0.77585423
D29.7_64,alpha,0.5654717
D29.7_65,alpha,0.590653
D29.7_68,beta,0.6686196
D29.7_69,beta,0.65748006
D29.7_70,alpha,0.63447535
D29.7_72,alpha,0.56099325
D29.7_73,alpha,0.5749675
D29.7_74,beta,0.70734835
D29.7_75,beta,0.5715074
D29.7_76,alpha,0.5916279
D29.7_77,pp,0.81262654
D29.7_78,delta,0.78328973
D29.7_79,delta,0.5516434
D29.7_80,alpha,0.3831314
D29.7_81,delta,0.784289
D29.7_82,alpha,0.6262656
D29.7_84,alpha,0.6376437
D29.7_85,alpha,0.32885072
D29.7_86,beta,0.5995022
D29.7_87,beta,0.5000659
D29.7_89,beta,0.06248775
D29.7_90,alpha,0.42918658
D29.7_92,alpha,0.540443
D29.7_93,pp,0.88294476
D29.7_94,pp,0.82448614
D29.8_2,alpha,0.48923707
D29.8_4,mesenchymal,0.8900717
D29.8_7,alpha,0.52814883
D29.8_8,beta,0.67685604
D29.8_10,delta,0.76990503
D29.8_11,beta,0.6029341
D29.8_12,beta,0.56806344
D29.8_13,delta,0.79606485
D29.8_14,alpha,0.13505183
D29.8_15,delta,0.54396594
D29.8_18,alpha,0.46670157
D29.8_19,pp,0.8595514
D29.8_20,alpha,0.05845268
D29.8_23,beta,0.6859666
D29.8_24,alpha,0.06814666
D29.8_25,alpha,0.029658927
D29.8_27,alpha,0.4895665
D29.8_29,alpha,0.30254367
D29.8_30,alpha,0.25650227
D29.8_32,alpha,0.43008503
D29.8_33,alpha,0.58889693
D29.8_34,beta,0.58079
D29.8_35,alpha,0.06979488
D29.8_37,alpha,0.07910565
D29.8_39,alpha,0.5528797
D29.8_40,alpha,0.18933566
D29.8_43,pp,0.831472
D29.8_45,alpha,0.48184302
D29.8_46,delta,0.76083153
D29.8_48,pp,0.8661901
D29.8_49,beta,0.57114375
D29.8_50,beta,0.6817883
D29.8_51,alpha,0.5626081
D29.8_52,beta,0.023576615
D29.8_54,delta,0.74401855
D29.8_55,alpha,0.13007152
D29.8_56,alpha,0.47795236
D29.8_59,alpha,0.118892886
D29.8_60,alpha,0.5414769
D29.8_62,delta,0.7142491
D29.8_63,duct,0.29418805
D29.8_64,alpha,0.52102584
D29.8_65,alpha,0.6046661
D29.8_66,alpha,0.46069476
D29.8_67,beta,-0.14128764
D29.8_68,delta,0.7547135
D29.8_72,delta,0.76864624
D29.8_73,delta,0.77388173
D29.8_74,beta,0.6720905
D29.8_75,duct,0.56981534
D29.8_76,alpha,0.03947656
D29.8_77,alpha,0.46454063
D29.8_79,delta,0.7867492
D29.8_80,delta,0.7205065
D29.8_81,delta,0.7553198
D29.8_82,alpha,0.5298178
D29.8_83,delta,0.7565577
D29.8_84,alpha,0.552608
D29.8_86,beta,0.03872533
D29.8_87,beta,0.6129662
D29.8_88,duct,0.34288362
D29.8_90,beta,0.68598545
D29.8_91,beta,0.54350054
D29.8_94,beta,0.64046234
D31.1_1,beta,0.52527547
D31.1_2,alpha,0.4352487
D31.1_4,alpha,0.27629527
D31.1_5,acinar,0.6958389
D31.1_6,delta,0.7220302
D31.1_7,acinar,0.6333614
D31.1_8,alpha,0.6034201
D31.1_9,acinar,0.5413046
D31.1_10,beta,0.40153503
D31.1_11,beta,-0.02197395
D31.1_12,duct,0.59945655
D31.1_14,beta,0.6451311
D31.1_15,delta,0.7155516
D31.1_16,duct,0.58211476
D31.1_17,alpha,0.62269497
D31.1_19,acinar,0.74633414
D31.1_20,beta,0.605831
D31.1_21,acinar,0.75641507
D31.1_22,acinar,0.7968508
D31.1_23,mesenchymal,0.84782195
D31.1_24,alpha,0.2316622
D31.1_25,acinar,0.60053074
D31.1_26,beta,0.6934124
D31.1_27,acinar,0.72906053
D31.1_28,beta,0.54246134
D31.1_29,beta,0.3693754
D31.1_31,alpha,0.41294536
D31.1_32,alpha,0.41759193
D31.1_33,delta,0.6977578
D31.1_34,beta,0.38778755
D31.1_35,alpha,0.55155927
D31.1_36,mesenchymal,0.9055798
D31.1_38,beta,0.3081092
D31.1_39,duct,-0.3633107
D31.1_40,alpha,0.28273574
D31.1_41,endothelial,0.83673805
D31.1_42,alpha,0.6187198
D31.1_43,alpha,0.59744847
D31.1_44,acinar,0.7504814
D31.1_45,acinar,0.6745137
D31.1_46,alpha,0.6620949
D31.1_47,beta,0.62549573
D31.1_48,acinar,0.6109527
D31.1_49,alpha,0.36981553
D31.1_50,duct,0.558259
D31.1_51,acinar,0.67666817
D31.1_52,alpha,0.3634018
D31.1_53,beta,0.7058615
D31.1_54,beta,0.68471414
D31.1_55,duct,0.31953883
D31.1_56,beta,0.68781114
D31.1_58,acinar,0.726363
D31.1_59,alpha,0.42957357
D31.1_60,alpha,0.6423019
D31.1_61,alpha,0.23231684
D31.1_62,duct,0.54352766
D31.1_63,beta,0.5424634
D31.1_64,alpha,0.6189152
D31.1_65,pp,0.826576
D31.1_66,alpha,0.61641514
D31.1_67,alpha,0.65175885
D31.1_68,beta,0.6980675
D31.1_69,alpha,0.63185513
D31.1_70,acinar,0.7201985
D31.1_72,duct,0.58712816
D31.1_73,beta,0.60909534
D31.1_74,beta,0.35037458
D31.1_75,alpha,0.65394753
D31.1_76,duct,0.3974346
D31.1_77,duct,0.17420067
D31.1_78,alpha,0.44808483
D31.1_79,pp,0.85166776
D31.1_80,beta,-0.7954834
D31.1_81,pp,0.8474682
D31.1_82,duct,0.5376803
D31.1_83,duct,0.5586081
D31.1_84,duct,0.61679596
D31.1_85,alpha,0.38328934
D31.1_86,beta,0.5371513
D31.1_87,alpha,0.5802618
D31.1_88,acinar,0.7548718
D31.1_89,alpha,0.596539
D31.1_90,duct,0.5014955
D31.1_91,alpha,0.51194257
D31.1_92,alpha,0.42441046
D31.1_93,duct,0.5032836
D31.2_1,beta,0.5280503
D31.2_2,alpha,0.51036257
D31.2_3,beta,0.40504247
