,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
ENSG00000174021,1.4033337,1.6870185,1.141437,1.0524385,1.570318,1.1709303,1.3414955,1.1694969
ENSG00000117151,0.2594056,0.5253421,0.47262093,0.0,0.52422917,0.0,0.36789584,0.0
ENSG00000142871,0.0,0.6393958,0.7978277,0.0,0.0,0.89820045,0.56260014,0.37117603
ENSG00000122417,0.5832132,0.67543036,0.33530718,0.0,0.0,0.0,0.0,0.0
ENSG00000097033,1.0436491,1.1698159,0.74352014,0.23165904,0.96505713,0.83076996,0.7184755,0.7490319
ENSG00000183291,0.79618347,1.0599406,0.98255134,0.655867,0.8740711,0.6912278,0.57855165,0.8945078
ENSG00000143013,0.0,0.0,1.164166,0.51500684,0.6676359,1.0703962,0.69274783,0.8047306
ENSG00000065243,0.56072223,0.6736348,0.4315651,0.0,0.29733956,0.4037972,0.3973418,0.4780542
ENSG00000137947,0.0,0.0,0.0,0.0,0.3956297,0.0,0.0,0.0
ENSG00000162645,0.38264573,0.0,0.0,0.0,0.4490339,0.5028356,0.30620232,0.0
ENSG00000162654,0.0,0.6297366,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122482,0.31028616,0.20198841,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069702,0.73613167,0.5040909,0.6575845,0.0,0.0,0.0,0.0,0.40554845
ENSG00000067208,0.0,0.59714645,0.29209077,0.0,0.0,0.0,0.35251242,0.0
ENSG00000122406,3.3654351,2.978419,2.9730794,3.174993,2.728804,3.0937624,3.1328743,3.1709893
ENSG00000117500,0.0,0.0,0.21547443,0.0,0.5765457,0.0,0.0,0.0
ENSG00000137942,0.6452234,0.3974298,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067334,0.0,0.0,0.0,0.0,0.35638377,0.0,0.0,0.0
ENSG00000137962,1.3124597,1.2494987,0.5083579,0.0,0.0,0.8462897,0.5054312,0.31978545
ENSG00000117525,0.0,0.0,0.3885759,0.0,0.0,0.0,0.0,0.37117603
ENSG00000117519,1.3840051,0.7570358,1.0910044,0.0,0.0,1.3697835,1.1857848,1.4988297
ENSG00000188641,0.0,0.0,0.29058683,0.0,0.47737974,0.0,0.0,0.0
ENSG00000162627,0.0,0.0,0.0,0.0,0.0,0.36501712,0.36059225,0.0
ENSG00000099260,1.4329548,1.4531443,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170989,0.88545156,0.72858965,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085491,0.0,0.0,0.0,0.0,0.50831866,0.0,0.0,0.0
ENSG00000134186,0.522408,0.47470096,0.40937802,0.24223742,0.6092783,0.41576645,0.4133076,0.36268118
ENSG00000116266,0.0,0.0,0.0,0.0,0.2767474,0.0,0.19753736,0.41222757
ENSG00000121957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48918992
ENSG00000031698,0.52587926,0.68421835,0.57852584,0.0,0.43358454,0.7032223,0.67134583,0.6174872
ENSG00000134243,0.0,0.0,0.0,0.0,0.31600475,0.8074621,0.8674375,0.0
ENSG00000143106,0.44391608,0.46618056,0.47692156,0.5155355,0.58412147,0.6424134,0.5193554,0.5296993
ENSG00000065135,0.4949716,0.38700745,0.3909142,0.0,0.7163405,0.47897607,0.3796792,0.4843807
ENSG00000134202,0.0,0.0,0.8789699,0.0,0.0,0.5168166,0.46154773,0.6774265
ENSG00000184371,0.0,0.0,0.4058321,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.27659035,0.402471,0.59299517,0.0,0.41489923,0.5708965,0.40170085,0.49176693
ENSG00000134248,0.8252915,0.7985627,0.8315869,0.39394557,0.84373283,0.85713184,0.8220048,0.87964314
ENSG00000143119,0.0,0.0,0.0,0.8247032,1.3905185,0.0,0.0,0.0
ENSG00000156171,0.0,0.0,0.0,0.0,0.5793099,0.0,0.0,0.0
ENSG00000116459,0.73023,0.5258226,0.69148886,0.37333363,0.9491653,0.99064785,0.7341162,0.7743494
ENSG00000143110,0.0,0.0,0.0,0.0,1.4739127,0.0,0.0,0.0
ENSG00000116473,0.68786454,0.33877373,0.39577252,0.30489397,1.0132561,0.6664125,0.68649745,0.49492112
ENSG00000143079,0.65563,0.7985627,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116489,0.47291714,0.4973077,0.47061568,0.27784717,1.0567298,0.45709258,0.33559495,0.570913
ENSG00000155366,1.5704724,1.2411383,0.97511923,0.0,1.0393287,1.3822207,1.2480593,1.071184
ENSG00000081019,0.0,0.32093444,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116774,0.0,0.0,0.8332013,0.0,0.0,0.0,0.0,0.0
ENSG00000116752,0.0,0.0,0.0,0.0,0.0,0.31597954,0.3410926,0.0
ENSG00000009307,1.1970551,1.3585612,1.1669008,0.9858045,1.1202955,1.3420956,1.4685389,1.1966803
ENSG00000134198,0.0,0.6040598,0.0,0.0,0.0,0.0,0.4368993,0.0
ENSG00000118729,0.0,0.0,0.0,0.0,0.0,0.780017,0.7511822,0.0
ENSG00000163399,1.1025622,0.98333615,0.7479169,0.0,0.8106352,0.27941722,0.41396713,0.0
ENSG00000116815,0.0,0.5028999,0.0,0.0,0.46965888,0.0,0.0,0.0
ENSG00000198162,0.0,0.38699228,0.3818977,0.0,0.0,0.0,0.2810325,0.483664
ENSG00000092621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5027966
ENSG00000265808,0.0,0.0,0.4644061,0.0,0.31480482,0.0,0.43544006,0.0
ENSG00000198019,0.0,0.0,0.0,0.0,0.45992002,0.0,0.0,0.0
ENSG00000265491,0.5792819,0.5541532,0.37210515,0.0,0.0,0.56611586,0.62254757,0.0
ENSG00000198483,0.0,0.0,0.3002178,0.0,0.0,0.0,0.0,0.0
ENSG00000143127,0.0,0.93124753,0.0,0.0,0.0,0.0,0.37768626,0.0
ENSG00000265241,0.93125534,0.7922951,0.6319165,0.88428897,0.7439255,0.6471263,0.6255038,0.68734807
ENSG00000271601,0.0,0.0,0.0,0.0,0.0,0.0,0.2734303,0.0
ENSG00000121851,0.5110791,0.51813084,0.3382994,0.0,0.3514482,0.0,0.39848953,0.0
ENSG00000265972,3.0346594,1.8327914,2.1876104,2.5082068,2.2133312,1.9346721,0.9878096,2.608205
ENSG00000265107,0.0,1.7880946,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178104,0.0,0.0,0.39041296,0.0,0.0,0.0,0.59176075,0.0
ENSG00000274265,0.0,0.0,0.2484511,0.0,0.0,0.0,0.40051085,0.0
ENSG00000150337,0.0,0.0,0.0,0.0,1.1669198,0.0,0.0,0.0
ENSG00000023902,0.0,0.0,0.0,0.0,0.9679332,0.7364435,0.6030461,0.0
ENSG00000143401,0.0,0.16184847,0.33984905,0.0,0.38758492,0.0,0.5201497,0.0
ENSG00000117362,0.5277537,0.62405217,0.4276668,0.0,0.6516235,0.0,0.0,0.48254558
ENSG00000118292,0.0,0.0,0.0,0.0,0.38416258,0.44388723,0.45149755,0.0
ENSG00000266472,0.7758179,0.7470195,0.8724736,0.551085,0.79984224,0.95654655,0.9321803,1.0226574
ENSG00000143369,0.0,0.0,0.5180763,0.0,0.0,0.0,0.0,0.0
ENSG00000143384,0.70611995,0.98333615,0.6127433,0.5641066,1.2426417,0.6148718,0.49242175,0.61595625
ENSG00000143420,0.7719472,0.64453465,0.56705534,0.26216114,0.72425306,0.75079954,0.6949269,0.7141387
ENSG00000163131,0.0,0.0,0.0,0.0,2.008072,0.0,0.0,0.0
ENSG00000143387,0.0,0.0,0.8838028,0.0,0.0,0.0,0.0,0.49943757
ENSG00000143418,0.2811399,0.5299867,0.4579125,0.0,0.46781284,0.0,0.36443853,0.483664
ENSG00000197622,0.0,0.0,0.0,0.0,0.5313561,0.0,0.0,0.0
