,Alveolar_Type1,Alveolar_Type2,B_cells,Blood_vessel,Ciliated,DC_1,DC_2,DC_Monocyte_Dividing,DC_activated,DC_plasmacytoid,Fibroblast,Lymph_vessel,Macrophage_Dividing,Macrophage_MARCOneg,Macrophage_MARCOpos,Mast_cells,Monocyte,Muscle_cells,NK,NK_Dividing,Plasma_cells,T_CD4,T_CD8_CytT,T_cells_Dividing,T_regulatory
HINT1,0.3489583333333333,0.4965278034408887,0.041666666666666664,0.1875,0.3489583333333333,0.3489583333333333,0.2569444328546524,0.562499982615312,0.4965278034408887,0.42916666467984516,0.2569444328546524,0.4965278034408887,0.7215908964474996,0.041666666666666664,0.2569444328546524,0.0,0.041666666666666664,0.2569444328546524,0.041666666666666664,0.22500000645716986,0.2569444328546524,0.041666666666666664,0.041666666666666664,0.42916666467984516,0.041666666666666664
CDC42SE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0
FNIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4HA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDLIM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0
UQCRQ,0.458333320915699,0.7343749975164732,0.0,0.25,0.458333320915699,0.375,0.375,0.6597222412625948,0.25,0.25,0.53125,0.53125,0.8300000081459681,0.25,0.53125,0.0,0.25,0.458333320915699,0.0,0.25,0.53125,0.0,0.0,0.375,0.0
VDAC1,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.7083333333333334,0.5,0.0,0.5,0.5,0.8541666666666666,0.0,0.7083333333333334,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0
SKP1,0.22916666666666666,0.3888888681928317,0.041666666666666664,0.041666666666666664,0.3888888681928317,0.22916666666666666,0.22916666666666666,0.3888888681928317,0.22916666666666666,0.22916666666666666,0.5208333333333334,0.3888888681928317,0.680555579562982,0.041666666666666664,0.3888888681928317,0.0,0.041666666666666664,0.5208333333333334,0.041666666666666664,0.22916666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.22916666666666666,0.041666666666666664
PPP2CA,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
UBE2B,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.75,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0
SAR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX46,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
TXNDC15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0
MACROH2A1,0.4166666666666667,0.4166666666666667,0.0,0.0,0.4166666666666667,0.6944444278875986,0.6041666666666666,0.7604166666666666,0.4166666666666667,0.4166666666666667,0.0,0.4166666666666667,0.8630952388048172,0.4166666666666667,0.6944444278875986,0.0,0.4166666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.6041666666666666,0.0
TGFBI,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.8541666666666666,0.0,0.75,0.0,0.0,0.8541666666666666,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA0,0.0,0.4583333333333333,0.4583333333333333,0.0,0.0,0.4583333333333333,0.4583333333333333,0.6458333333333334,0.4583333333333333,0.4583333333333333,0.6458333333333334,0.4583333333333333,0.6458333333333334,0.0,0.4583333333333333,0.0,0.0,0.4583333333333333,0.0,0.6458333333333334,0.0,0.0,0.0,0.6458333333333334,0.0
NME5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGR1,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA9,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNA1,0.7708333333333334,0.7708333333333334,0.0,0.0,0.7708333333333334,0.0,0.0,0.75,0.0,0.0,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PAIP2,0.0,0.5625,0.0,0.0,0.5625,0.0,0.5625,0.5625,0.0,0.5625,0.5625,0.5625,0.8541666492819786,0.0,0.5625,0.0,0.0,0.5625,0.0,0.5625,0.0,0.0,0.0,0.5416666666666666,0.0
MZB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967948719859123,0.0,0.0,0.0,0.0
ECSCR,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930555572112402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STING1,0.0,0.875,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2D2,0.0,0.4583333333333333,0.0,0.0,0.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.819444422920545,0.0,0.4583333333333333,0.0,0.0,0.4583333333333333,0.0,0.4583333333333333,0.4583333333333333,0.0,0.0,0.4583333333333333,0.0
CYSTM1,0.75,0.8333333333333334,0.0,0.0,0.888888880610466,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.8333333333333334,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFDN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8958333333333334,0.9305555497606596,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA2,0.375,0.6458333333333334,0.0,0.0,0.375,0.375,0.375,0.6458333333333334,0.375,0.0,0.375,0.375,0.8229166666666666,0.375,0.375,0.0,0.0,0.375,0.0,0.375,0.375,0.0,0.0,0.375,0.0
IK,0.0,0.0,0.0,0.0,0.9479166666666666,0.0,0.0,0.8958333333333334,0.0,0.875,0.0,0.0,0.8958333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
