,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000197894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196344,0.0,0.0,0.0,0.0,0.0,1.2799916,0.0,0.0,0.0,0.0,1.1129867,0.0,0.35668993,1.141618,0.35514206,1.4490986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81766975,0.0,0.0,0.27527806,0.0,0.72405636,0.60974383,0.5304254,0.694713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4383365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99440795,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148671,0.0,0.0,1.8023677,0.0,1.3837636,0.0,0.0,0.86768854,1.3432012,1.5243338,1.1836207,1.1362593,1.1880069,1.2708069,1.70879,2.1384048,1.4833839,0.0,0.0,0.0,0.0,0.0,0.0,1.4253647,0.0,1.4954672,0.0,0.0,0.0,1.0938735,0.0,0.0
ENSG00000130706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6891327,0.0,0.0,0.0,0.7137967,0.7252691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92023623,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000035687,0.0,0.0,0.0,0.0,0.0,0.79155886,0.0,0.0,0.0,0.98937947,0.41089103,0.0,0.0,0.0,0.52715755,0.6022059,0.47900644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104964,0.0,0.0,1.1409795,0.0,1.4052744,1.8080816,0.0,1.1106297,1.2951918,1.8306944,1.3935971,1.348779,1.1822346,1.5228311,1.5113887,1.5890785,1.301043,1.7324655,0.0,0.0,0.0,0.0,0.0,1.499518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130396,0.0,0.0,0.0,0.0,0.0,1.151576,1.8464317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86078537,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26936164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751875,0.7757916,0.0,0.0,0.0,0.0,0.547749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106541,0.0,0.0,2.4753265,2.552298,2.4085555,2.3281057,1.9928519,3.485074,2.2659378,2.5643973,2.4191775,2.5847673,3.798635,3.4157712,2.7046814,2.8403697,2.1760967,0.0,0.0,0.0,0.0,0.0,0.0,2.8328304,2.5748534,0.0,0.0,0.0,0.0,2.9358525,3.0488174,0.0
ENSG00000173467,0.0,0.0,0.0,0.0,0.0,0.9866835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4217129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3706259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135541,0.0,0.0,0.0,0.0,0.0,0.0,0.8727816,0.0,0.0,0.0,1.046949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124942,0.0,0.0,1.44782,2.5072343,1.9661927,1.9262527,2.0837479,0.54609334,1.9031782,2.152833,1.8035533,1.7252481,1.4990509,1.9045008,1.9206346,2.2314978,1.923643,1.916573,0.0,0.0,0.0,2.9313588,1.1574786,1.9709542,2.3544245,1.3566322,1.3849915,0.0,0.0,2.616912,2.9998176,0.0
ENSG00000204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1918664,0.0,2.6264899,0.0,3.1965368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5098015,0.0,0.0,0.0
ENSG00000004455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57635164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155085,0.0,0.0,0.0,0.0,0.0,0.0,1.7752709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170776,0.0,1.1333646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43002394,0.0,0.0,0.0,0.34450948,0.77256376,0.0,0.0,0.0,0.0,0.0,1.049854,0.0,0.0,0.0,0.31378397,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186471,0.0,0.0,0.0,0.0,0.0,0.701113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127914,0.0,0.0,0.0,1.6194803,0.0,2.229539,2.3426118,0.5016036,0.6541071,0.0,1.598306,0.63474476,0.7074648,0.83054745,0.5764398,0.9276859,0.0,1.1787922,0.0,0.0,0.0,0.0,0.0,0.0,1.3481205,1.2323606,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106948,0.0,1.5009967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117448,0.0,0.0,0.0,0.0,1.5255543,1.1532391,0.0,1.4067817,1.3605382,1.3589159,1.238047,0.9936892,1.4315743,1.557555,1.4353148,1.7876288,1.5051179,0.0,0.8323054,0.0,0.0,0.0,0.0,1.7616566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
