,Aberrant erythroid,CD11c+ memory B cells,CD4+ cytotoxic T cells,CD4+ memory T cells,CD4+ naive T cells,CD56brightCD16- NK cells,CD56dimCD16+ NK cells,CD69+PD-1+ memory CD4+ T cells,CD8+ central memory T cells,CD8+ effector memory T cells,CD8+ naive T cells,CD8+CD103+ tissue resident memory T cells,Class switched memory B cells,Classical Monocytes,Conventional dendritic cell 1,Conventional dendritic cell 2,Early erythroid progenitor,Early promyelocytes,Eosinophil-basophil-mast cell progenitors,Erythro-myeloid progenitors,GammaDelta T cells,HSCs & MPPs,Immature B cells,Late erythroid progenitor,Late promyelocytes,Lymphomyeloid prog,Mature naive B cells,Megakaryocyte progenitors,Mesenchymal cells_1,Myelocytes,NK T cells,NK cell progenitors,Non-classical monocytes,Nonswitched memory B cells,Plasma cells,Plasmacytoid dendritic cell progenitors,Plasmacytoid dendritic cells,Pre-B cells,Pre-pro-B cells,Pro-B cells
TUBB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6853471520619515,0.0,0.706384770381145,0.6531920402477949,0.6730861006638943,0.6410256410256411,0.0,0.0,0.0,0.7634142805368472,0.6532940023984665,0.6907505087363415,0.0,0.689307940311921,0.7314770512091808,0.0,0.0,0.641742250858209,0.0,0.0,0.0,0.754181119111868,0.0,0.7866314389766791,0.656876252247737,0.7501953702706557
TUBB4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5754940846027472,0.6531874583317683,0.5770902389135116,0.636082418453999,0.5817634555009695,0.613903406338814,0.0,0.0,0.0,0.0,0.7098161562895163,0.6109205652505924,0.6210943429897993,0.0,0.6219962116999503,0.6727278324273916,0.5794626275698344,0.0,0.564178330776019,0.5641025641025641,0.0,0.5687680091613379,0.6893542989706382,0.0,0.7567664690506763,0.0,0.6593574346640171
TYMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581059275529324,0.0,0.7644087473551432,0.7435897435897436,0.7535994541950715,0.0,0.0,0.0,0.0,0.7895361765837058,0.7441753836778494,0.7824377371714666,0.0,0.7796959831164434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942867554151095,0.0,0.8016353325966077,0.0,0.8122664323219886
TYROBP,0.0,0.0,0.0,0.0,0.0,0.7936639923315781,0.7787668001957428,0.0,0.0,0.0,0.0,0.0,0.0,0.7861022322605817,0.7470024824142456,0.7680222651897333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7471846128121401,0.0,0.0,0.0,0.0,0.7764629171444819,0.0,0.740098374012189,0.8047404289245605,0.0,0.717948717948718,0.7299458155265222,0.7564471914218023,0.0,0.0,0.0
UBE2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597148620165311,0.0,0.9800575024042374,0.0,0.0
UBR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.8633592419135265,0.0,0.0,0.0,0.0,0.0,0.0,0.8796085180380405,0.0,0.8597713663027837,0.0,0.867813704869686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606534814223264,0.0,0.0,0.0,0.8590126939308949
UGCG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9609259473971832,0.9725766579310099,0.0,0.0,0.0
UHRF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8246448850020384,0.0,0.7948717948717948,0.8100667825111976,0.0,0.0,0.0,0.0,0.0,0.8344677090644836,0.8211440978906094,0.8278608474975977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638029801539886,0.0,0.8827497592339149,0.0,0.8982906952882425
UNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002120088308285,0.0,0.8428721733582325,0.8158450386463068,0.7980182659931672,0.0,0.0,0.0,0.0,0.8689496547747881,0.7948717948717948,0.855492400817382,0.0,0.8515858298692948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.840262865408873
USP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7734893545126303,0.0,0.7838132335589483,0.756759545741937,0.7435897435897436,0.0,0.0,0.0,0.0,0.7941515843073527,0.755723374012189,0.7802460285333487,0.0,0.7828602546300644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944670350123675,0.0,0.8233463794757159,0.0,0.8245369639152136
