,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
COX7C,2.6700616,2.5866365,0.0,2.7143261,0.0,1.1076013,3.109262,2.6316135,3.1178734,0.0,0.0,0.0,0.0,2.5137157,0.0,2.8134875
UQCRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN,0.0,0.0,0.0,0.0,0.0,0.0,1.4676012,2.935801,3.0774934,0.0,0.0,0.0,2.5040135,0.0,0.0,0.0
ATP5IF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0561578,0.0,0.0,0.0,0.0,0.0,0.0,2.9284763,0.0
DNAJA1,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9284763,0.0
MYL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917231,0.0
DSTN,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,2.7369895,0.0,0.0,0.0,0.0,0.0,3.9318256,0.0
ATP5PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0561578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000245910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99811983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844462,0.0,0.0,0.0,0.0,0.0
IFI27,0.0,0.0,0.0,0.0,3.9148202,3.4368176,0.0,0.0,0.0,2.7136722,0.0,0.0,0.0,0.0,0.0,0.0
RPL18A,3.2204132,3.1731794,2.526327,3.3240926,2.915173,3.0994902,2.9218986,3.7654262,3.0053785,0.0,2.7188191,3.0755208,0.0,2.8827543,3.3489397,3.2461548
HLA-DMA,0.0,0.0,0.0,2.226565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1178734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000215030,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEF1D,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,0.0,0.0,2.915173,3.1179876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MC2,0.0,0.0,0.0,0.0,0.0,0.0,1.5081956,2.471116,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL5,2.6852047,3.1472387,0.0,3.0062912,3.1493726,2.6449122,3.1998758,3.5007312,3.613646,0.0,0.0,2.6084962,0.0,1.6721102,2.915173,2.999922
RPL3,3.0994813,3.2677622,2.887543,3.2021327,2.9556878,3.1087961,3.5877585,3.9758315,3.613646,0.0,2.693469,2.8438175,0.0,3.0464292,3.2580965,3.2677622
RPL32,3.997759,3.761591,2.9436815,3.9000845,3.2923765,3.539049,3.772124,4.242501,3.747334,2.8899472,3.6619222,3.5893705,2.993598,3.3909585,3.5808492,3.8632565
TPM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1976187,0.0
MGP,0.0,0.0,0.0,0.0,3.5808492,3.3512669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTN,0.0,0.0,0.0,0.0,0.0,0.0,3.0664105,0.0,3.0053785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5737636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1689763,0.0,0.0,0.0,0.0,0.0,0.0
MS4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1939101,0.0,0.0,0.0,0.0,0.0
RPL13,3.1886563,3.1579585,2.5215757,3.234365,2.7189443,3.104649,2.9757967,3.729395,2.7679136,2.2497756,0.0,3.0072045,0.0,2.9118779,3.190889,3.268978
S100A6,3.9583313,0.0,0.0,2.4865127,0.0,0.0,3.594718,3.5500422,3.673454,0.0,4.0668855,3.7907598,3.08299,0.0,3.1976187,2.4320016
RPL10A,0.0,2.7336197,0.0,2.5809758,0.0,0.0,0.0,3.3928316,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,2.4315166
IFITM2,0.0,0.0,0.0,0.0,0.0,3.1324677,0.0,0.0,0.0,0.0,0.0,2.429391,0.0,2.964363,2.915173,0.0
SSR4,0.0,0.0,3.6101398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000283458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A4,4.660719,0.0,0.0,3.001737,0.0,0.0,1.4676012,3.442302,0.0,0.0,4.0093474,4.311194,0.0,2.913524,0.0,3.352933
ATP5MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTMA,3.0994813,3.2580965,0.0,3.2324147,3.2923765,3.301156,0.0,3.681058,3.613646,2.7103868,3.0813315,3.083438,2.7244506,2.9926975,3.59452,3.421969
SEM1,0.0,0.0,0.0,0.0,0.0,0.0,2.9085948,0.0,2.7679136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.144908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCIM,0.0,0.0,0.0,0.0,0.0,0.0,1.5081956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX7A2,0.0,0.0,0.0,0.0,0.0,0.0,2.9218986,2.4266531,0.0,0.0,0.0,0.0,0.0,0.0,3.2580965,0.0
NDUFA1,0.0,0.0,0.0,0.0,0.0,0.0,2.9218986,0.0,2.9201388,0.0,1.4272748,0.0,0.0,0.0,0.0,0.0
HNRNPK,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,2.0113676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL37A,3.2135153,3.1842077,2.6321208,3.2117991,3.3596034,3.2503219,3.574087,3.5495687,2.7679136,2.476471,3.2748396,3.0426197,2.449585,3.1035366,3.2580965,3.2473428
SON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99811983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3825824,0.0,0.0,2.5263276,0.0,0.0,0.0
RPS6,3.8078365,3.0689752,0.0,2.613173,0.0,0.0,1.5988094,4.4415836,0.0,0.0,3.2690372,0.0,0.0,0.0,0.0,3.0954795
ANXA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0915174,2.3888535,3.0072064,0.0,0.0,0.0
SEC11C,0.0,0.0,2.2094057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTF3,2.6700616,2.4465575,0.0,2.6393359,0.0,0.0,0.0,2.6843812,2.7369895,0.0,0.0,2.182429,0.0,0.0,0.0,2.5669842
SCP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7679136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5011737,0.0,0.0,0.0,0.0,0.0,0.0
