,author_cell_type_final,silhouette_score
IDA013_S1_cell_8,Peri-goblet cells,0.14131047494118712
IDA013_S1_cell_9,Basal II cells,-0.4090370599927678
IDA013_S1_cell_11,T cells,0.7254334133998873
IDA013_S1_cell_13,T cells,0.38714194895239856
IDA013_S1_cell_15,T cells,0.2726353635658745
IDA013_S1_cell_16,Neutrophils & macrophages,0.8447160313245677
IDA013_S1_cell_17,Ciliated cells,0.9593979591212458
IDA013_S1_cell_20,T cells,0.1381465526627951
IDA013_S1_cell_21,MT gene enriched cells,-0.8988057412085192
IDA013_S1_cell_23,T cells,0.18980668022989416
IDA013_S1_cell_26,T cells,0.7331739216594673
IDA013_S1_cell_27,T cells,0.7285166819208129
IDA013_S1_cell_29,Ciliated cells,0.9576608981002046
IDA013_S1_cell_30,Neutrophils & macrophages,0.8696009074273279
IDA013_S1_cell_32,Ciliated cells,0.9613300559419757
IDA013_S1_cell_34,Peri-goblet cells,0.6041236329108225
IDA013_S1_cell_35,Neutrophils & macrophages,0.8437272781726564
IDA013_S1_cell_36,Neutrophils & macrophages,0.8471476383748917
IDA013_S1_cell_37,T cells,0.7260044610008092
IDA013_S1_cell_39,T cells,0.719857094550883
IDA013_S1_cell_40,Neutrophils & macrophages,0.8485637537689081
IDA013_S1_cell_41,T cells,0.6131895633404638
IDA013_S1_cell_42,Neutrophils & macrophages,0.8599337591747581
IDA013_S1_cell_43,Neutrophils & macrophages,0.8494515663595181
IDA013_S1_cell_44,T cells,0.4113691487594998
IDA013_S1_cell_45,Neutrophils & macrophages,0.8137959012317552
IDA013_S1_cell_46,T cells,0.6811483314631219
IDA013_S1_cell_47,MT gene enriched cells,-0.22118903510123775
IDA013_S1_cell_48,Neutrophils & macrophages,0.8493855191403521
IDA013_S1_cell_49,Secretory cells (HLA-DQA1),0.6057531670129472
IDA013_S1_cell_50,T cells,0.2647299030042598
IDA013_S1_cell_52,Basal II cells,0.35296333610260455
IDA013_S1_cell_53,T cells,0.7011167800886928
IDA013_S1_cell_54,Neutrophils & macrophages,0.7966578372108989
IDA013_S1_cell_55,Peri-goblet cells,0.6057966595875731
IDA013_S1_cell_56,Neutrophils & macrophages,0.858348338496687
IDA013_S1_cell_57,Goblet cells,0.3285871748736682
IDA013_S1_cell_58,Secretory cells (HLA-DQA1),0.06459403370336105
IDA013_S1_cell_59,T cells,0.6934133697022737
IDA013_S1_cell_61,Neutrophils & macrophages,0.8687630653176721
IDA013_S1_cell_62,T cells,0.7015658039382694
IDA013_S1_cell_63,Secretory cells (HLA-DQA1),0.6402911213596082
IDA013_S1_cell_64,T cells,0.7147979919168219
IDA013_S1_cell_65,T cells,0.6716135074155584
IDA013_S1_cell_67,Peri-goblet cells,0.3487504214799338
IDA013_S1_cell_68,Peri-goblet cells,-0.48207049339431657
IDA013_S1_cell_69,T cells,0.7108881962717656
IDA013_S1_cell_70,T cells,0.19618245345086222
IDA013_S1_cell_71,Neutrophils & macrophages,0.8627107054674417
IDA013_S1_cell_72,T cells,0.711191235761902
IDA013_S1_cell_74,T cells,0.7018548228768454
IDA013_S1_cell_75,T cells,0.18483071686579366
IDA013_S1_cell_76,T cells,0.17720237684594012
IDA013_S1_cell_77,T cells,0.1734993241604992
IDA013_S1_cell_78,Ciliated cells,0.9616638316242044
IDA013_S1_cell_79,NK cells,0.6967728345076952
IDA013_S1_cell_80,Neutrophils & macrophages,0.800965009551463
IDA013_S1_cell_82,Neutrophils & macrophages,0.8454850607799456
IDA013_S1_cell_83,Neutrophils & macrophages,0.8136086678367326
IDA013_S1_cell_86,MT gene enriched cells,-0.2120804183045866
IDA013_S1_cell_89,Neutrophils & macrophages,0.8687054558240901
IDA013_S1_cell_90,T cells,0.6223472130194754
IDA013_S1_cell_91,Neutrophils & macrophages,0.8560947614039317
IDA013_S1_cell_93,Ciliated cells,0.9416309631398245
IDA013_S1_cell_95,Neutrophils & macrophages,0.8387645404196712
IDA013_S1_cell_96,MT gene enriched cells,-0.01950321509435141
IDA015_S1_cell_1,Basal cells,0.6372331982004668
IDA015_S1_cell_3,T cells,0.31922993198208216
IDA015_S1_cell_5,Dendritic cells,0.8883385036015659
IDA015_S1_cell_6,Peri-goblet cells,-0.6225044631884397
IDA015_S1_cell_8,Peri-goblet cells,-0.6484792613521458
IDA015_S1_cell_9,Dendritic cells,0.8516959098724037
IDA015_S1_cell_12,Goblet cells,0.3584783986348641
IDA015_S1_cell_13,T cells,0.6346269400572956
IDA015_S1_cell_14,Goblet cells,-0.4220351523997904
IDA015_S1_cell_16,Dendritic cells,0.7780415025135967
IDA015_S1_cell_18,Mast cells,0.9449478950522106
IDA015_S1_cell_20,Goblet cells,0.45721003487608086
IDA015_S1_cell_22,Dendritic cells,0.789622639137197
IDA015_S1_cell_23,Mast cells,0.9292618986980941
IDA015_S1_cell_29,T cells,0.6465085869943948
IDA015_S1_cell_31,T cells,0.3426492149678891
IDA015_S1_cell_34,Mast cells,0.9323936471505642
