,author_cell_type,silhouette_score
1130,B cell,0.7624322752220424
1132,CD8 T cell,0.15442882806305644
1133,Proximal tubule,0.06846015178163285
1134,NK cell,0.2534208296484139
1135,Proximal tubule,0.015766724215594254
1136,Proximal tubule,0.09594045618209845
1139,Proximal tubule,-0.0807156705250095
1140,Peritubular capillary endothelium 1,0.24444030383342452
1141,NK cell,0.11551187224129124
1142,Proximal tubule,0.10833567191595297
1146,Thick ascending limb of Loop of Henle,0.0925066498163406
1148,Type A intercalated cell,0.3595387447757939
1149,CD4 T cell,-0.307523915094507
1151,CD4 T cell,-0.013971510980782243
1152,Proximal tubule,-0.363217123785188
1155,Proximal tubule,-0.016165728517553095
1157,Proximal tubule,0.0715180638813689
1159,Proximal tubule,0.04425749418285305
1161,Proximal tubule,0.12663281497171777
1163,MNP-a/classical monocyte derived,0.2039679476585199
1164,Connecting tubule,-0.20039360709343765
1165,Epithelial progenitor cell,0.5373943278542321
1167,Proximal tubule,-0.11136152180347181
1168,Ascending vasa recta endothelium,0.1841475690882917
1174,Proximal tubule,-0.0828107417689901
1175,Proximal tubule,0.08951255510904865
1178,Proximal tubule,0.012934053733282295
1181,Proximal tubule,0.1357177409113994
1183,CD4 T cell,-0.2089454557411459
1185,CD4 T cell,-0.06623384538282
1187,Ascending vasa recta endothelium,-0.41172384476940227
1189,MNP-d/Tissue macrophage,0.343700668242049
1190,MNP-b/non-classical monocyte derived,0.32400757628565896
1191,Thick ascending limb of Loop of Henle,0.256948606089985
1194,CD4 T cell,-0.07741567407039199
1195,Proximal tubule,-0.08139680289481785
1197,Proximal tubule,0.12295344050376555
1198,Proximal tubule,0.06718741034519744
1199,MNP-a/classical monocyte derived,-0.30642209133716874
1200,Proximal tubule,0.08622918551443785
1202,Proximal tubule,-0.08146520342639635
1204,NK cell,0.10244763123223193
1210,CD8 T cell,-0.16749487595099993
1211,Proximal tubule,0.10970704693225575
1215,Proximal tubule,0.0706026331859396
1216,Distinct proximal tubule 1,0.3945112221604693
1217,MNP-b/non-classical monocyte derived,-0.5559659462446479
1218,Proximal tubule,0.07712749761716434
1219,Glomerular endothelium,0.8026529778608485
1220,Proximal tubule,-0.21772525092215747
1222,NKT cell,-0.5454296631954402
1223,Proximal tubule,0.0447399876049949
1224,MNP-b/non-classical monocyte derived,0.3274484245739073
