,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
ENSG00000198814,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000090470,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000170571,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000232119,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000062716,1.1,0.1,0.1,0.1,1.1,1.1,2.1,0.1,0.1
ENSG00000164924,4.1,2.1,2.1,2.1,6.1,5.1,4.1,1.1,2.6
ENSG00000100290,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000131747,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000168792,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000103365,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000115053,1.1,1.1,1.1,1.1,1.1,2.1,2.1,1.1,1.5999999
ENSG00000143891,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000164626,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000111639,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000189136,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000205542,19.1,2.1,1.1,4.1,24.1,12.1,10.1,1.1,6.6000004
ENSG00000196419,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
ENSG00000168843,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000137103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000099817,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
ENSG00000076356,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ENSG00000184007,4.1,1.1,2.1,2.1,4.1,2.1,3.1,1.1,1.5999999
ENSG00000165832,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000109738,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000090339,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000135334,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000089280,0.1,0.1,0.1,0.1,0.1,1.1,0.1,1.1,0.1
ENSG00000100994,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000038219,0.1,0.1,1.1,0.1,1.1,1.1,1.1,0.1,0.6
ENSG00000155660,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000146731,1.1,1.1,1.1,1.1,2.1,2.1,2.1,1.1,1.1
ENSG00000091972,0.1,1.1,1.1,1.1,0.1,1.1,0.1,1.1,0.1
ENSG00000162298,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000168807,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ENSG00000182827,0.1,0.1,1.1,1.1,1.1,0.1,1.1,1.1,1.1
ENSG00000130766,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
ENSG00000163331,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000114200,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1
ENSG00000163191,4.1,0.1,0.1,1.1,7.1,2.1,4.1,1.1,1.5999999
ENSG00000156642,1.1,2.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
ENSG00000065308,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000136824,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000182831,0.1,0.1,0.6,0.1,0.1,0.1,1.1,0.1,0.1
ENSG00000088888,0.1,0.1,0.1,0.1,1.1,0.1,0.1,1.1,0.1
ENSG00000171314,1.1,2.1,3.1,2.1,2.1,2.1,4.1,1.1,1.1
ENSG00000100207,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000106484,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000136732,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000110848,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000174903,0.1,0.1,0.1,0.1,0.1,1.1,0.1,1.1,0.1
