,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
PHGDH,1.0664036,0.76322365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97046286
NOTCH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551365,0.0,0.0
ANP32E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15608278
APH1A,0.4851715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5968162,0.0,0.49383247
MCL1,1.0303215,1.4544637,0.0,0.0,0.0,0.0,0.0,0.0,1.1523705,1.3195646,1.209013
ENSA,1.3299537,1.1810668,0.0,0.0,0.0,0.0,0.0,0.0,1.1823418,0.9809342,1.1962643
CTSK,0.0,0.0,0.0,0.0,2.0465071,0.0,0.0,0.0,0.0,0.0,0.0
BNIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7964066,0.0,0.0
PSMD4,0.2515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44567847
PSMB4,0.43982816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45452473
TUFT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795193,0.0,0.0
THEM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80004704,0.0,0.0
S100A10,1.7445748,1.838639,2.9831538,3.078058,3.4935622,2.7965255,3.500654,0.0,0.0,2.4319348,2.1789465
S100A11,2.3686054,2.417482,1.7919788,1.8177459,2.248991,1.7534366,1.9076495,1.6435732,1.6135217,2.0327625,1.9814959
IVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6014924,0.0,0.0
SPRR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54993355,0.0,0.0
SPRR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.914628,0.0,0.0
S100A6,0.0,0.0,3.8771229,4.442739,4.6288776,3.259604,4.43787,4.1228495,0.0,1.6713647,1.4453247
S100A4,0.0,0.0,0.0,2.9201388,3.3633747,3.6122909,2.231363,3.6546998,0.0,0.0,0.44663668
S100A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4044442,2.662036
S100A16,2.2292364,2.0129378,1.0646086,0.0,0.0,0.0,0.0,0.0,2.0481112,1.676808,1.768323
S100A14,2.9359326,2.9940853,0.0,0.0,0.0,0.0,0.0,0.0,2.745482,2.4765053,2.581885
S100A13,0.0,0.0,1.3846614,1.214981,1.8289733,0.0,0.0,0.0,0.0,0.0,0.0
ILF2,0.4841416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799101
JTB,0.6976948,0.466624,0.0,0.0,0.0,0.0,0.0,0.0,0.5201708,0.0,0.7331132
RAB13,0.64971596,0.0,0.83727324,0.0,0.0,0.0,0.0,0.0,0.360686,0.0,0.7370399
RPS27,4.1059504,4.0899763,3.7397041,3.5858214,3.6080635,4.1480703,3.030723,3.8408494,3.6280565,4.013129,3.9501905
TPM3,0.5338392,0.0,1.2575314,0.0,0.0,0.0,0.0,0.0,0.61829734,0.0,0.7371819
C1orf43,0.75962687,0.6195407,0.0,0.0,0.0,0.0,0.0,0.0,0.6716385,0.75254667,0.7508292
PMVK,0.67297584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62597936,0.0,0.5135678
ZBTB7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32243782,0.0,0.0
ADAM15,0.62356985,0.0,1.0513942,0.0,0.0,0.0,0.0,0.0,0.7491206,0.0,0.0
