,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,progenitor
RSRP1,0.66486925,0.43968603,0.52501255,0.6073476,0.7053993,0.4123062,0.54835504,0.4427801,0.57919157,0.5132271,0.6301578,0.6592301,0.64885896,0.40408635,0.33595145,0.6394809,0.0,0.27493972,0.0,0.3577894,0.64508,0.7050874,0.6559407,0.20369968,0.28146034
TMEM50A,0.27555716,0.0,0.0,0.44051322,0.5694045,0.38559583,0.42161164,0.0,0.49348235,0.5132271,0.5369221,0.54828084,0.0,0.4180255,0.341401,0.0,0.0,0.32934028,0.3420217,0.36062706,0.47171438,0.5485406,0.0,0.5494138,0.35479337
MACO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28965908,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16685241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799474,1.146436
ZNF593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084777206,0.0,0.0,0.0,0.0,0.27629477
SH3BGRL3,1.5129907,1.6907008,0.9886917,1.9511421,2.133933,1.9161282,1.6676326,1.8481268,1.602798,1.2498696,1.9257483,1.6092839,1.6680524,1.220299,2.0580328,1.9835467,0.6384646,2.5615354,2.7756147,2.323295,0.9347783,1.9424125,1.7277653,1.4935617,1.084523
UBXN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401572,0.32160354,0.0,0.0,0.0,0.0,0.0
CD52,0.0,1.5334134,0.9160021,1.5562718,1.8131291,1.6747292,1.0982915,1.448877,1.1835921,0.883684,1.3508322,0.0,0.8385043,0.16942969,0.33868378,1.5698361,0.0,0.36868796,0.9165369,1.368291,0.0,0.58081466,0.6648075,0.0,0.19640116
ZNF683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.6449238,0.48971772,0.6002885,0.51396954,0.6273061,0.69504344,0.5891588,0.500458,0.5119833,0.7750638,0.6398375,0.671158,0.6338324,0.5171445,0.59857726,0.7042781,0.0,0.58824253,0.49118358,0.873718,0.71335393,0.7046518,0.7942236,0.78789437,1.1951277
RPS6KA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881239,0.09426282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30980533,0.19168226,0.0,0.0,0.1907028,0.0,0.0,0.0,0.0,0.0,0.0,0.3092512
ZDHHC18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30980533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
