,Cell_label,silhouette_score
776455_Aged2_776455_4,Late erythroid progenitor,0.3224069263068156
559672_Aged2_559672_4,Lymphomyeloid prog,-0.42971900412433406
121586_Aged2_121586_4,Plasmacytoid dendritic cell progenitors,0.20332713470083477
450733_Aged2_450733_4,Pro-B cells,0.19330250444462224
673732_Aged2_673732_4,HSCs & MPPs,0.4556563796243833
270606_Aged2_270606_4,Conventional dendritic cell 1,0.20434510608017625
182009_Aged2_182009_4,CD4+ memory T cells,0.21782630157951316
397463_Aged2_397463_4,CD4+ memory T cells,0.23612913916314457
725871_Aged2_725871_4,Non-classical monocytes,0.572306875252805
335728_Aged2_335728_4,HSCs & MPPs,0.4822734532178371
403149_Aged2_403149_4,Pre-B cells,0.16067070977418618
821806_Aged2_821806_4,Early erythroid progenitor,0.585615606983788
337639_Aged2_337639_4,Classical Monocytes,0.3007048939510417
601373_Aged2_601373_4,CD8+CD103+ tissue resident memory T cells,-0.5875356484089082
47265_Aged2_47265_4,Plasmacytoid dendritic cells,0.6999646821568933
342686_Aged2_342686_4,Pre-B cells,0.033862414423735776
634879_Aged2_634879_4,Late erythroid progenitor,0.3524324998785065
810177_Aged2_810177_4,Lymphomyeloid prog,0.055066461540518925
556984_Aged2_556984_4,Pro-B cells,0.38884169785892464
285107_Aged2_285107_4,CD4+ memory T cells,0.2572632900351349
804028_Aged2_804028_4,Non-classical monocytes,0.6096245338812307
21836_Aged2_21836_4,Early erythroid progenitor,0.014391986755163427
708902_Aged2_708902_4,CD8+CD103+ tissue resident memory T cells,-0.015202893372892967
103210_Aged2_103210_4,Pro-B cells,0.15407742246270922
182141_Aged2_182141_4,Conventional dendritic cell 1,0.008702876526056686
510790_Aged2_510790_4,HSCs & MPPs,0.287053245917509
436760_Aged2_436760_4,HSCs & MPPs,0.46842082029580256
443120_Aged2_443120_4,Pro-B cells,0.4033189204130463
816161_Aged2_816161_4,CD8+CD103+ tissue resident memory T cells,-0.4053715996700024
711624_Aged2_711624_4,Pre-B cells,-0.19246378265640351
270616_Aged2_270616_4,Plasmacytoid dendritic cells,0.5785736457981748
191187_Aged2_191187_4,Early promyelocytes,0.1606298009988455
498015_Aged2_498015_4,Myelocytes,0.07234271102734584
600401_Aged2_600401_4,HSCs & MPPs,0.5801097331551611
209136_Aged2_209136_4,HSCs & MPPs,0.31917998905909456
255297_Aged2_255297_4,Lymphomyeloid prog,0.18727476985368405
641077_Aged2_641077_4,Early erythroid progenitor,0.14526997126106295
532151_Aged2_532151_4,CD4+ memory T cells,0.24168341498896406
760521_Aged2_760521_4,Conventional dendritic cell 2,0.5913650310228455
125569_Aged2_125569_4,CD8+CD103+ tissue resident memory T cells,-0.15106324234815693
30141_Aged2_30141_4,CD8+ effector memory T cells,0.3494239920865483
451233_Aged2_451233_4,Pre-B cells,-0.4374351450315622
157974_Aged2_157974_4,Conventional dendritic cell 1,0.3940809945324983
607026_Aged2_607026_4,Late erythroid progenitor,0.5667242399329379
204559_Aged2_204559_4,CD4+ memory T cells,0.10097436880228602
55861_Aged2_55861_4,Early promyelocytes,-0.6525373887688648
580270_Aged2_580270_4,Mature naive B cells,0.35878522438286775
770851_Aged2_770851_4,Pro-B cells,0.16459037456658748
853749_Aged2_853749_4,Early erythroid progenitor,0.38638593452635245
237342_Aged2_237342_4,Pre-B cells,-0.3558056647226137
733475_Aged2_733475_4,Plasmacytoid dendritic cells,0.308156598308914
33091_Aged2_33091_4,Lymphomyeloid prog,0.19244730847637756
586275_Aged2_586275_4,Mature naive B cells,0.26083925938458963
