,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000117308,0.0,0.0,0.9882135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77644396,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117305,0.0,0.0,1.912999,0.7621285,0.7480673,0.0,0.86061513,0.0,0.0,0.0,0.0,0.0,0.8910484,0.0,0.9726108,0.0,0.0,0.8699837,0.0
ENSG00000179163,0.0,0.0,1.9953727,0.9929974,0.9671206,0.0,0.99432683,0.0,0.0,0.0,0.0,0.0,1.9947753,0.9876629,0.0,0.0,0.0,0.0,0.0
ENSG00000189266,0.0,0.97778636,4.9768276,0.9986917,1.9541811,0.0,1.968955,0.99668777,0.0,0.9388497,0.0,0.0,1.9879475,0.992594,0.0,0.0,0.0,0.98126465,0.9941928
ENSG00000188529,0.0,0.0,2.9875295,1.958746,0.99041635,0.0,0.9951354,0.9976721,0.0,0.0,0.97749907,0.0,1.9569004,1.9907696,0.0,0.0,0.0,0.99678195,0.9917297
ENSG00000001461,0.0,0.0,0.99398327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96834344,0.0,0.0,0.0,0.0,0.0,0.99190694
ENSG00000117602,0.0,0.0,0.98789454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.99197465,0.0,7.393841,2.919259,1.9727061,0.99349344,2.9829705,1.9732869,0.0,1.9869244,1.9550419,0.9958775,3.937784,2.972663,0.94463974,0.48333138,0.99596393,1.9892426,1.9889534
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.9928235,0.0,0.0,0.0,0.0,0.88886154,0.0,0.0,0.99376094,1.9808794,0.0,0.0,2.7352293,1.7730566
ENSG00000020633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99943984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117614,0.93828094,0.977883,4.946847,1.8941905,0.9909608,0.9701773,1.9323716,1.9922287,0.0,0.9940342,0.9838878,0.9925284,1.9840872,1.9811687,0.95818627,0.0,0.0,1.9691749,0.99736845
