,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000196628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5097218,0.0,0.0,0.0,0.0,0.0
ENSG00000092096,0.0,0.0,0.94664884,0.310806,0.0,0.42464307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136152,0.34308666,0.0,0.0,0.0,0.0,0.0,0.9402776,0.40681967,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178127,0.22235209,0.5741404,0.66967744,0.6705397,0.47387585,0.60822654,0.82074153,1.0094845,0.0,0.0,0.5501354,0.0,0.0,0.7316363
ENSG00000106624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1656305
ENSG00000198612,0.0,0.0,0.0,0.0,0.0,0.0,0.47866064,0.44575673,0.0,0.0,0.0,0.0,0.0,0.71352744
ENSG00000206573,0.0,0.0,0.0,0.09550878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102471,0.0,0.0,0.0,0.0,0.0,0.0,0.45629203,0.5235131,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113269,0.0,0.0,0.0,0.2840456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153037,0.20710571,0.28012657,0.7616629,0.4957224,0.0,0.5570352,0.95512146,0.9297438,0.907464,0.0,0.4425795,0.0,0.48775393,0.82219243
ENSG00000176101,0.0,0.0,0.43416297,0.32547584,0.0,0.0,0.30049515,0.66161025,0.0,0.0,0.0,0.0,0.0,0.45001513
ENSG00000175701,0.0,0.0,0.0,0.26066768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106635,0.0,0.0,0.0,0.33591318,0.0,0.0,0.57637477,0.37816316,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178741,0.7708123,1.0407858,0.80820835,0.68811053,0.44221538,0.67351705,1.0736817,1.2786202,0.8933128,0.0,0.52717054,0.0,0.0,1.013679
ENSG00000152518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51101935,0.0,0.0,0.0,0.0,0.33842427
ENSG00000125970,0.0,0.0,0.0,0.22866754,0.0,0.0,0.92820317,0.84615666,0.0,0.0,0.0,0.0,0.0,0.58309674
ENSG00000105854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46201432,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116717,0.13380538,0.0,0.85134685,0.42681423,0.0,0.0,0.9333065,0.4342874,0.0,0.0,0.0,0.0,0.0,0.48874068
ENSG00000108424,0.0,0.0,0.42946655,0.29020414,0.0,0.0,0.3590883,0.28989068,0.0,0.0,0.0,0.0,0.0,0.3400098
ENSG00000204103,0.0,0.0,0.55335104,0.49404773,0.33824563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196975,0.0,0.0,0.0,0.0,0.0,0.0,1.1708479,2.1668756,0.0,0.0,0.0,0.0,0.0,0.0
