,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
ERBB4,0.0,0.0,0.0,3.2629168,2.6801171,0.0,3.0660448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAG16,0.0,0.0,0.0,0.0,0.0,2.7578306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60302675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC11A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2234955,0.0,0.0
DOCK10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2050853,1.7917595,0.0,0.0
COL4A3,0.0,0.0,1.9924014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PID1,0.0,0.0,0.0,1.6385416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGAP1,0.0,0.0,0.0,1.5457308,0.0,1.8672484,2.0045507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRFIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1328747,0.0,0.0
ATG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1350088,0.0,0.0,2.1901448,0.0,0.0
PPARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1611989,0.0,0.0
TBC1D5,0.0,0.0,0.0,0.0,2.0535998,1.302881,0.0,0.0,0.0,0.0,0.0,0.0,2.038042,0.0,0.0
UBE2E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8241501,0.0,2.288222,0.0,0.0,2.563105,0.0,0.0
NEK10,0.0,0.0,0.0,0.0,0.0,2.6786342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS3,3.163366,2.6208189,3.4751415,0.0,3.1547756,1.9483142,2.761879,3.7554548,0.0,0.0,0.0,0.0,0.0,0.0,2.9801917
TGFBR2,2.7039146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0595303,0.0,0.0
ULK4,0.0,0.0,0.0,0.0,0.0,2.7870038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94656783,0.0,0.0,0.0,0.0,0.0,0.0
CACNA1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH12,0.0,0.0,0.0,0.0,0.0,3.3276439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHIT,0.0,0.0,2.0279484,2.5488553,2.0540218,1.9078307,2.554587,0.0,0.0,0.0,0.0,0.0,2.0874894,0.0,0.0
PTPRG,0.0,3.126168,0.0,2.9539628,2.390109,0.0,2.0850446,3.1175294,0.0,0.0,0.0,0.0,0.0,0.0,2.8591888
PRICKLE2,0.0,0.0,0.0,0.0,0.0,1.6746088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI1,3.1836815,2.7376652,3.2546687,2.5273862,1.8617232,2.6798978,2.5306149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRMD4B,2.803625,0.0,0.0,2.4630988,2.0346918,0.0,0.0,1.9483283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6342111,0.0,0.0
FOXP1,2.9574163,2.6700616,2.5692062,2.9234643,2.8196802,2.5923386,2.7458134,0.0,0.0,2.0265174,0.0,2.4779685,2.1866286,3.1220112,0.0
PDZRN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0709596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0837693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL8A1,0.0,0.0,1.9074056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.902544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,2.7871218,1.9390842,2.2463417,2.4811044,2.4714966,0.0,0.0,2.5064447,0.0,0.0,1.8672471,0.0,0.0
CBLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.770249,0.0,0.0,0.0,0.0
CFAP44,0.0,0.0,0.0,0.0,0.0,1.5129253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB20,3.1606772,2.6782317,2.91133,2.8026247,2.5165942,2.603848,2.759907,2.950809,2.8117304,0.0,0.0,2.7282548,0.0,3.0400887,2.7019117
LSAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6795533,0.0,0.0,0.0,0.0,3.2310905,0.0,0.0
KALRN,3.0173154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAP100,0.0,0.0,0.0,0.0,0.0,1.5219252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCC1,0.0,0.0,1.6691322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK11,0.0,0.0,0.0,0.0,0.0,2.2075133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLCO2A1,0.0,1.8008977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAG1,0.0,0.0,0.0,0.0,1.8749937,0.0,0.0,0.0,1.1331184,0.0,0.0,0.0,0.0,0.0,0.0
MBNL1,2.4789786,0.0,2.5597956,2.7948995,2.890349,0.0,2.7916641,0.0,2.9110594,2.573111,2.8265157,3.1688046,2.5802698,2.6417544,2.056254
ARHGEF26,0.0,0.0,2.1091375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCH1,0.0,0.0,0.0,0.0,0.0,1.2854743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBBX,0.0,0.0,0.0,0.0,0.0,2.2104993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERPINI2,0.0,0.0,0.0,0.0,0.0,2.0419421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR49,0.0,0.0,0.0,0.0,0.0,2.5123487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MECOM,0.0,0.0,3.2390628,3.6073442,3.5216715,1.8111956,3.6869106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIK,0.0,0.0,0.0,1.7801871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5158048,0.0
FNDC3B,0.0,0.0,2.0544724,1.7318614,1.982367,0.0,0.0,2.0491586,0.0,0.0,0.0,0.0,2.6252625,0.0,0.0
NAALADL2,0.0,0.0,0.0,0.0,0.0,1.8422432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCF2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8845624,0.0,0.0
MAP3K13,0.0,0.0,0.0,0.0,0.0,1.2587928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0736878
ST6GAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2063966,0.0,0.0,0.0,0.0,0.0,0.0
LPP,0.0,0.0,2.4865127,1.8224053,2.2809057,0.0,2.1559978,2.4228096,0.0,2.200788,0.0,0.0,2.3502,0.0,3.7332869
TPRG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7265224,0.0,0.0
