,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
LDHA,1.0373836,1.1169286,0.0,0.7791059,0.84852874,0.0
RPS26,1.5587237,1.6102204,1.2553885,1.0077214,1.1739054,1.1618218
RPS7,2.2325745,1.9975337,2.2257571,2.1924167,1.9709561,2.0419989
SOD1,0.87063897,0.7709596,0.81022483,0.6422173,0.55432355,0.0
RPS11,1.7799443,1.5515223,1.7509117,1.777395,1.5755947,1.5769334
HNRNPK,0.7870524,0.8288526,0.0,0.4612973,0.0,0.0
TLE5,0.0,0.0,0.0,0.708447,0.0,0.0
BZW1,0.0,0.5775466,0.0,0.0,0.0,0.0
ANXA1,0.0,0.9208901,0.8510273,0.9542141,1.3343103,0.0
ALDOA,1.0832126,1.1092821,0.8495077,0.7946831,0.8849076,0.0
SELENOK,0.50229335,0.6357742,0.0,0.0,0.0,0.0
RPS8,2.8179986,2.3517468,2.7739358,2.7633243,2.2867806,2.6028595
ENSG00000225912,1.3782113,1.1136949,1.3117888,1.4490955,1.1685007,1.4206868
ARL6IP5,0.0,0.44953084,0.0,0.0,0.0,0.0
PTPRC,0.0,0.7199944,0.0,0.83013433,0.9910231,0.0
PDCD5,0.3806185,0.0,0.0,0.0,0.0,0.0
RPL36AL,1.6547592,1.7902337,1.4005995,1.5713359,1.6904417,1.5320512
H3-3B,1.7536958,1.8763655,1.40043,1.4106436,1.5539331,1.4305433
SPCS2,0.0,0.5307491,0.0,0.0,0.0,0.0
EIF3G,0.57201993,0.44838876,0.0,0.0,0.0,0.0
KLF6,0.6551198,0.92169106,0.86476433,0.8298135,1.1810851,0.0
TMEM258,0.7639768,0.85897267,0.0,0.0,0.45422116,0.0
TAPBP,0.51334065,0.0,0.0,0.0,0.0,0.0
JUNB,0.6623755,0.8210402,0.0,0.0,0.0,0.0
NPM1,1.5460452,1.267891,1.3933744,1.3160183,1.039891,1.2638701
RPS12,3.3179588,2.9984472,3.3184202,3.3161387,3.01837,3.2528746
SRP14,1.2703176,1.4735215,1.0910109,1.0191972,1.210363,0.9515589
AURKAIP1,0.3127791,0.0,0.0,0.0,0.0,0.0
ENSG00000277734,1.1657298,1.3736718,1.2744731,1.2936707,1.4489125,1.0947175
GZMB,0.0,2.478524,0.0,0.0,0.0,0.0
MT2A,0.0,0.48277432,0.0,0.0,0.0,0.0
SLIRP,0.48536688,0.0,0.0,0.0,0.0,0.0
POLR2L,0.9683262,1.2117378,0.9542862,0.65485907,0.99510205,0.0
ENSG00000215030,1.0597123,0.80829185,0.9384133,1.3325,1.0338612,1.3054298
TNFAIP8,0.50564045,0.3993527,0.0,0.0,0.0,0.0
NHP2,0.59523344,0.0,0.0,0.0,0.0,0.0
GNG5,0.5593959,0.6562958,0.0,0.0,0.0,0.0
SRSF7,0.73807216,0.67406106,0.0,0.0,0.0,0.0
ENSG00000279483,0.26296794,0.0,0.0,0.0,0.0,0.0
CCL4,0.0,0.9195583,0.0,0.0,0.0,0.0
RPL9,2.448101,2.1331425,2.5112996,2.5179203,2.183066,2.4487305
RPS20,2.225736,2.0011756,2.2475734,2.2664766,2.025073,2.3017278
