Original_annotation,mean,std,median,count,q1,q3,f_score
Endothelia_Lymphatic,-0.0563798672616003,0.2110413206163791,-0.124560495,2662,-0.2478784325,0.17529940500000002,0.7049518569463549
EREG+ Dendritic,-0.13946992120070423,0.2565554975147916,-0.126255465,142,-0.34775567500000004,0.07858912125,0.4294478527607362
Monocyte_CD14,-0.14815655848240764,0.22718522497261154,-0.12762761,4980,-0.282178865,0.030050491,0.6102390552995391
Myofibroblast,-0.15450326494867256,0.21486485320689186,-0.133650965,452,-0.31404996,0.04573986375,0.2604166666666667
DC_Langerhans,-0.18106675427777777,0.15717463340338672,-0.139523275,18,-0.28457801,-0.05159431075,0.2702702702702703
OLR1+ Classical Monocyte,-0.1676377329816425,0.1772903109197405,-0.14088762,207,-0.272342535,-0.036932602,0.4322766570605187
Basal,-0.11241190177192292,0.23395992133187907,-0.1471572,1509,-0.24206623,0.09011263,0.7420526793823796
Artery,-0.18945067730015938,0.19523838397920515,-0.149070965,1484,-0.3145466725,-0.032278868,0.7036790780141844
ncMonocyte,-0.2303629288146503,0.3875478479175051,-0.162279375,1058,-0.6172850624999999,0.16216739,0.4336043360433604
Muscle_smooth_syst_arterial,-0.20810829684782609,0.13762540157632683,-0.16763405,92,-0.29691797,-0.09995280125,0.2651515151515151
Endothelia_vascular_venous_pulmonary,-0.19191517309250852,0.12551078551431746,-0.170477225,1762,-0.262907665,-0.09512873625,0.4902534113060429
Mast_cells,-0.23442012636682583,0.18949395180646691,-0.17250684,2911,-0.279951035,-0.113224235,0.5084490610063603
CD8_EM/EMRA,-0.21983926881372803,0.20455631380471595,-0.17918733,1537,-0.34483048,-0.060766008,0.4657914668013128
Vein,-0.19324677727122078,0.16053578550022896,-0.18309282,1155,-0.257090405,-0.0913464625,0.640817274204783
Macrophage_MARCOneg,-0.18049169083122732,0.1114308416080631,-0.18650289,937,-0.25026882,-0.10571489,0.3831150738367233
Dividing_AT2,-0.19862710705882353,0.1651887939237402,-0.187575865,34,-0.28910237,-0.0926202025,0.131578947368421
Plasma_cells,-0.26357042510174217,0.20663234158999808,-0.19108506,287,-0.40600364,-0.12914257,0.7088989441930619
SMG_Serous,-0.20354059922222223,0.07638223774510518,-0.197616025,18,-0.257147165,-0.13675322750000002,0.5263157894736842
Erythrocyte,-0.2752205463741214,0.26872368244932443,-0.22710401,313,-0.5009224,-0.0122032175,0.7913669064748201
Capillary,-0.2022434079368241,0.19264329252844772,-0.22717132,7391,-0.36172566,-0.0606368405,0.7273240829008226
NAF_endoneurial,-0.18342532983333334,0.2829996182177264,-0.23355988,18,-0.46255458499999996,0.06187727825,0.5555555555555556
Bronchial Vessel 1,-0.2756374406703297,0.187085600658792,-0.23495813,455,-0.34079292,-0.13081205,0.3091624508150646
Macro_dividing,-0.3021892407230769,0.22567835049089724,-0.23654944,130,-0.32410394,-0.13712935,0.1056338028169014
