,AT2 cell,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Basal cell,CB CD34+,Chondrocyte,Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Epithelial cell,Fetal chondrocyte,Fetal epithelial progenitor,Fetal mesenchymal progenitor,Fetal stromal cell,Fibroblast,M2 Macrophage,Macrophage,Mast cell,Mesothelial cell,Monocyte,Neutrophil,Neutrophil (RPS high),Sinusoidal endothelial cell,Smooth muscle cell,Stratified epithelial cell,Stromal cell,T cell,Thyroid follicular cell
ENSG00000159140,0.0,0.0,0.0,0.0,0.0,0.0,0.9310344827586207,0.0,0.0,0.0,0.0,0.0,0.936255352250461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553281109908531
ENSG00000145287,0.0,0.9310344827586207,0.9395615787341677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9506540421781868,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139329,0.0,0.0,0.0,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,0.0,0.8758289505695475,0.0,0.0,0.0,0.8783271518246881,0.0,0.8675549030303955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9021255024548235,0.0,0.0
ENSG00000137154,0.3684644226370187,0.4486364331738702,0.3930933105534521,0.3463617069967862,0.3411182165145874,0.35034256351405174,0.0,0.4033328952460453,0.3180933512490371,0.0,0.3899976898883951,0.418748349979006,0.31510004092907085,0.0,0.0,0.0,0.0,0.31313479768818825,0.33285336042272634,0.3834286558217016,0.4214036012517995,0.0,0.0,0.5404011751043385,0.3926726333026228,0.3462426991298281,0.0,0.3103448275862069,0.46939235514607924,0.33485014274202546
ENSG00000197111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160678,0.0,0.0,0.0,0.0,0.0,0.0,0.9675070335125101,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135046,0.0,0.5548521177522068,0.0,0.0,0.5244606034509067,0.0,0.0,0.5139366223894316,0.0,0.0,0.0,0.49540036300133017,0.0,0.5068391952021368,0.0,0.4827586206896552,0.5056387309370369,0.5468961103209133,0.0,0.5688613509309703,0.5021598071887575,0.5435185370774105,0.5440327525138855,0.5944110689492061,0.5129306932975506,0.0,0.6069285828491737,0.0,0.55845550627544,0.0
ENSG00000010278,0.0,0.0,0.0,0.0,0.853569785068775,0.0,0.8301951905776714,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.8288660439951666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8420115832624764,0.0,0.0,0.8524988067561182
ENSG00000161921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166562,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145741,0.0,0.8977695189673325,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.0,0.864258870996278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87429468796171,0.0,0.0,0.8674001097679138,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9680868592755548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075785,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878956860509412
