,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
ENSG00000180353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173230,1.9459101,1.7917595,1.609438,1.7917595,1.7917595,1.7917595,1.609438,2.1972246,2.0794415,1.9459101,2.0794415,1.7917595,1.7917595,1.3862944,1.7917595,1.9459101,1.9459101,1.3862944,1.7917595,1.7917595,1.7917595,1.609438
ENSG00000173226,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000160124,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0
ENSG00000114023,1.0986123,1.0986123,1.3862944,1.3862944,1.3862944,0.6931472,0.6931472,1.3862944,0.6931472,1.0986123,1.3862944,1.0986123,0.6931472,0.6931472,1.0986123,0.6931472,1.0986123,1.3862944,1.3862944,1.3862944,0.6931472,1.3862944
ENSG00000114030,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000163840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000173193,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000065485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121542,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472
ENSG00000173175,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000206527,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000175455,0.6931472,1.0986123,0.6931472,0.0,0.0,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123,1.3862944,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,1.7917595,0.6931472
ENSG00000160145,0.6931472,0.6931472,0.0,0.6931472,0.6931472,1.7917595,1.609438,0.0,0.0,1.0986123,0.0,1.0986123,1.0986123,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,1.3862944,0.6931472
ENSG00000114491,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000082781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173702,1.0986123,0.6931472,0.6931472,1.0986123,1.609438,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,1.7917595,1.9459101,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472
ENSG00000221955,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,1.0986123,1.9459101,2.1972246,1.609438,1.9459101,0.0,0.0,0.0,0.6931472,1.0986123,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472
ENSG00000163848,1.3862944,1.3862944,1.3862944,1.3862944,1.0986123,1.3862944,1.609438,1.3862944,1.609438,1.609438,1.3862944,1.0986123,1.0986123,1.3862944,1.3862944,1.0986123,1.3862944,1.0986123,1.0986123,1.0986123,1.609438,1.3862944
ENSG00000114520,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.3465736,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000144909,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0
ENSG00000241288,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0
ENSG00000070476,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000074416,0.6931472,0.0,0.0,0.0,0.6931472,0.6931472,1.0986123,1.609438,1.609438,1.609438,1.609438,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472
