,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ENSG00000103978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000034510,0.3420423460858209,0.37752927414008547,0.3429976723023823,0.38584375168595997,0.0,0.0,0.42352196999958586,0.4361728472369058,0.4385716212647302,0.0,0.34296053435121265,0.4188859058277948,0.0,0.3365923379148756,0.0,0.5092000024659293,0.32142857142857145,0.0,0.4198579341173172,0.404733025601932,0.0,0.34579880109855105,0.0,0.32940129935741425,0.34238728668008533,0.0,0.3735309988260269,0.35495689511299133,0.35362182344709125
ENSG00000205542,0.3037006003516061,0.3345900582415717,0.3581964543887547,0.3268452691180365,0.0,0.25,0.3454443258898599,0.41708896841321674,0.3481192354645048,0.0,0.2996089224304472,0.33846713815416607,0.0,0.3369048003639494,0.0,0.3946877100637981,0.28000577645642416,0.286293483206204,0.34983410366943907,0.34569287512983593,0.0,0.2888524830341339,0.0,0.2791164687701634,0.28078233769961763,0.0,0.3308029813425882,0.362401293856757,0.310262069106102
ENSG00000185215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118503,0.0,0.0,0.0,0.0,0.0,0.0,0.9354642331600189,0.0,0.0,0.0,0.0,0.0,0.0,0.9494777236665998,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000048462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,0.0,0.0,0.0,0.8739807946341378,0.0,0.8571428571428571,0.0,0.0,0.8684375605412892,0.0,0.0,0.0,0.0,0.0,0.0,0.9286262754883085,0.8661203874008996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102524,0.0,0.0,0.0,0.0,0.0,0.0,0.8698180786200932,0.0,0.8267727004630225,0.0,0.0,0.8253135276692254,0.0,0.0,0.0,0.8528224187237876,0.0,0.0,0.8725237484489169,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090905,0.0,0.0,0.0,0.0,0.0,0.8623402437993458,0.0,0.0,0.0,0.8758704768759864,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918189810855048,0.0,0.0,0.0,0.0,0.8683153986930847,0.0,0.0,0.0
ENSG00000100354,0.0,0.0,0.0,0.0,0.0,0.7905388176441193,0.0,0.0,0.0,0.8135862563337598,0.0,0.0,0.7638235837221146,0.0,0.75,0.0,0.8142972396952766,0.0,0.0,0.0,0.7950338912861687,0.0,0.0,0.0,0.0,0.7883907152073724,0.0,0.0,0.7596937907593591
