,DC1,DC2,Differentiated_KC,F1,F2,F3,ILC1_3,ILC1_NK,ILC2,Inf_mac,LC,LE1,LE2,Macro_1,Macro_2,Mast_cell,Melanocyte,MigDC,Mono_mac,NK,Pericyte_1,Pericyte_2,Plasma,Schwann_1,Schwann_2,Tc,Th,Treg,Undifferentiated_KC,VE1,VE2,VE3,migLC,moDC
ENSG00000213145,0.35172975,1.2277989,0.4052787,0.0,0.6258229,0.0,0.0,0.82951593,0.7007972,0.0,2.4364977,0.0,0.0,0.0,0.21089801,0.0,0.0,1.8779513,0.0,0.0,0.0,0.9123921,0.9479707,0.0,0.0,0.9795102,1.0805432,1.4748105,1.09391,0.0,0.0,0.0,0.9738847,1.4480743
ENSG00000211895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8667809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95226395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166923,0.0,0.0,0.0,0.88856936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137801,0.0,0.0,0.0,0.23253201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5136285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104140,0.0,0.0,0.7575465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3617298,0.0,0.0,0.0
ENSG00000092529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2585545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166710,4.163205,3.5295858,3.53465,3.9070961,3.472001,3.8874068,4.170587,4.20095,4.2516084,3.775654,3.6182356,3.9809637,4.554356,3.639539,3.246937,3.72861,3.1864338,5.014177,3.7733688,4.5526886,4.0500393,3.7116983,3.1969042,3.5550148,3.7000566,4.484192,4.4373026,4.8088675,3.4054458,4.451538,4.3636804,4.1970663,4.6871247,4.8706646
ENSG00000166920,0.97434413,0.7740409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9528962,1.492346,0.0,0.0,2.2633643,1.0459499,0.0,0.0,2.1977372,2.9402077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8087926,3.1833525
ENSG00000166147,0.0,0.0,0.0,0.59722346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140285,0.0,0.0,0.0,0.0,0.0,1.1490344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9912901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4165007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182718,0.680037,1.3493297,2.355668,0.49570557,2.082016,0.9057905,0.0,0.0,0.0,0.51013035,1.46422,2.3113601,1.5775708,1.7032087,1.265496,0.0,2.7238634,1.6642683,1.5967877,0.0,0.9510806,1.2872047,0.36053732,1.9279941,1.2059569,0.47454053,0.68545073,0.8947986,2.3406057,0.91926634,1.4578826,1.3338479,1.8149778,1.7891126
