,cell_type,silhouette_score
cell41068,stromal cell of lamina propria of colon,0.7707462857054073
cell41069,stromal cell of lamina propria of colon,-0.12230343868077372
cell41070,stromal cell of lamina propria of colon,0.7822751615860648
cell41071,stromal cell of lamina propria of colon,0.7804631246644054
cell41072,stromal cell of lamina propria of colon,0.7878667556048515
cell41073,stromal cell of lamina propria of colon,0.7794314559109475
cell41074,stromal cell of lamina propria of colon,0.7804074078096783
cell41075,stromal cell of lamina propria of colon,0.7489746428858144
cell41076,stromal cell of lamina propria of colon,-0.11935862103845153
cell41077,stromal cell of lamina propria of colon,0.7595011439815046
cell41078,stromal cell of lamina propria of colon,0.7504445425570291
cell41079,stromal cell of lamina propria of colon,0.7682359764531382
cell41080,stromal cell of lamina propria of colon,0.7819105759824468
cell41081,stromal cell of lamina propria of colon,0.7819052707075566
cell41082,stromal cell of lamina propria of colon,0.7826356858551705
cell41083,stromal cell of lamina propria of colon,0.7790890247868436
cell41084,stromal cell of lamina propria of colon,0.537116320298777
cell41085,stromal cell of lamina propria of colon,-0.1336590977443592
cell41086,stromal cell of lamina propria of colon,0.7718534702324076
cell41087,stromal cell of lamina propria of colon,0.7717983179935266
cell41088,stromal cell of lamina propria of colon,0.778453198485347
cell41089,stromal cell of lamina propria of colon,0.790162473178699
cell41090,stromal cell of lamina propria of colon,0.7660519892233174
cell41091,stromal cell of lamina propria of colon,0.5656234038031199
cell41092,stromal cell of lamina propria of colon,0.7819517510440995
cell41093,stromal cell of lamina propria of colon,0.7728294656455343
cell41094,stromal cell of lamina propria of colon,0.5478053292532397
cell41095,stromal cell of lamina propria of colon,-0.13323486953563488
cell41096,stromal cell of lamina propria of colon,0.7922513507799268
cell41097,stromal cell of lamina propria of colon,0.7807416372894392
cell41098,stromal cell of lamina propria of colon,0.7918298461864768
cell41099,stromal cell of lamina propria of colon,0.5408601640165215
cell41100,stromal cell of lamina propria of colon,0.5657738641870868
cell41101,stromal cell of lamina propria of colon,0.785362107588908
cell41102,stromal cell of lamina propria of colon,0.7914509087227262
cell41103,stromal cell of lamina propria of colon,0.7433597574226983
cell41104,stromal cell of lamina propria of colon,-0.13499540619334052
cell41105,stromal cell of lamina propria of colon,0.5270180379049572
cell41106,stromal cell of lamina propria of colon,0.788909852107341
cell41107,stromal cell of lamina propria of colon,0.7852962268544234
cell41108,stromal cell of lamina propria of colon,0.7494985726092293
cell41109,stromal cell of lamina propria of colon,0.7916064782394844
cell41110,stromal cell of lamina propria of colon,0.7753675319797424
cell41111,stromal cell of lamina propria of colon,0.7425706666401641
cell41112,stromal cell of lamina propria of colon,0.7926449519837448
cell41113,stromal cell of lamina propria of colon,0.7868792963000959
cell41114,stromal cell of lamina propria of colon,0.6829451856634793
cell41115,stromal cell of lamina propria of colon,0.7770262469322734
cell41116,stromal cell of lamina propria of colon,0.7834466223552069
cell41117,stromal cell of lamina propria of colon,-0.0851902146936956
cell41118,stromal cell of lamina propria of colon,0.7720926210805932
cell41119,stromal cell of lamina propria of colon,0.6731365096525946
cell41120,stromal cell of lamina propria of colon,0.7788210571062982
cell41121,stromal cell of lamina propria of colon,0.7357389533702797
cell41122,stromal cell of lamina propria of colon,0.7840018926062554
cell41123,stromal cell of lamina propria of colon,0.7668791608732356
cell41124,stromal cell of lamina propria of colon,0.7760613457754455
cell41125,stromal cell of lamina propria of colon,0.7772543588058664
cell41126,stromal cell of lamina propria of colon,-0.0908819002650135
cell41127,stromal cell of lamina propria of colon,0.7910727216013947
cell41128,stromal cell of lamina propria of colon,0.761297968303374
cell41129,stromal cell of lamina propria of colon,0.784786411631707
cell41130,stromal cell of lamina propria of colon,0.7908068534726693
cell41131,stromal cell of lamina propria of colon,0.7488106059329533
cell41132,stromal cell of lamina propria of colon,0.7893973779960941
cell41133,stromal cell of lamina propria of colon,-0.13631080338265048
cell41134,stromal cell of lamina propria of colon,0.7441387051458712
cell41135,stromal cell of lamina propria of colon,-0.13469120562311182
cell41136,stromal cell of lamina propria of colon,0.787242924127874
cell41137,stromal cell of lamina propria of colon,0.7817341290594869
cell41138,stromal cell of lamina propria of colon,0.7825597622769103
cell41139,stromal cell of lamina propria of colon,0.7847634633083512
cell41140,stromal cell of lamina propria of colon,0.7792550135336735
cell41141,stromal cell of lamina propria of colon,0.7794535701938905
cell41142,stromal cell of lamina propria of colon,0.7771365491267511
cell41143,stromal cell of lamina propria of colon,0.7495945465149322
cell41144,stromal cell of lamina propria of colon,0.7743332578530469
cell41145,stromal cell of lamina propria of colon,0.7893246452260521
cell41146,stromal cell of lamina propria of colon,0.7913080320277769
cell41147,stromal cell of lamina propria of colon,0.7790139560441673
cell41148,stromal cell of lamina propria of colon,0.7741701843174773
cell41149,stromal cell of lamina propria of colon,0.5956217218050075
cell41150,stromal cell of lamina propria of colon,0.7808591007679708
cell41151,stromal cell of lamina propria of colon,0.7858756119576269
cell41152,stromal cell of lamina propria of colon,0.7830359745423761
cell41153,stromal cell of lamina propria of colon,0.7762697140466602
cell41154,stromal cell of lamina propria of colon,0.7923062593261087
cell41155,stromal cell of lamina propria of colon,0.7739130812209557
cell41156,stromal cell of lamina propria of colon,0.790271964753003
cell41157,stromal cell of lamina propria of colon,0.7793904583723064
cell41158,stromal cell of lamina propria of colon,0.534367156458422
cell41159,stromal cell of lamina propria of colon,0.7753049640845242
cell41160,stromal cell of lamina propria of colon,0.7717715310073656
cell41161,stromal cell of lamina propria of colon,0.7880031406845756
cell41162,stromal cell of lamina propria of colon,-0.07653052044352573
cell41163,stromal cell of lamina propria of colon,0.7923090525482993
cell41164,stromal cell of lamina propria of colon,0.7818240962391356
cell41165,stromal cell of lamina propria of colon,0.7902387116453382
cell41166,stromal cell of lamina propria of colon,-0.08912039701621188
cell41167,stromal cell of lamina propria of colon,0.7743997373085457
cell41168,stromal cell of lamina propria of colon,0.7796886254826922
cell41169,stromal cell of lamina propria of colon,-0.07727518254080136
cell41170,stromal cell of lamina propria of colon,0.785093844398279
cell41171,stromal cell of lamina propria of colon,0.7902187693892792
cell41172,stromal cell of lamina propria of colon,0.7904653808027852
cell41173,stromal cell of lamina propria of colon,0.7696844085482405
cell41174,stromal cell of lamina propria of colon,0.7859904812014309
cell41175,stromal cell of lamina propria of colon,-0.09062192688020426
cell41176,stromal cell of lamina propria of colon,0.789001023307553
cell41177,stromal cell of lamina propria of colon,0.7835175723306399
cell41178,stromal cell of lamina propria of colon,0.7863230643389112
cell41179,stromal cell of lamina propria of colon,0.529911234003221
cell41180,stromal cell of lamina propria of colon,0.636890834103007
cell41181,stromal cell of lamina propria of colon,0.7890922924155026
cell41182,stromal cell of lamina propria of colon,0.7054131861134681
cell41183,stromal cell of lamina propria of colon,0.7772798510489493
cell41184,stromal cell of lamina propria of colon,0.7845021731975192
cell41185,stromal cell of lamina propria of colon,0.779570473984564
cell41186,stromal cell of lamina propria of colon,0.7809424073454954
cell41187,stromal cell of lamina propria of colon,0.7918412295671868
cell41188,stromal cell of lamina propria of colon,0.7793554831723835
cell41189,stromal cell of lamina propria of colon,0.7850379850368496
cell41190,stromal cell of lamina propria of colon,0.7662270973090811
cell41191,stromal cell of lamina propria of colon,0.7764164653824883
cell41192,stromal cell of lamina propria of colon,0.7695868302997686
cell41193,stromal cell of lamina propria of colon,0.7754058678688457
cell41194,stromal cell of lamina propria of colon,0.7767806585553989
cell41195,stromal cell of lamina propria of colon,0.786872535688664
cell41196,stromal cell of lamina propria of colon,-0.13190350800310585
cell41197,stromal cell of lamina propria of colon,0.7886400970740515
cell41198,stromal cell of lamina propria of colon,0.7715097805646286
cell41199,stromal cell of lamina propria of colon,0.7610119139140442
cell41200,stromal cell of lamina propria of colon,-0.13019350971568375
cell41201,stromal cell of lamina propria of colon,0.7907413612773943
cell41202,stromal cell of lamina propria of colon,0.7525790833977922
cell41203,stromal cell of lamina propria of colon,0.7211145448749299
cell41204,stromal cell of lamina propria of colon,0.7771736579741106
cell41205,stromal cell of lamina propria of colon,0.5408636378915839
cell41206,stromal cell of lamina propria of colon,0.784742374277142
cell41207,stromal cell of lamina propria of colon,0.6061514156699985
cell41208,stromal cell of lamina propria of colon,0.7878734512926213
cell41209,stromal cell of lamina propria of colon,0.7852846329717393
cell41210,stromal cell of lamina propria of colon,0.544226361704156
cell41211,stromal cell of lamina propria of colon,0.7768790131931872
cell41212,stromal cell of lamina propria of colon,0.5371482976230573
cell41213,stromal cell of lamina propria of colon,0.7803832562582694
cell41214,stromal cell of lamina propria of colon,-0.08815553798617527
cell41215,stromal cell of lamina propria of colon,0.7770554418668034
cell41216,stromal cell of lamina propria of colon,0.5862119347403352
cell41217,stromal cell of lamina propria of colon,0.7885271121723282
cell41218,stromal cell of lamina propria of colon,0.7848635668442419
cell41219,stromal cell of lamina propria of colon,0.7868553153111894
cell41220,stromal cell of lamina propria of colon,0.7819122895145173
cell41221,stromal cell of lamina propria of colon,0.7891515203157476
cell41222,stromal cell of lamina propria of colon,0.7849982951579639
cell41223,stromal cell of lamina propria of colon,0.7728600868689062
cell41224,stromal cell of lamina propria of colon,0.7847295391208331
cell41225,stromal cell of lamina propria of colon,0.7892142558547438
cell41226,stromal cell of lamina propria of colon,0.7846159056816735
cell41227,stromal cell of lamina propria of colon,0.7663645611721938
cell41228,stromal cell of lamina propria of colon,0.780984389218682
cell41229,stromal cell of lamina propria of colon,0.7729746003500597
cell41230,stromal cell of lamina propria of colon,0.7709195613658859
cell41231,stromal cell of lamina propria of colon,0.7465592877161568
cell41232,stromal cell of lamina propria of colon,-0.10274248898211548
cell41233,stromal cell of lamina propria of colon,0.7872749737577818
cell41234,stromal cell of lamina propria of colon,0.7709277592823148
cell41235,stromal cell of lamina propria of colon,0.7801757473610974
cell41236,stromal cell of lamina propria of colon,0.783724170790186
cell41237,stromal cell of lamina propria of colon,0.7894197436724292
cell41238,stromal cell of lamina propria of colon,0.7833447629621519
cell41239,stromal cell of lamina propria of colon,0.7824637047812595
cell41240,stromal cell of lamina propria of colon,0.7642194931818003
cell41241,stromal cell of lamina propria of colon,0.5486824551365168
cell41242,stromal cell of lamina propria of colon,0.7867512928769351
cell41243,stromal cell of lamina propria of colon,0.7865385781786471
cell41244,stromal cell of lamina propria of colon,0.7772843188861119
cell41245,stromal cell of lamina propria of colon,0.7683607338188845
cell41246,stromal cell of lamina propria of colon,0.7752030070640888
cell41247,stromal cell of lamina propria of colon,0.7845665970763707
cell41248,stromal cell of lamina propria of colon,0.768047355101909
cell41249,stromal cell of lamina propria of colon,0.783209609872035
cell41250,stromal cell of lamina propria of colon,0.7842616675578871
cell41251,stromal cell of lamina propria of colon,0.7710246865647136
cell41252,stromal cell of lamina propria of colon,0.5391976650432061
cell41253,stromal cell of lamina propria of colon,0.7809264516369054
cell41254,stromal cell of lamina propria of colon,0.7824766918777878
cell41255,stromal cell of lamina propria of colon,0.5608999986175949
cell41256,stromal cell of lamina propria of colon,0.7611006787004332
cell41257,stromal cell of lamina propria of colon,0.7922440480258609
cell41258,stromal cell of lamina propria of colon,0.6024001404733256
cell41259,stromal cell of lamina propria of colon,0.7883282385649728
cell41260,stromal cell of lamina propria of colon,0.7747495413379702
cell41261,stromal cell of lamina propria of colon,0.7770385498839113
cell41262,stromal cell of lamina propria of colon,0.7793950847063217
cell41263,stromal cell of lamina propria of colon,0.7655343712520287
cell41264,stromal cell of lamina propria of colon,0.7595795325134669
cell41265,stromal cell of lamina propria of colon,0.7853437608030102
cell41266,stromal cell of lamina propria of colon,-0.13608690597520137
cell41267,stromal cell of lamina propria of colon,0.7637453056780088
cell41268,stromal cell of lamina propria of colon,0.7759160939087045
cell41269,stromal cell of lamina propria of colon,0.7813223476968104
cell41270,stromal cell of lamina propria of colon,0.7809355565483697
cell41271,stromal cell of lamina propria of colon,-0.13185543296123653
cell41272,stromal cell of lamina propria of colon,0.7673318708234458
cell41273,stromal cell of lamina propria of colon,0.7810882600524485
cell41274,stromal cell of lamina propria of colon,0.772260886153403
cell41275,stromal cell of lamina propria of colon,0.780706050491602
cell41276,stromal cell of lamina propria of colon,0.7863220429302565
cell41277,stromal cell of lamina propria of colon,0.7698828395138035
cell41278,stromal cell of lamina propria of colon,0.7655771235309388
cell41279,stromal cell of lamina propria of colon,0.7743129299223893
cell41280,stromal cell of lamina propria of colon,0.7734559132494125
cell41281,stromal cell of lamina propria of colon,0.6027769711304048
cell41282,stromal cell of lamina propria of colon,0.6054708027784786
cell41283,stromal cell of lamina propria of colon,0.5727630938194231
cell41284,stromal cell of lamina propria of colon,0.7888416663027994
cell41285,stromal cell of lamina propria of colon,0.7662729339664758
cell41286,stromal cell of lamina propria of colon,0.7645274899796661
cell41287,stromal cell of lamina propria of colon,0.7436502277291569
cell41288,stromal cell of lamina propria of colon,0.7823761761592948
cell41289,stromal cell of lamina propria of colon,0.7775747643016584
cell41290,stromal cell of lamina propria of colon,0.7625554423505093
cell41291,stromal cell of lamina propria of colon,0.7756734990970643
cell41292,stromal cell of lamina propria of colon,-0.13001999289717991
cell41293,stromal cell of lamina propria of colon,-0.13666342017124594
cell41294,stromal cell of lamina propria of colon,0.774066237537456
cell41295,stromal cell of lamina propria of colon,0.777597126934604
cell41296,stromal cell of lamina propria of colon,0.5444315149529271
cell41297,stromal cell of lamina propria of colon,0.7806398818923216
cell41298,stromal cell of lamina propria of colon,0.7775916943429911
cell41299,stromal cell of lamina propria of colon,0.7911664922671149
cell41300,stromal cell of lamina propria of colon,0.7640224428197282
cell41301,stromal cell of lamina propria of colon,0.7712123123133809
cell41302,stromal cell of lamina propria of colon,0.7869750878264758
cell41303,stromal cell of lamina propria of colon,0.771248539361614
cell41304,stromal cell of lamina propria of colon,0.7634225326845482
cell41305,stromal cell of lamina propria of colon,0.7804205938287715
cell41306,stromal cell of lamina propria of colon,0.7656698146769072
cell41307,stromal cell of lamina propria of colon,0.775617643266667
cell41308,stromal cell of lamina propria of colon,0.7787953485290764
cell41309,stromal cell of lamina propria of colon,0.7903665330576849
cell41310,stromal cell of lamina propria of colon,0.7840176263008319
cell41311,stromal cell of lamina propria of colon,0.7918269749240966
cell41312,stromal cell of lamina propria of colon,-0.12899372032477782
cell41313,stromal cell of lamina propria of colon,0.7748087128796929
cell41314,stromal cell of lamina propria of colon,0.7652655309796559
cell41315,stromal cell of lamina propria of colon,0.5231027257279215
cell41316,stromal cell of lamina propria of colon,0.7708777547548292
cell41317,stromal cell of lamina propria of colon,0.5765660586085277
cell41318,stromal cell of lamina propria of colon,0.780478932257061
cell41319,stromal cell of lamina propria of colon,0.7831511835413988
cell41320,stromal cell of lamina propria of colon,0.7760142520677606
cell41321,stromal cell of lamina propria of colon,0.7765128477434127
cell41322,stromal cell of lamina propria of colon,0.7827276979845088
cell41323,stromal cell of lamina propria of colon,0.7300279044694118
cell41324,stromal cell of lamina propria of colon,0.7560557562745437
cell41325,stromal cell of lamina propria of colon,0.7788839665191326
cell41326,stromal cell of lamina propria of colon,0.7663472588295065
cell41327,stromal cell of lamina propria of colon,-0.1332508355059848
cell41328,stromal cell of lamina propria of colon,0.7745466334564046
cell41329,stromal cell of lamina propria of colon,0.7752944645818886
cell41330,stromal cell of lamina propria of colon,0.7834268369939087
cell41331,stromal cell of lamina propria of colon,0.7624380467512625
cell41332,stromal cell of lamina propria of colon,0.7878998015042868
cell41333,stromal cell of lamina propria of colon,0.7859267937336888
cell41334,stromal cell of lamina propria of colon,-0.132526395399517
cell41335,stromal cell of lamina propria of colon,0.6017079825448668
cell41336,stromal cell of lamina propria of colon,-0.13070448250101238
cell41337,stromal cell of lamina propria of colon,0.7717263447435015
cell41338,stromal cell of lamina propria of colon,0.7726972325581409
cell41339,stromal cell of lamina propria of colon,0.7811567098778163
cell41340,stromal cell of lamina propria of colon,-0.13063244672281377
cell41341,stromal cell of lamina propria of colon,0.7631265554812648
cell41342,stromal cell of lamina propria of colon,0.7664593563455316
cell41343,stromal cell of lamina propria of colon,0.7906816501995786
cell41344,stromal cell of lamina propria of colon,0.7835425732393263
cell41345,stromal cell of lamina propria of colon,0.7901239668734178
cell41346,stromal cell of lamina propria of colon,0.7755962217225678
cell41347,stromal cell of lamina propria of colon,0.7921260404621353
cell41348,stromal cell of lamina propria of colon,0.7831035658130912
cell41349,stromal cell of lamina propria of colon,0.7916508827469206
cell41350,stromal cell of lamina propria of colon,0.7506120679303818
cell41351,stromal cell of lamina propria of colon,0.7683963519180544
cell41352,stromal cell of lamina propria of colon,0.5969291627817231
cell41353,stromal cell of lamina propria of colon,0.7777843877429511
cell41354,stromal cell of lamina propria of colon,0.7853776485119083
cell41355,stromal cell of lamina propria of colon,0.7848365749606923
cell41356,stromal cell of lamina propria of colon,-0.09135314841598922
cell41357,stromal cell of lamina propria of colon,0.7651243778551426
cell41358,stromal cell of lamina propria of colon,0.7856852457419327
cell41359,stromal cell of lamina propria of colon,0.7635765154459507
cell41360,stromal cell of lamina propria of colon,0.5387354804583157
cell41361,stromal cell of lamina propria of colon,-0.08083889876374062
cell41362,stromal cell of lamina propria of colon,0.7788249498184627
cell41363,stromal cell of lamina propria of colon,0.7860970465579372
cell41364,stromal cell of lamina propria of colon,0.7858783820013735
cell41365,stromal cell of lamina propria of colon,0.5483814596875987
cell41366,stromal cell of lamina propria of colon,0.76607632685706
cell41367,stromal cell of lamina propria of colon,0.7766936124476981
cell41368,stromal cell of lamina propria of colon,0.7879735476518299
cell41369,stromal cell of lamina propria of colon,0.7563378122164269
cell41370,stromal cell of lamina propria of colon,0.7918525799271051
cell41371,stromal cell of lamina propria of colon,-0.10611846616408749
cell41372,stromal cell of lamina propria of colon,0.5919718540659046
cell41373,stromal cell of lamina propria of colon,0.7816518436537431
cell41374,stromal cell of lamina propria of colon,0.7900557295828237
cell41375,stromal cell of lamina propria of colon,0.6453026537010099
cell41376,stromal cell of lamina propria of colon,0.7823443155209013
cell41377,stromal cell of lamina propria of colon,0.7586915953457812
cell41378,stromal cell of lamina propria of colon,0.7801002868432136
cell41379,stromal cell of lamina propria of colon,0.7646643038590036
cell41380,stromal cell of lamina propria of colon,0.7795317622514242
cell41381,stromal cell of lamina propria of colon,0.7920462806497733
cell41382,stromal cell of lamina propria of colon,0.5415122038925058
cell41383,stromal cell of lamina propria of colon,0.7719498915505691
cell41384,stromal cell of lamina propria of colon,0.7873648091207608
cell41385,stromal cell of lamina propria of colon,0.7400645125545287
cell41386,stromal cell of lamina propria of colon,0.5490491461806302
cell41387,stromal cell of lamina propria of colon,0.55817026432061
cell41388,stromal cell of lamina propria of colon,0.7590914033496368
cell41389,stromal cell of lamina propria of colon,0.7779885571102988
cell41390,stromal cell of lamina propria of colon,0.7917184799359355
cell41391,stromal cell of lamina propria of colon,0.6169337639632877
cell41392,stromal cell of lamina propria of colon,0.7703089363431054
cell41393,stromal cell of lamina propria of colon,-0.08625883735305367
cell41394,stromal cell of lamina propria of colon,0.7766467281827578
cell41395,stromal cell of lamina propria of colon,-0.1307850646058447
cell41396,stromal cell of lamina propria of colon,0.7637483825055614
cell41397,stromal cell of lamina propria of colon,0.7903940109494838
cell41398,stromal cell of lamina propria of colon,0.7737053955839546
cell41399,stromal cell of lamina propria of colon,0.7771025924947182
cell41400,stromal cell of lamina propria of colon,0.7861474420398101
cell41401,stromal cell of lamina propria of colon,0.7551489278319888
cell41402,stromal cell of lamina propria of colon,0.7758157020785051
cell41403,stromal cell of lamina propria of colon,0.7908116838786586
cell41404,stromal cell of lamina propria of colon,0.7797574792065994
cell41405,stromal cell of lamina propria of colon,0.7618790700711914
cell41406,stromal cell of lamina propria of colon,0.7758108702864216
cell41407,stromal cell of lamina propria of colon,0.7611858532758117
cell41408,stromal cell of lamina propria of colon,0.7824755110402289
cell41409,stromal cell of lamina propria of colon,0.7702420095487906
cell41410,stromal cell of lamina propria of colon,0.7856219070144264
cell41411,stromal cell of lamina propria of colon,0.7535298740415731
cell41412,stromal cell of lamina propria of colon,0.7709513540307947
cell41413,stromal cell of lamina propria of colon,0.7784213050573794
cell41414,stromal cell of lamina propria of colon,0.7843948294276721
cell41415,stromal cell of lamina propria of colon,0.7844462928600973
cell41416,stromal cell of lamina propria of colon,0.54232002358384
cell41417,stromal cell of lamina propria of colon,0.7869830080296616
cell41418,stromal cell of lamina propria of colon,-0.1035662375517199
cell41419,stromal cell of lamina propria of colon,0.7876918101194846
cell41420,stromal cell of lamina propria of colon,0.7674928768123795
cell41421,stromal cell of lamina propria of colon,0.5610422461173604
cell41422,stromal cell of lamina propria of colon,0.7794947084035203
cell41423,stromal cell of lamina propria of colon,0.7752112488893007
cell41424,stromal cell of lamina propria of colon,0.7617609089674561
cell41425,stromal cell of lamina propria of colon,0.7846061047446241
cell41426,stromal cell of lamina propria of colon,0.7856827925575214
cell41427,stromal cell of lamina propria of colon,-0.1312941724702143
cell41428,stromal cell of lamina propria of colon,-0.07220136535803348
cell41429,stromal cell of lamina propria of colon,0.7889119699976818
cell41430,stromal cell of lamina propria of colon,0.7908575774167989
cell41431,stromal cell of lamina propria of colon,0.7896902460248244
cell41432,stromal cell of lamina propria of colon,0.7784543285001538
cell41433,stromal cell of lamina propria of colon,-0.13840729121688763
cell41434,stromal cell of lamina propria of colon,0.5825751428979303
cell41435,stromal cell of lamina propria of colon,0.7755947141973908
cell41436,stromal cell of lamina propria of colon,0.7336312699755826
cell41437,stromal cell of lamina propria of colon,0.7578426873017201
cell41438,stromal cell of lamina propria of colon,0.7922672444297197
cell41439,stromal cell of lamina propria of colon,0.7748226226095574
cell41440,stromal cell of lamina propria of colon,0.7609658857511931
cell41441,stromal cell of lamina propria of colon,0.7580895123061772
cell41442,stromal cell of lamina propria of colon,0.7803893702683363
cell41443,stromal cell of lamina propria of colon,0.7671487131366523
cell41444,stromal cell of lamina propria of colon,0.7680440328050013
cell41445,stromal cell of lamina propria of colon,0.7828777242494653
cell41446,stromal cell of lamina propria of colon,0.7898825604999062
cell41447,stromal cell of lamina propria of colon,-0.13112091457645597
cell41448,stromal cell of lamina propria of colon,0.5494510895188438
cell41449,stromal cell of lamina propria of colon,0.7728522636263835
cell41450,stromal cell of lamina propria of colon,0.7830002621282918
cell41451,stromal cell of lamina propria of colon,0.7603433202324472
cell41452,stromal cell of lamina propria of colon,0.59686242461845
cell41453,stromal cell of lamina propria of colon,0.7865960893157267
cell41454,stromal cell of lamina propria of colon,-0.13189093436584118
cell41455,stromal cell of lamina propria of colon,0.5923252924808017
cell41456,stromal cell of lamina propria of colon,0.7771623661553719
cell41457,stromal cell of lamina propria of colon,0.7769388976596799
cell41458,stromal cell of lamina propria of colon,0.7721218713025566
cell41459,stromal cell of lamina propria of colon,-0.08076543837503558
cell41460,stromal cell of lamina propria of colon,0.7799549067003474
cell41461,stromal cell of lamina propria of colon,0.7733278185062259
cell41462,stromal cell of lamina propria of colon,0.5589820627025777
cell41463,stromal cell of lamina propria of colon,0.7815235430657785
cell41464,stromal cell of lamina propria of colon,-0.13654413510108596
cell41465,stromal cell of lamina propria of colon,0.7686501534918238
cell41466,stromal cell of lamina propria of colon,0.5319833512035924
cell41467,stromal cell of lamina propria of colon,0.7536858964816019
cell41468,stromal cell of lamina propria of colon,0.7678019182888365
cell41469,stromal cell of lamina propria of colon,-0.13488272534340257
cell41470,stromal cell of lamina propria of colon,0.7655014238391052
cell41471,stromal cell of lamina propria of colon,-0.12999036861557722
cell41472,stromal cell of lamina propria of colon,0.7624762420537917
cell41473,stromal cell of lamina propria of colon,0.7851277248078073
cell41474,stromal cell of lamina propria of colon,0.5943552472062459
cell41475,stromal cell of lamina propria of colon,0.769718422877362
cell41476,stromal cell of lamina propria of colon,0.776278313380955
cell41477,stromal cell of lamina propria of colon,0.7860390842979339
cell41478,stromal cell of lamina propria of colon,0.7766502898679103
cell41479,stromal cell of lamina propria of colon,0.7911065541533756
cell41480,stromal cell of lamina propria of colon,0.7543645590962783
cell41481,stromal cell of lamina propria of colon,0.7888652645530353
cell41482,stromal cell of lamina propria of colon,0.7800118424755861
cell41483,stromal cell of lamina propria of colon,-0.09511058115119501
cell41484,stromal cell of lamina propria of colon,0.7831912835839501
cell41485,stromal cell of lamina propria of colon,0.7603918038534375
cell41486,stromal cell of lamina propria of colon,0.7687969533448495
cell41487,stromal cell of lamina propria of colon,0.7691086000910848
cell41488,stromal cell of lamina propria of colon,0.7843420351249436
cell41489,stromal cell of lamina propria of colon,-0.07931356592335044
cell41490,stromal cell of lamina propria of colon,0.774181956029216
cell41491,stromal cell of lamina propria of colon,0.7795104434617472
cell41492,stromal cell of lamina propria of colon,0.7829813553998112
cell41493,stromal cell of lamina propria of colon,0.7677834859335614
cell41494,stromal cell of lamina propria of colon,0.7595946678609223
cell41495,stromal cell of lamina propria of colon,0.7733582885557656
cell41496,stromal cell of lamina propria of colon,-0.0858136462491303
cell41497,stromal cell of lamina propria of colon,0.7695007894574433
cell41498,stromal cell of lamina propria of colon,0.7842517744168941
cell41499,stromal cell of lamina propria of colon,0.7683298145349822
cell41500,stromal cell of lamina propria of colon,-0.08825410966340307
cell41501,stromal cell of lamina propria of colon,0.7866613480264971
cell41502,stromal cell of lamina propria of colon,0.7888966212031928
cell41503,stromal cell of lamina propria of colon,0.7386783935227661
cell41504,stromal cell of lamina propria of colon,0.7820997749618918
cell41505,stromal cell of lamina propria of colon,0.769773475245735
cell41506,stromal cell of lamina propria of colon,0.7805599662448954
cell41507,stromal cell of lamina propria of colon,-0.075983239879534
cell41508,stromal cell of lamina propria of colon,0.7387623213047219
cell41509,stromal cell of lamina propria of colon,0.7661150410225664
cell41510,stromal cell of lamina propria of colon,0.7652051496968733
cell41511,stromal cell of lamina propria of colon,0.5545964020434849
cell41512,stromal cell of lamina propria of colon,0.768737432999856
cell41513,stromal cell of lamina propria of colon,0.7822555280064414
cell41514,stromal cell of lamina propria of colon,0.7667745906321067
cell41515,stromal cell of lamina propria of colon,0.7845564468369494
cell41516,stromal cell of lamina propria of colon,0.7649432319964158
cell41517,stromal cell of lamina propria of colon,0.7780441758797008
cell41518,stromal cell of lamina propria of colon,0.7763107317524938
cell41519,stromal cell of lamina propria of colon,0.7790255263443414
cell41520,stromal cell of lamina propria of colon,-0.13232688013407734
cell41521,stromal cell of lamina propria of colon,0.7680963278296956
cell41522,stromal cell of lamina propria of colon,0.7768589012796884
cell41523,stromal cell of lamina propria of colon,0.7919273335737237
cell41524,stromal cell of lamina propria of colon,0.7828939247883254
cell41525,stromal cell of lamina propria of colon,0.7852444521153601
cell41526,stromal cell of lamina propria of colon,0.7639182858009607
cell41527,stromal cell of lamina propria of colon,0.7817355017968332
cell41528,stromal cell of lamina propria of colon,0.7662471649999827
cell41529,stromal cell of lamina propria of colon,0.785074826869843
cell41530,stromal cell of lamina propria of colon,0.7780005513288224
cell41531,stromal cell of lamina propria of colon,0.7648132560950661
cell41532,stromal cell of lamina propria of colon,0.7646104215312571
cell41533,stromal cell of lamina propria of colon,0.7684307335879302
cell41534,stromal cell of lamina propria of colon,0.7677693810169458
cell41535,stromal cell of lamina propria of colon,0.5680067401464112
cell41536,stromal cell of lamina propria of colon,0.7904821416171536
cell41537,stromal cell of lamina propria of colon,0.7757522477568747
cell41538,stromal cell of lamina propria of colon,0.7810680018034477
cell41539,stromal cell of lamina propria of colon,0.760329385404503
cell41540,stromal cell of lamina propria of colon,0.7633367578284991
cell41541,stromal cell of lamina propria of colon,0.7919281965050792
cell41542,stromal cell of lamina propria of colon,0.7626463646460052
cell41543,stromal cell of lamina propria of colon,-0.06876676532272016
cell41544,stromal cell of lamina propria of colon,0.7731102582611541
cell41545,stromal cell of lamina propria of colon,0.7593898505344382
cell41546,stromal cell of lamina propria of colon,0.764587241334039
cell41547,stromal cell of lamina propria of colon,0.7666037916572348
cell41548,stromal cell of lamina propria of colon,0.7558587416210033
cell41549,stromal cell of lamina propria of colon,0.7811586879788672
