,cell_type,silhouette_score
cell454,T cell of anorectum,0.6932847852138995
cell455,T cell of anorectum,0.7654277611959484
cell456,T cell of anorectum,0.6855109491734956
cell457,T cell of anorectum,0.6687374612168145
cell458,T cell of anorectum,0.509039240559696
cell459,T cell of anorectum,0.5385996325050486
cell460,T cell of anorectum,0.6768787557380229
cell461,T cell of anorectum,0.557924208163012
cell462,T cell of anorectum,0.7078077887775089
cell463,T cell of anorectum,0.6317183325487562
cell464,T cell of anorectum,0.7149947676161412
cell465,T cell of anorectum,0.7540462858295888
cell466,T cell of anorectum,0.4476689708455571
cell467,T cell of anorectum,0.7363337942848064
cell468,T cell of anorectum,0.6397062327383523
cell469,T cell of anorectum,0.7171223922729301
cell470,T cell of anorectum,0.5783725992941924
cell471,T cell of anorectum,0.5539751618853936
cell472,T cell of anorectum,0.5013155083908798
cell473,T cell of anorectum,0.7052862929204096
cell474,T cell of anorectum,0.7520756519659281
cell475,T cell of anorectum,0.7282982369592815
cell476,T cell of anorectum,0.7347715933092154
cell477,T cell of anorectum,0.6173954050830133
cell478,T cell of anorectum,0.6976288520285518
cell479,T cell of anorectum,0.7365047732599959
cell480,T cell of anorectum,0.7267906610007936
cell481,T cell of anorectum,0.7456410574686871
cell482,T cell of anorectum,0.663272401483211
cell483,T cell of anorectum,0.5759181388458645
cell484,T cell of anorectum,0.702089505821032
cell485,T cell of anorectum,0.7071843563020374
cell486,T cell of anorectum,0.54421101103424
cell487,T cell of anorectum,0.7105707393802451
cell488,T cell of anorectum,0.6859496543696197
cell489,T cell of anorectum,0.5777848616404707
cell490,T cell of anorectum,0.7459387070417461
cell491,T cell of anorectum,0.7325546887355721
cell492,T cell of anorectum,0.7393287937614389
cell493,T cell of anorectum,0.7368457731973668
cell494,T cell of anorectum,0.64465499090279
cell495,T cell of anorectum,0.5615153429324211
cell496,T cell of anorectum,0.6356201416478268
cell497,T cell of anorectum,0.7305299642616612
cell498,T cell of anorectum,0.6582416011498382
cell499,T cell of anorectum,0.6206264237952436
cell500,T cell of anorectum,0.7032587042023142
cell501,T cell of anorectum,0.7037396777263224
cell502,T cell of anorectum,0.6451903999723662
cell503,T cell of anorectum,0.7013677958250092
cell504,T cell of anorectum,0.7349456571925461
cell505,T cell of anorectum,0.5501731338100128
cell506,T cell of anorectum,0.6782060072241212
cell507,T cell of anorectum,0.6634143031366776
cell508,T cell of anorectum,0.5878514361451539
cell509,T cell of anorectum,0.6865561333660986
cell510,T cell of anorectum,0.7373034045163007
cell511,T cell of anorectum,0.6232746471701458
cell512,T cell of anorectum,0.5864141649923579
cell513,T cell of anorectum,0.6399672889126394
cell514,T cell of anorectum,0.727311796434888
cell515,T cell of anorectum,0.7554944228127086
cell516,T cell of anorectum,0.4574556678414142
cell517,T cell of anorectum,0.7470495202449912
cell518,T cell of anorectum,0.7367502632873133
cell519,T cell of anorectum,0.7630797107710261
cell520,T cell of anorectum,0.5969279292734047
cell521,T cell of anorectum,0.6224141424587711
cell522,T cell of anorectum,0.5615810732126706
cell523,T cell of anorectum,0.7430802715046487
cell524,T cell of anorectum,0.5208658474177957
cell525,T cell of anorectum,0.7549235465035471
cell526,T cell of anorectum,0.7355896901562456
cell527,T cell of anorectum,0.668290210494468
cell528,T cell of anorectum,0.7217192753701343
cell529,T cell of anorectum,0.5653577393669373
cell530,T cell of anorectum,0.41284175065863216
cell531,T cell of anorectum,0.7290643522757336
cell532,T cell of anorectum,0.6614514796323591
cell533,T cell of anorectum,0.6552240850927538
cell534,T cell of anorectum,0.6177107005177144
cell535,T cell of anorectum,0.5165785021363503
cell536,T cell of anorectum,0.6231202384634668
cell537,T cell of anorectum,0.6178693233987421
cell538,T cell of anorectum,0.7153314541485467
cell539,T cell of anorectum,0.7210407665979038
cell540,T cell of anorectum,0.7176562250473847
cell541,T cell of anorectum,0.5679774645854597
cell542,T cell of anorectum,0.6590304210447664
cell543,T cell of anorectum,0.7057974334810554
cell544,T cell of anorectum,0.6571951613465481
cell545,T cell of anorectum,0.7371851137069898
cell546,T cell of anorectum,0.6425604867078645
cell547,T cell of anorectum,0.7463173591868415
cell548,T cell of anorectum,0.604382140357305
cell549,T cell of anorectum,0.7256817091131464
cell550,T cell of anorectum,0.7061448156468991
cell551,T cell of anorectum,0.6916709493892409
cell552,T cell of anorectum,0.7260974413724267
cell553,T cell of anorectum,0.5770186030212631
cell554,T cell of anorectum,0.697881961434552
cell555,T cell of anorectum,0.5204521871750238
cell556,T cell of anorectum,0.7571701280544418
cell557,T cell of anorectum,0.7408773046645313
cell558,T cell of anorectum,0.5872192305299143
cell559,T cell of anorectum,0.7002998440576282
cell560,T cell of anorectum,0.7106906471675004
cell561,T cell of anorectum,0.7294128607851028
cell562,T cell of anorectum,0.5642963331843933
cell563,T cell of anorectum,0.6983942343605025
cell564,T cell of anorectum,0.571028221030603
cell565,T cell of anorectum,0.675407005810824
cell566,T cell of anorectum,0.7440076489587558
cell567,T cell of anorectum,0.5603824194880949
cell568,T cell of anorectum,0.6028681162113618
cell569,T cell of anorectum,0.618663934424686
cell570,T cell of anorectum,0.7491755658469688
cell571,T cell of anorectum,0.7542871595873504
cell572,T cell of anorectum,0.6427624337354269
cell573,T cell of anorectum,0.7119055103223835
cell574,T cell of anorectum,0.568018676492156
cell575,T cell of anorectum,0.696775792783672
cell576,T cell of anorectum,0.6972220433156846
cell577,T cell of anorectum,0.49393687753419596
cell578,T cell of anorectum,0.6497797838322289
cell579,T cell of anorectum,0.7245034605993649
cell580,T cell of anorectum,0.5478551163793504
cell581,T cell of anorectum,0.7171508915127064
cell582,T cell of anorectum,0.7475577514075527
cell583,T cell of anorectum,0.637944649002071
cell584,T cell of anorectum,0.6608659601728356
cell585,T cell of anorectum,0.6066170891307613
cell586,T cell of anorectum,0.7325809982368974
cell587,T cell of anorectum,0.6878321403369244
cell588,T cell of anorectum,0.6879187105637562
cell589,T cell of anorectum,0.4573125080829057
cell590,T cell of anorectum,0.6181738456132068
cell591,T cell of anorectum,0.7287637878134028
cell592,T cell of anorectum,0.6433515766707333
cell593,T cell of anorectum,0.6895231878984148
cell594,T cell of anorectum,0.7034484840922108
cell595,T cell of anorectum,0.6989875483628643
cell596,T cell of anorectum,0.5884645910418871
cell597,T cell of anorectum,0.6308782936502898
cell598,T cell of anorectum,0.554982308990651
cell599,T cell of anorectum,0.6946564179149097
cell600,T cell of anorectum,0.5250613331669212
cell601,T cell of anorectum,0.7001098194571077
cell602,T cell of anorectum,0.6922603107263603
cell603,T cell of anorectum,0.58041652098033
cell604,T cell of anorectum,0.6854762995926936
cell605,T cell of anorectum,0.666422440464034
cell606,T cell of anorectum,0.7555731904246598
cell607,T cell of anorectum,0.719429986375711
cell608,T cell of anorectum,0.7329296743214891
cell609,T cell of anorectum,0.5318111850949939
cell610,T cell of anorectum,0.6620573677963916
cell611,T cell of anorectum,0.7418830785801973
cell612,T cell of anorectum,0.7352718114665869
cell613,T cell of anorectum,0.6885292799096844
cell614,T cell of anorectum,0.6604466275353488
