,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
GFOD2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836848356894085,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTCH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EHF,0.0,0.8964451764311109,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.9167073794773647,0.0,0.0,0.0,0.0,0.0,0.9491945100682122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT3,0.789042917745454,0.7636062758309501,0.0,0.0,0.6937388202973774,0.6987006919724601,0.7623955756425858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727826007774898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313503069537026,0.7694605716637203,0.7225655679191861,0.0,0.6785714285714286
CAPN2,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715549924543926,0.0,0.0,0.0,0.0
GPBP1,0.0,0.8326032310724258,0.0,0.0,0.0,0.8269039030585971,0.0,0.0,0.822989284992218,0.8214285714285714,0.8232866270201546,0.0,0.0,0.0,0.0,0.8327530388321195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1IP,0.0,0.0,0.0,0.9498979853732246,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9334130202020917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM87A,0.0,0.9001880458423069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8858963293688638,0.8995774856635502,0.8722315090043204,0.0,0.0
MYO1E,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.900496284876551,0.0,0.8726918952805656,0.0,0.0,0.0,0.8611653276852199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919951277119773,0.0
MEF2C,0.0,0.0,0.812740547316415,0.0,0.0,0.0,0.8035241748605456,0.0,0.0,0.0,0.7325460910797119,0.0,0.7269027680158615,0.0,0.0,0.0,0.7767098035131182,0.7382445399250303,0.0,0.7301701371158872,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.744684881397656
KAT6B,0.0,0.940720837031092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9349895289966038,0.0,0.0,0.0,0.0
CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.9693701671702522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSB1,0.4290237064872469,0.3892842595066343,0.0,0.0,0.23057263025215693,0.2846827187708446,0.0,0.32403100175516947,0.21428571428571427,0.25428331962653566,0.2225041048867362,0.2634309934718268,0.3332675737994058,0.0,0.2852899432182312,0.2352272059236254,0.24203351778643473,0.24261238745280675,0.0,0.24809215324265615,0.3031575083732605,0.0,0.22413077737603868,0.2880410658461707,0.37248493305274416,0.365820118359157,0.3088870048522949,0.3032253086566925,0.34061328002384733
ABCA1,0.0,0.0,0.0,0.0,0.9461533171789986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343190533774239,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0
DIAPH2,0.5,0.55381327016013,0.0,0.0,0.5566158848149436,0.0,0.623665913939476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036004062209811,0.0,0.5146138135875974,0.5391735072646823,0.0,0.5423059655087334,0.694771055664335,0.0,0.5732626616954803,0.564850275005613,0.5940468737057277,0.5519033116953713,0.5295711351292474,0.580045576606478,0.0
CSNK1A1,0.0,0.7648995561259133,0.0,0.0,0.7465847900935582,0.7936626438583646,0.0,0.0,0.7428366371563503,0.7793265070234027,0.0,0.0,0.7665009945631027,0.0,0.0,0.7760973168270928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7284958979913166,0.0,0.0,0.7142857142857143
DDAH1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACR1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMOD3,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9797770785433906,0.0,0.0,0.0,0.0
PLSCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971859233719962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143
SEL1L3,0.0,0.8697729962212699,0.9110528954437801,0.0,0.0,0.0,0.0,0.0,0.0,0.9001767401184354,0.0,0.0,0.0,0.0,0.0,0.8833793210131782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
MYH11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9522968786103385,0.0,0.0,0.0,0.9422991573810577,0.0
