,Basal II cells,Basal cells,Ciliated cells,Club cells,Dendritic cells,Goblet cells,Ionocytes,MT gene enriched cells,Mast cells,Maturing ciliated cells,NK cells,Neutrophils & macrophages,Peri-goblet cells,Secretory cells (HLA-DQA1),Suprabasal cells,T cells
FASN,0.0,0.0,0.0,0.0,0.0,0.42069031570522997,0.0,0.0,0.0,0.3410954403599702,0.0,0.0,0.0,0.4505146799115567,0.0,0.0
CNBP,0.7919866210568307,0.8514070281794376,0.5647287708826714,0.6274500355514552,0.8357339995945305,0.7392343442159913,0.9243457674024693,0.0,0.8016002544589691,0.6338840314058829,0.0,0.0,0.6652624924954069,0.8098207076147709,0.6915106597549022,0.0
MT1E,0.9108949012864029,0.5041420039070488,0.5964310844826662,1.4897730758848569,0.0,1.0374545825821222,0.0,0.0,0.0,1.3486717873147054,0.0,0.0,0.8898998937995344,1.2573052794921058,0.0,0.0
DUS1L,0.0,0.0,0.0,0.0,0.0,0.48051268158773025,0.0,0.0,0.0,0.10565454683360347,0.0,0.0,0.0,0.3687670754635203,0.0,0.0
GPS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38787133504033483,0.0,0.0,0.0,0.37368766539051934,0.0,0.0
DCXR,0.624494977095304,0.0,0.0,0.7585012033648508,0.0,0.7662469283991923,0.481456042953039,0.0,0.0,0.5358247562099686,0.0,0.0,0.6112102666485748,0.7619572408674841,0.6043253980999543,0.0
UGP2,0.3317625810267286,0.0,0.5931075363691287,0.7080743568173617,0.0,0.9011429456983626,0.4916929104751672,0.0,0.0,0.6837667236950933,0.0,0.0,0.5876161235373044,0.7975220340125727,0.0,0.0
HNRNPF,0.5671212676027745,0.0,1.1597774925678008,0.594404679921028,0.0,0.8163853092623028,0.6624738798295452,0.0,0.0,1.3877675847776798,0.0,0.0,0.7215235394914179,0.6692820006837046,0.0,0.0
TRIM56,0.559369470645381,0.6774126611856659,1.2401383246281719,0.5610445207422823,0.0,0.7922950843727156,0.6998131985779937,0.0,0.0,0.6022627515202628,0.0,0.0,0.7743855976251066,0.7864554448205885,0.0,0.0
SYAP1,0.0,0.0,0.873298735135347,0.46682319478586026,0.0,0.46959149758257085,0.0,0.0,0.0,0.5955798987971719,0.0,0.0,0.0,0.0,0.0,0.0
TOR1AIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34558787939563973,0.0,0.0,0.0,0.0,0.0,0.0
TM4SF1,0.0,0.0,0.0,0.0,0.0,0.6465405968305352,0.6696076024358254,0.0,0.0,0.14254457557830136,0.0,0.0,0.5425092996726216,0.0,1.1391373028384117,0.0
GUSB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27532289580932506,0.0,0.0,0.0,0.0,0.0,0.0
BRD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3173656601435251,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K2,0.0,0.0,0.0,0.0,0.0,0.47184847455728607,0.6130727438104098,0.0,0.0,0.36689006751975145,0.0,0.0,0.0,0.0,0.0,0.0
SF3B5,0.6830523022686289,0.6068689365624451,0.9441971716070514,0.844337425546436,1.017572990429774,0.8547184740513011,0.8067859914703024,0.9696297141909096,1.0449716703649283,1.053383860765406,0.0,0.0,0.6855014866390463,0.7646272605216086,0.0,0.0
IFFO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8447635992589426,0.0
CHD3,0.5482332527045102,0.755112421757115,0.0,0.6752882596466446,0.0,0.6767597674068523,0.0,0.0,0.0,0.8513984663828099,0.0,0.0,0.5874222000572329,0.6669657884046352,0.49777551075365445,0.0
TMEM154,0.0,0.0,0.14963347727006515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.9450993723221168,0.0,1.4440096426471387,1.6257418879119552,0.0,1.6848688061171004,0.0,0.0,0.0,1.381794937306314,0.0,0.0,1.2231123363370215,1.1236238425785139,0.8449911597498733,0.0
YWHAG,0.5675179600223281,0.5963595754439294,0.6426928314713987,0.7043576898209901,0.853826928228069,0.6739176864136655,0.4559897207469997,0.0,0.0,0.6173517025010551,0.0,0.0,0.6624512595970333,0.5768018545633314,0.6843654216068293,0.0
UBE2E3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529468396863059,0.0,0.0,0.0,0.33104214536884885,0.0,0.0
TRAPPC1,0.550274895772055,0.0,0.6391521557811264,0.7112249119799023,0.9863838330413786,0.6562984201902302,0.642071857429483,0.0,0.0,0.8998823201180093,0.0,0.0,0.5491595599421302,0.8626738185247373,0.0,0.0
FAM153A,0.0,0.0,0.0,0.0,0.0,0.0,0.624213124317303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36689006751975145,0.0,0.0,0.0,0.0,0.0,0.0
UBE2E1,0.3757190087459481,0.0,0.0,0.46682319478586026,0.0,0.29288341293521564,0.0,0.0,0.0,0.6416711175697807,0.0,0.0,0.37367628550815923,0.3996023003308234,0.0,0.0
HNRNPA3,0.5357135328230674,0.45465881072962255,0.6094084373761472,0.6168974297805132,0.0,0.5608507205737769,0.6624738798295452,0.0,0.7919645976288356,0.6200849704599115,0.0,0.0,0.6622191067372045,0.6669657884046352,0.6019845204051589,0.0
SLC16A5,0.0,0.0,0.44620268537907826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP6,0.0,0.0,0.8994001532438762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD6IP,0.0,0.0,0.569619040181593,0.41333361112589073,0.0,0.5256246418650883,0.0,0.0,0.0,0.39639881682186096,0.0,0.0,0.39328948988055595,0.0,0.0,0.0
GON7,0.0,0.0,0.7083709697048897,0.0,0.0,0.0,0.0,0.0,0.0,0.4047923975821123,0.0,0.0,0.0,0.0,0.0,0.0
CRTAP,0.4499374579345819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36881875215564286,0.34717074275012677,0.0,0.0
LGALS9B,0.550274895772055,0.0,0.6121243962258704,0.9626076767249383,0.0,0.9674187233437327,0.0,0.0,0.0,0.4445676075688242,0.0,0.0,0.7006814729614939,0.9105395650469503,0.0,0.0
CDK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8781239581606957,0.0,0.0,0.0,0.0,0.0,0.0
UBB,1.7945147749313004,1.7831655943616411,2.6223652979304575,2.2091168998154416,1.7925932890045395,2.2575342156619977,1.979601900566367,1.798841596223467,1.9823496503742088,2.688427133295091,1.621221269789128,1.2797427159462846,1.7197404363548592,2.1425701294151933,1.8154680979166775,1.774064262442858
B3GNT2,0.0,0.0,0.0,0.0,0.0,0.0,0.8050723723749911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOS,1.8472395906703583,1.7344891453354743,0.9500995569811732,1.8895037245550037,2.0137555486430823,2.0460180500572136,1.3963530581424508,1.5553889673439438,1.896496914260496,1.3292080168025215,1.7489107837577118,2.5508870106659045,1.798098352668028,1.8117108410279348,2.118859652994469,1.174071073375998
TMED10,0.732102148295771,0.5888227651529226,1.069270832969191,1.1010180636857025,0.5190659392870337,1.2925990472300437,0.8018036234872503,0.0,1.0074197209180789,1.1655698865329216,0.0,0.0,0.8685745867097111,1.0135019354956796,0.722983208864954,0.0
CST5,0.0,0.0,0.0,0.5644911306769236,0.6925477200564308,0.6750988712278233,0.0,0.0,0.0,0.3078966398981943,0.0,0.0,0.0,0.0,0.0,0.0
GPRC5C,0.0,0.0,0.0,0.4308286902615601,0.0,0.4787072768095229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT8,1.6584659158101696,1.001995465603665,2.0263100615688687,1.9321726193278006,0.0,2.298980191047183,2.36503055722268,0.5659789483777045,0.0,1.7319354115474173,0.0,0.0,2.2904275754717522,2.1969283358972818,1.6560204041795368,0.0
MGMT,0.0,0.0,0.14963347727006515,0.0,0.0,0.0,0.0,0.0,0.0,0.47904292936447757,0.0,0.0,0.0,0.0,0.0,0.0
HARS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39728218769893336,0.0,0.0,0.0,0.0,0.0,0.0
RALGAPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3004513206302648,0.0,0.0,0.0,0.0,0.0,0.0
KRT4,1.2859926905909336,0.0,0.5828495128797403,1.9614743767396248,0.0,0.43419162788331495,0.0,0.0,0.0,0.0,0.0,0.0,1.4545226469970318,0.0,0.0,0.0
HSD17B13,0.0,0.0,0.18237045894079787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA2G4,0.5083050599480948,0.0,0.0,0.4495055274731126,0.0,0.5191348319821579,0.4559897207469997,0.0,0.0,0.652398742864859,0.0,0.0,0.40217595750001167,0.4624275280624948,0.0,0.0
ARL6IP1,0.0,0.0,0.0,0.5283529838642166,0.5190659392870337,0.502551468879716,0.0,0.0,0.0,0.39049716498483633,0.0,0.0,0.0,0.6112557511758416,0.0,0.0
SMAGP,0.0,0.0,0.0,0.3740270370265815,0.0,0.5670221834435216,0.0,0.0,0.0,0.27532289580932506,0.0,0.0,0.16471769507498576,0.3240606517391422,0.0,0.0
