,AT1,AT2,Adventitial FB,Alveolar FB,Alveolar macrophage,Arteriole,B cells,Basal,CD4,CD8/NKT,Ciliated,Differentiating ciliated,Inflamed,Inflammatory monocyte,Interstitial macrophage,KRT5-/KRT17+,Lymphatic,Mast,Mesothelial,Monocyte,Monocyte-derived macrophage,MyoFB,MyoFB - Activated,NK,PLIN2+ FB,PNEC,Pericyte,Plasma,Proliferating - Epi,Proliferating - Imm,SMC,Secretory - SCGB1A1+/MUC5B+,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Systemic venous,Transitional AT2,Venule,aCap,cDC1,cDC2,gCap,moDC,pDC
UBXN10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.289512117184354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.0,1.0000880154830256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.0,0.0,1.188821089537289,1.0734548376747663,0.0,0.0,1.291908889339456,0.0,0.0,0.0,0.0,0.0,0.0,1.4417931685983079,1.3782416851842638,0.0,0.0,1.4836728729980238,0.0,1.076306422544505,0.0,1.5012018590042209,0.0,1.3682678045074437,0.0,0.0,2.0086752774224967,1.018916800945803,1.3063330275164404,0.0,0.8148372178014893,0.0,1.3434007672246988,0.0,0.0,0.0,0.0,1.0028537517165852,1.3354957744872458,0.0,1.2655602877208758,1.634528565455129
HP1BP3,0.0,0.0,1.1508156817020212,0.0,0.9481303537713951,0.0,0.0,0.9410570192664698,0.0,0.0,0.0,0.0,0.0,0.0,0.9029657417210094,1.155748138400793,0.0,0.0,0.0,0.0,0.8114736767032098,0.0,0.989252648275428,0.0,0.0,0.0,0.0,0.8809643903764689,0.8968911863949605,1.393504327023142,0.0,0.0,0.0,0.0,0.0,0.5953524753082619,0.0,0.0,1.1018502383271311,1.0285512118915565,0.0,0.0,1.291781538120623
ECE1,0.0,0.0,0.0,0.0,0.0,1.0996818783888598,0.0,0.0,0.0,0.0,0.0,0.0,1.5705980791178364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48766902332483175,0.0,1.1087133846546136,0.0,0.0,0.0,0.0,0.0,0.0
ALPL,0.0,1.8285637083991226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5667139831186911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.274907602422177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1846361367707192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPG2,1.2645323330796723,0.0,0.0,0.0,0.0,0.7500477262435716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771356309319231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6215470412238497,0.0,1.4819137077221642,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,1.476436217912023,1.1627299729186644,0.0,0.0,1.7398092807354788,1.2467539772215952,1.740939601092607,1.3899229722641546,1.8233176246107068,1.8087312855454425,1.3625445302736807,1.3436767923925024,1.5145462331980222,1.884458706367114,1.7079312942045406,1.46035011559577,1.324153303711162,1.6324657174644575,0.9395142032278501,1.9591042378108787,1.8014795190013855,0.0,1.315586058125417,1.969192686075678,0.0,1.5612013135505634,0.0,1.4099644072063646,1.2585990136447849,1.696042340260881,1.186669941981028,1.3074119771354273,1.3450233404777392,1.3805769954839917,1.1579517284544185,1.4858348452140173,1.189743096791675,1.2987983494581283,1.9697346322518712,1.8040486409844745,0.0,1.7780228057092875,0.0
C1QA,0.0,0.0,0.0,0.0,2.7601026048258896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201277808295645,2.266664359760693,0.0,0.0,0.0,0.0,0.0,2.595885489571642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652646376191427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1926045682351307,0.0,2.5854023140723204,0.0
