,Adipo,CM,EC,Fib,Lymph,Mast,Mural,Myel,Neuro,PKHD1L1+ EC
ENSG00000137491,-0.27403906,-0.250175,-0.283452,-0.27720642,-0.2428041,-0.2873248,-0.29979542,3.1780455,-0.28059888,-0.24730472
ENSG00000184384,0.55459404,-0.7142465,-1.0284845,0.8102394,0.18013495,0.5638705,0.82426983,0.8828746,-0.9951921,-0.86989176
ENSG00000149571,-0.16325785,-0.15359525,-0.1760447,-0.17271763,-0.17478539,-0.17572536,-0.17379585,-0.17190018,5.416587,-0.17107141
ENSG00000182667,-0.24124768,-0.2506384,-0.22875184,-0.23631364,-0.2213602,7.146418,-0.23776913,-0.23945871,-0.17225656,-0.2380056
ENSG00000151474,1.5693257,-0.6517116,-0.6344977,-0.6282203,-0.64715934,-0.6999113,-0.69698083,1.3744073,1.8331141,-0.65211046
ENSG00000260314,-0.24555898,-0.22365355,-0.2367931,-0.24822322,-0.18265423,-0.26841164,-0.2646833,3.727883,-0.23395815,-0.19921651
ENSG00000077420,2.261363,-0.23625386,-0.2731249,-0.2721447,-0.12985784,-0.29214248,-0.2902787,-0.2115185,-0.25920472,-0.23879623
ENSG00000148655,-0.04047165,-0.27411574,1.0738966,-0.7665373,-0.66484547,1.5805645,-0.7979096,1.4671967,-0.6152586,0.5866176
ENSG00000156113,-0.24597856,-0.23418182,-0.23068559,-0.24287564,-0.19729573,4.0460234,-0.25081375,-0.18271166,-0.22410184,-0.21833006
ENSG00000108018,-0.2977817,-0.31337515,-0.2704641,-0.27649814,-0.26783496,-0.2773964,-0.2784755,-0.2801727,4.0279126,-0.27798563
ENSG00000119927,8.676693,-0.20181635,-0.1368734,-0.14633855,-0.13763487,-0.14218897,-0.14633678,-0.15016666,-0.14018558,-0.15018022
ENSG00000177575,-0.21225315,-0.19162166,-0.21712564,-0.2218439,-0.17113864,-0.23995194,-0.23532853,3.6645374,-0.21352929,-0.1967031
ENSG00000008394,4.162134,-0.24229446,-0.40837178,1.8922045,-0.4376977,-0.347518,-0.35612226,-0.33083758,-0.37459072,-0.31746
ENSG00000017427,3.495831,-0.22767651,-0.24928771,-0.24199572,-0.23482525,-0.25575963,-0.25208214,-0.24301592,-0.2467628,-0.23638278
ENSG00000171310,-0.4313323,-0.41465098,-0.39301467,-0.41529346,1.1472778,2.2287676,-0.4310935,0.80111265,-0.40106183,-0.37109774
ENSG00000181234,3.5314379,-0.2242563,-0.25237125,-0.24540685,-0.2364558,-0.26060918,-0.25601387,-0.24781743,-0.24938406,-0.18604237
