,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,dc_migratory,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000181788,0.0,0.24187922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22403015,0.0
ENSG00000174944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40543264,0.0,0.0,0.0
ENSG00000152601,0.70118326,0.54859704,0.6400418,0.82122654,0.885729,0.8228593,0.85605496,0.8768113,0.90510553,0.9103054,1.0368125,0.78877246,0.92474675,0.82536596,0.8873438,0.913198,1.0095575,0.55256695,0.72333056,0.74460673,1.0371678,0.962428,0.52261484,0.53688526,0.56844443,0.58000886,0.9870371,0.8633812,0.7529458,0.51246727,0.0,0.3849933,0.6230318
ENSG00000181467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26448584,0.23532645,0.5159138,0.0,0.0,0.16607718,0.0,0.0,0.30073443,0.0,0.0,0.0,0.28545088,0.0,0.0,0.0
ENSG00000174953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20050557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4185754,0.0,0.13653658,0.19151446
ENSG00000163655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08326962,0.0
ENSG00000114850,0.0,0.29734522,0.0,0.0,0.0,0.0,0.0,0.3374375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41784784,0.509865,0.8756793,0.0,0.0,0.5403894,0.0,0.0,0.35911506,0.0,0.0,0.0,0.7618743,0.8450377,1.268048,0.33845007
ENSG00000163659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29070127,0.3935211,0.0,0.0,0.0,0.13920242,0.44940034,0.0,0.31382644,0.0,0.0,0.0,0.0,0.0,0.0,0.21056762
ENSG00000163660,0.926961,0.092789546,0.90521127,0.8992403,0.86933887,0.85153675,0.858451,0.6776357,0.83095556,0.6973847,0.95515627,0.9057388,1.1271008,0.85788584,0.8477106,0.92651725,0.93774927,0.88998073,0.874534,0.63682026,0.91868174,0.7789489,0.55299425,0.6992173,0.9211181,0.812124,1.1070238,0.8873436,0.972227,1.1003015,0.4321151,0.48439988,0.73570955
ENSG00000174891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16296387,0.0
