,Age-associated B cells,CD16+ NK cells,CD16- NK cells,CD24 neutrophils,CMP,CRTAM+ gamma-delta T cells,Classical monocytes,Cycling T&NK,DC precursor,DC1,DC2,ELP,ETP,Early MK,Early erythroid,Erythrocytes,Follicular helper T cells,GMP,HSC/MPP,Late erythroid,MAIT cells,MEMP,Mast cells,Megakaryocyte precursor,Megakaryocytes/platelets,Memory B cells,Mid erythroid,NAMPT neutrophils,Naive B cells,Neutrophil-myeloid progenitor,Neutrophils,Non-classical monocytes,Plasma cells,Plasmablasts,Pro-B cells,Promyelocytes,Regulatory T cells,Small pre-B cells,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells,Tem/Effector helper T cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC,pDC precursor
UBE2D1,0.0,0.0,0.0,0.0,0.0,0.0,0.9552849476987665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787528379396959,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2D2,0.30141524835066363,0.24379442767663437,0.30962114848873834,0.0,0.19442761621691965,0.22442255914211273,0.14034206487915732,0.28391563621434296,0.26103256371888245,0.18790741400285202,0.23252919722687115,0.3089288513768803,0.3113597414710305,0.2323226427490061,0.21339030157436023,0.15033812820911407,0.22070939974351364,0.18260594525120474,0.23544218458912589,0.0,0.20735795660452408,0.21974294023080307,0.14843280207027088,0.23258152604103088,0.0,0.20526643910191275,0.1836401183496822,0.0,0.25649052451957355,0.16539660773494028,0.0,0.1620483168146827,0.13636363636363635,0.23080197383056988,0.3216383552009409,0.15327287126671185,0.2533017532391982,0.0,0.25114002552899445,0.20039213787425647,0.21214444257996298,0.2072523683309555,0.21286561543291266,0.33411333100362256,0.3916719989343123
UBE2D3,0.06862141733819788,0.09015573425726457,0.12388300895690918,0.21940214525569568,0.05853897739540447,0.09995258125391873,0.1560026163404638,0.12692174179987473,0.06386819075454366,0.1225655282085592,0.12796450609510596,0.0489337525584481,0.06980086998506026,0.1440908217971975,0.06613319028507579,0.04194417189468037,0.12573436308990826,0.041444748640060425,0.047569273547692734,0.11418886889110912,0.06085607409477234,0.06885359910401431,0.05981260538101196,0.07355135543779893,0.03704219243743203,0.04192802716385235,0.06844660910693082,0.340085662224076,0.04094099321148612,0.037933002818714485,0.0,0.14199681715531784,0.022727272727272728,0.05420291965658015,0.0740822973576459,0.04758781059221788,0.15598136322064834,0.14407002384012396,0.1004334877837788,0.12730672413652594,0.13085408508777618,0.05007004195993597,0.06920452686873349,0.05910032174803994,0.10186644033952193
UBE2E1,0.0,0.0,0.0,0.0,0.7834631191058592,0.0,0.0,0.0,0.7272727272727273,0.7762790308757261,0.0,0.801458937200633,0.0,0.8307667902924798,0.7834717373956334,0.7668477445840836,0.0,0.0,0.793318285183473,0.0,0.0,0.8047641420906241,0.0,0.8108150647445158,0.0,0.0,0.7532979371872816,0.0,0.0,0.0,0.0,0.0,0.0,0.7278592220761559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7719896530563181
UBE2E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2E3,0.0,0.0,0.0,0.0,0.6739802699197422,0.0,0.0,0.7107943174513903,0.6760145466436039,0.0,0.0,0.7031294974413785,0.0,0.7603913139213215,0.7422915859655901,0.7137496281753887,0.0,0.6590909090909091,0.7070598060434515,0.0,0.0,0.7464171946048737,0.0,0.7411163936961781,0.7536747049201619,0.0,0.7186118215322495,0.0,0.0,0.0,0.0,0.0,0.0,0.6616617088968103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6660244559699838,0.7199717231772162
UBE2F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409274775873531,0.7954545454545454,0.8521792929280888,0.8132863925261931,0.0,0.0,0.8605942035263235,0.8045234734361822,0.8074062669819052,0.0,0.0,0.0,0.0,0.0,0.8148905431682413,0.0,0.0,0.9511932811953805,0.0,0.8095207634297285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2G1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9460574171759866,0.928163621913303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9135501398281618,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9723208831115202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2G2,0.0,0.0,0.0,0.0,0.712056421420791,0.0,0.0,0.0,0.7266073294661262,0.6818181818181818,0.7092549651861191,0.0,0.0,0.7960034879771146,0.7183051149953495,0.7523417161269621,0.0,0.702350378036499,0.0,0.0,0.0,0.7148693813519045,0.0,0.6895339705727317,0.0,0.0,0.7239596396684647,0.0,0.0,0.6937556903470646,0.0,0.0,0.0,0.6913217549974268,0.0,0.7192341834306717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7064974023537203,0.0
UBE2H,0.0,0.0,0.0,0.9472301195968281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745392541993748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9593080417676405,0.0,0.0,0.0,0.0,0.0,0.9318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
