,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000248144,0.0,0.0,0.5723511961198622,0.5677590485542051,0.5760457881035344,0.5352497754558441,0.0,0.6363722220543893,0.5161290322580645,0.0,0.5906043110355255,0.6242711659400694,0.6583245108204503,0.6498489514473946,0.5766351857493001,0.69967116848115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6747295529611649,0.5696910292871536,0.0,0.0,0.0,0.0,0.6454293074146393,0.6291904161053319,0.0
ENSG00000197894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196344,0.0,0.0,0.0,0.0,0.0,0.89298245791466,0.0,0.0,0.0,0.0,0.8825945411959002,0.0,0.838849663734436,0.8839209868061927,0.8387096774193549,0.9054711941749819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8881867085733721,0.0,0.0,0.8387096774193549,0.0,0.873730348002526,0.8606006349286726,0.854226581511959,0.8697594769539372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857805967330933,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148671,0.0,0.0,0.6616112782109168,0.0,0.5857533524113316,0.0,0.0,0.5483870967741935,0.5800627758426051,0.6096774531948951,0.5607341393347709,0.5572150638026576,0.5611649482480942,0.5708413508630568,0.6448467719939447,0.7147869852281385,0.6018365909976344,0.0,0.0,0.0,0.0,0.0,0.0,0.5921947263902233,0.0,0.6040111587893578,0.0,0.0,0.0,0.5550572372251942,0.0,0.0
ENSG00000130706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.9043404267680261,0.905343319139173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9253978921521094,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000035687,0.0,0.0,0.0,0.0,0.0,0.8854518475071076,0.0,0.0,0.0,0.9083550764668372,0.8387096774193549,0.0,0.0,0.0,0.8487707953299245,0.8595771847232696,0.8432968220403118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104964,0.0,0.0,0.5492451556267277,0.0,0.5728219093814972,0.6460141866437851,0.0,0.5483870967741935,0.559637927239941,0.6503866334115306,0.5711345672607422,0.5654590764353352,0.5514665611328617,0.5915934424246511,0.5894783562229525,0.6045851534412753,0.5601676317953295,0.6319718841583498,0.0,0.0,0.0,0.0,0.0,0.5875053674943985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130396,0.0,0.0,0.0,0.0,0.0,0.9436295282456183,0.9648430635852199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9512163323740805,0.9449660739591045,0.0,0.0,0.0,0.0,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106541,0.0,0.0,0.4357910444659571,0.4421051759873667,0.43102332468955745,0.4269677112179418,0.41935483870967744,0.559358048823572,0.42452149621901974,0.4432154317055979,0.43168027747061943,0.4454390868063896,0.5957311487966969,0.5510723225532039,0.4600146585895169,0.4766500419186008,0.4220712261815225,0.0,0.0,0.0,0.0,0.0,0.0,0.47568646361750944,0.4442974925041199,0.0,0.0,0.0,0.0,0.48947445231099285,0.5048047804063366,0.0
ENSG00000173467,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135541,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.9731082954714375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
