,Adventitial Fibroblast,Airway Smooth Muscle,Alveolar Epithelial Type 1,Alveolar Epithelial Type 2,Alveolar Fibroblast,Artery,B,Basal,Basophil/Mast 1,Bronchial Vessel 1,CD4+ Memory/Effector T,CD4+ Naive T,CD8+ Naive T,Capillary,Capillary Aerocyte,Capillary Intermediate 1,Ciliated,Classical Monocyte,Club,Dendritic,Differentiating Basal,Fibromyocyte,Goblet,IGSF21+ Dendritic,Intermediate Monocyte,Lipofibroblast,Lymphatic,Macrophage,Myeloid Dendritic Type 2,Myofibroblast,Natural Killer,Natural Killer T,Neuroendocrine,Neutrophil,Nonclassical Monocyte,Pericyte,Plasmacytoid Dendritic,Proliferating NK/T,Signaling Alveolar Epithelial Type 2,Vascular Smooth Muscle,Vein
MCTS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28721407,0.0,0.0,0.84374595,3.1955662,0.0,2.7733955,0.0,4.6784353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTDSPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6356637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASRGL1,0.0,0.0,0.0,0.0,0.0,5.6808586,0.0,0.0,3.549912,2.9444075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4410374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5160713
EPS8L2,0.0,0.0,2.9745538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42222318,0.0,0.6784631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIMAP6,0.0,0.0,0.0,0.0,0.0,2.2701128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASXL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20669141,0.0,0.0,0.0,0.0,0.0,0.47413465,0.0,0.0,0.0,0.26830325,0.0,0.56758213,0.0,0.0,0.0,3.6216862,0.0,0.0,1.3430297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFLR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0075456,0.0,0.0,0.0,0.0
ATXN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75041085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20orf96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2533221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306546,0.0,0.0,0.0,0.0,0.0,0.0,0.9778381,0.0,0.0,0.0,4.110604,0.0,0.0,0.0,0.0,0.0,3.0090842,0.0,0.0,0.0,0.0,0.0,0.0
BTN2A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7536323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBX1,3.6303842,1.0711982,0.0,0.0,1.2153714,0.0,0.0,0.0,1.7607384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2739296,0.0,0.0,0.0,0.0,0.0,0.0,1.7141321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDR16C5,0.0,0.0,0.0,6.0034666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1918018,0.0,0.0,0.0,3.1173015,0.0,5.0041585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERGIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3378632,2.1091957,0.0,2.324099,0.0,2.3044562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNAI2,3.171381,4.168685,0.0,0.0,0.0,6.2009845,5.4865913,2.5890493,6.1786957,5.8424616,5.788372,6.044269,6.1641455,5.719551,6.4687176,6.6675215,4.392114,6.224608,2.074194,6.4038877,4.886833,0.0,0.0,5.8109236,5.891179,2.943015,6.198905,5.3405485,6.428114,1.7939668,5.2116594,2.1539927,2.4507732,6.5417347,6.7407274,0.0,5.1428466,5.1504865,1.6185932,3.2806532,5.971124
PRKDC,0.0,0.0,0.0,0.0,0.0,0.0,0.7098286,2.0054934,1.3822203,0.0,2.544416,2.6416333,0.0,0.0,0.0,0.0,2.1446424,0.0,2.8869014,2.358282,2.2617683,3.5072792,2.3678904,0.0,2.9942536,4.038574,2.2059019,0.0,3.9071412,0.0,0.0,0.0,1.5658288,0.0,2.7141085,0.0,0.0,3.800344,1.7394552,0.0,0.0
GRAMD2A,0.0,0.0,3.866906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45334053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7215178,0.0,0.0
ANKRD12,0.9140976,0.0,2.6362844,1.8869259,0.0,3.258614,1.4659846,3.2457798,2.8666458,2.5949314,5.379754,5.6558437,3.9390743,0.0,0.0,2.3002992,2.5859382,2.972496,3.0845113,3.8798945,2.0858366,0.5334429,3.7502618,3.8838067,3.106149,2.6139715,0.85760844,3.372003,3.2148101,0.0,1.7479153,0.0,4.1073327,0.0,0.83299625,0.0,3.4365149,2.5267267,2.6265414,0.0,0.69583476
