index,free_annotation,silhouette_score
A8_B003136.gencode.vH29,Ciliated,-0.28845894
A9_B002386.gencode.vH29,Ciliated,-0.39648336
A9_B003135.gencode.vH29,Ciliated,-0.45919344
B1_B002382.gencode.vH29,Ciliated,-0.47181585
B1_B003135.gencode.vH29,Ciliated,-0.4481809
B1_B003142.gencode.vH29,Ciliated,-0.3813781
B10_B003136.gencode.vH29,Ciliated,-0.44380996
B11_B003136.gencode.vH29,Ciliated,-0.31420913
B12_B002382.gencode.vH29,Ciliated,-0.3522393
B12_B003142.gencode.vH29,Ciliated,-0.47013846
B2_B003141.gencode.vH29,Ciliated,-0.3284195
B3_B003138.gencode.vH29,Ciliated,-0.42464814
B4_B003141.gencode.vH29,Ciliated,-0.4682433
B5_B002385.gencode.vH29,Ciliated,-0.3418058
B5_B003138.gencode.vH29,Ciliated,-0.4258246
B5_B003142.gencode.vH29,Ciliated,-0.3323479
B6_B003135.gencode.vH29,Ciliated,-0.4648537
B7_B003138.gencode.vH29,Ciliated,-0.47148424
B8_B003138.gencode.vH29,Ciliated,-0.26173955
B9_B003135.gencode.vH29,Ciliated,-0.35964927
C1_B002386.gencode.vH29,Ciliated,-0.42954674
C2_B003142.gencode.vH29,Ciliated,-0.40550727
C3_B002383.gencode.vH29,Ciliated,-0.4451639
C3_B003141.gencode.vH29,Ciliated,-0.40386724
C4_B003140.gencode.vH29,Ciliated,-0.3472995
C5_B003136.gencode.vH29,Ciliated,-0.4395826
C6_B002383.gencode.vH29,Ciliated,-0.47310153
C6_B003135.gencode.vH29,Ciliated,-0.35300183
C7_B002014.gencode.vH29,Ciliated,-0.44220215
C8_B003136.gencode.vH29,Ciliated,-0.42712086
D1_B002383.gencode.vH29,Ciliated,-0.33543855
D11_B002385.gencode.vH29,Ciliated,-0.30312064
D12_B003137.gencode.vH29,Ciliated,-0.39749366
D13_B003141.gencode.vH29,Ciliated,-0.27629846
D13_B003142.gencode.vH29,Ciliated,-0.4022508
D3_B002385.gencode.vH29,Ciliated,-0.26939848
D3_B003142.gencode.vH29,Club,-0.7511406
D5_B003141.gencode.vH29,Ciliated,-0.30529678
D6_B002383.gencode.vH29,Ciliated,-0.47820252
D7_B002385.gencode.vH29,Ciliated,-0.2525879
D7_B002386.gencode.vH29,Ciliated,-0.44936863
D8_B003137.gencode.vH29,Ciliated,-0.37520164
D9_B002382.gencode.vH29,Ciliated,-0.27792168
D9_B003139.gencode.vH29,Ciliated,-0.3195254
D9_B003141.gencode.vH29,Ciliated,-0.465527
E10_B002383.gencode.vH29,Ciliated,-0.37235215
E10_B003141.gencode.vH29,Ciliated,-0.29798204
E11_B003135.gencode.vH29,Ciliated,-0.3693745
E12_B002386.gencode.vH29,Ciliated,-0.4388916
E12_B003135.gencode.vH29,Ciliated,-0.44011134
E13_B002382.gencode.vH29,Ciliated,-0.47030592
E13_B003136.gencode.vH29,Ciliated,-0.35033888
E2_B002383.gencode.vH29,Ciliated,-0.3771733
