,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
PSMD2,0.3099275935779918,0.0,0.4085552746599371,0.3573588891462846,0.34378065304322675,0.0,0.28745664249766956,0.29659638621590356,0.0,0.28111949833956634,0.2727272727272727,0.46083400466225366
EIF4G1,0.495993202382868,0.0,0.47767732360146264,0.42207774248990143,0.4345005317167802,0.0,0.3770327297123996,0.36363636363636365,0.0,0.0,0.3946591182188554,0.4302589134736495
POLR2H,0.0,0.0,0.5073759772560813,0.530365066094832,0.520655940879475,0.0,0.5033065351572904,0.4847616119818254,0.0,0.0,0.45454545454545453,0.49091419306668366
MAGEF1,0.0,0.0,0.38689206405119464,0.3795342662117698,0.42176979780197144,0.0,0.39451770890842786,0.39987971024079755,0.0,0.36363636363636365,0.47760542956265534,0.4141103950413791
MAP3K13,0.22105963663621384,0.0,0.1849290349266746,0.18489980697631836,0.18285003033551303,0.0,0.3141926418651234,0.26247754422101105,0.2933826609091325,0.18181818181818182,0.2740663398395885,0.24416239695115524
TRA2B,0.31758908250115137,0.0,0.3346561843698675,0.2911123037338257,0.3840923092582009,0.0,0.2802117250182412,0.2727272727272727,0.0,0.44082065603949805,0.5071777701377869,0.27305741201747546
DNAJB11,0.0,0.0,0.32332230697978626,0.2727272727272727,0.3166873563419689,0.593027651309967,0.39525043964385986,0.29421158270402387,0.0,0.48409370400688867,0.6647004539316351,0.3189770416779952
EIF4A2,0.0,0.004651963710784912,0.005701883272691207,0.034393034198067406,0.005251272158189254,0.11054473573511298,0.17245451428673483,0.16315215826034546,0.23971603675322098,0.46307513930580835,0.24210733717138117,0.08665474978360263
SST,0.02959795973517678,0.11917325041510841,0.003128756176341664,0.013964967294172808,0.0,0.20057497241280295,0.05340808629989624,0.06552925434979526,0.13363363526084207,0.08053288676521995,0.025948172265833073,0.5691791014237837
LPP,0.0,0.0,0.8351112766699358,0.8181818181818182,0.8438813740556891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
