,Activated_CD4,Activated_CD8,Arterial,Arterial capillary,Basal,Bmem,Chief,Contamination,Enterocytes,Enterocytes_Intermediate,Enteroendocrine_CHGA,Enteroendocrine_GAST,Enteroendocrine_GHRL,Erythrocyte,Foveolar_Differentiated,Foveolar_Intermediate,Goblet,IgA1_IGKappa,IgA1_IGLambda,IgA2High_IGKappa,IgG_IGM_IGKappa,IgG_IGM_IGLambda,Intermediate,Intestinal_Undifferentiated,Macrophages,Macrophages_Activated,Mast_Cells,Mast_Cells_Activated,Monocytes,NK-cells_Gastric,NK-cells_Intestine,Naïve,Naïve_FCMR,Neck-Cells,Parietal,S1,S2,S3,SMG,Superficial,Suprabasal,Th1_Th17_TReg,Tmem,Venous,cDC1,gdT,pDC
HP1BP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023208829,0.050300702,0.0,0.07622841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041606866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040484376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPG2,0.0,0.0,0.0,0.06007513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09618833,0.0,0.0,0.0
CDC42,0.0,0.24911347,0.20252459,0.25234246,0.03347325,0.17076409,0.07011425,0.0,0.0755824,0.13490337,0.1627085,0.0,0.1379666,0.0,0.114776656,0.24911584,0.09181951,0.0,0.0,0.0,0.0,0.01367367,0.17995681,0.10471671,0.0,0.23525351,0.0,0.20942643,0.0,0.4412753,0.3077782,0.18061726,0.19106232,0.17030394,0.0,0.0,0.0,0.031444352,0.100095004,0.17868192,0.16315326,0.0,0.26461196,0.2226696,0.0,0.14735697,0.048733428
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.438168,1.5351667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1533237,1.0922017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5272603,1.6132102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038311053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06085877,0.041663717,0.0,0.0,0.0448213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05549381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058290984,0.0,0.0,0.0,0.0,0.0,0.0,0.0729281,0.0,0.0,0.0,0.0,0.0,0.0
TCEA3,0.0,0.0,0.0,0.0,0.0,0.0,0.06363675,0.0,0.0,0.102345064,0.0,0.0,0.0,0.0,0.0,0.07356261,0.11655184,0.0,0.0,0.0,0.0,0.0,0.0,0.113052025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100645885,0.0,0.0,0.0,0.0,0.029814556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID3,0.0,0.0,0.11924986,0.2469177,0.0,0.18207288,0.0,0.0,0.0,0.1339773,0.0,0.0,0.0,0.0,0.0,0.05500134,0.12749062,0.0,0.0,0.07433726,0.0,0.0,0.0,0.08182072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11321972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26317853,0.0,0.0,0.0
RPL11,2.1402082,1.5814576,0.7743906,0.82184356,1.9514827,2.1487966,1.5591137,1.0161548,1.0569024,1.4966787,1.3976887,1.1519494,1.2303488,0.0,0.57625365,1.5760611,1.2186612,0.5855713,0.60408807,1.1046478,0.64327943,0.7360839,1.3881916,1.7843022,1.5167711,1.126265,2.0435653,2.086183,1.2741684,1.363998,1.5190889,2.2283823,1.8879508,1.9361413,1.3771241,1.3795359,1.1161084,0.90993977,1.4872392,0.5225518,1.8231685,1.7686027,1.4261276,1.4031237,2.0266929,1.3410014,1.1414131
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05272611,0.024045713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04647909,0.0,0.0,0.0,0.0,0.0,0.0
GALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1673224,0.15008138,0.0,0.0,0.0,0.0,0.0,0.0,0.03397794,0.019189645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061762005,0.0,0.0,0.0,0.0,0.0,0.034179553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010988964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055973873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032869916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
