,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142132330489807,0.0,0.0,0.0,0.0,0.0
STX12,0.0,0.4023871211903814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41375194344259736,0.0,0.0,0.0,0.0,0.0
THEMIS2,0.0,0.3975278232917055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6161196660558492,0.0,0.0,0.5749738601351597,0.0,0.0,0.0,0.0,0.0
DNAJC8,0.0,0.8306930770552583,0.0,0.0,0.44443129337427784,0.479667527897356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877862753054564,0.0,0.0,0.0,0.0,0.0
ATP5IF1,1.0477862904971238,0.8026155993756467,1.7530416984115422,1.0913538718286595,1.4458825396635635,0.9321725082778018,0.5043992077067598,0.0,0.0,0.3859505129436066,0.0,0.8121890225388494,0.0,0.0,0.8288632079217481,1.2422020774010079,0.0,0.7785666569431378,0.0,1.089169270580308
YTHDF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865015138019736,0.0,0.0,0.0,0.0,0.0
EPB41,0.0,0.37815616057046453,0.0,0.0,0.0,0.0,1.2284231281579312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5463921742006801,0.0,0.0,0.0,0.0,0.0
SRSF4,0.0,0.3760217703775655,0.0,0.0,0.0,0.41713164018571636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.9325157182567744,0.9317239158762196,0.0,0.34315288621840206,0.6609214569007529,1.0289568840799208,0.0,0.0,0.0,2.085566354286909,0.0,2.260005049877412,1.883699454755121,2.1175413556849625,1.9691237754808837,0.0,1.9279356086895922,0.0,0.0,0.0
SDC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5418156075810634,0.0,0.0,0.0,0.0,0.0
PUM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2463221955457413,0.0,0.0,0.0,0.0,0.0
TINAGL1,0.0,0.0,0.0,0.0,0.0,0.7002228416097234,0.0,0.0,0.0,0.0,1.327471835602088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,1.109437533735516,1.6947679531451472,0.0,0.0,0.7031592073010261,0.9847292958214351,0.0,0.0,0.0,0.0,0.0,0.8856926750195575,0.0,1.3265757624911538,0.8525035131175527,0.9120444016436675,0.0,0.3034325851425453,0.7829882652618478,0.0
KHDRBS1,0.0,0.9055946631346148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210111108885019,0.0,0.0,0.461247033495279,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.7199097344402358,0.0,0.0,0.8252452829780352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613297120049356,0.0,0.0,0.0,0.0,0.0
LCK,1.0676152135630832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCKSL1,0.0,1.0518021458080973,0.0,0.0,0.0,1.0647180501673712,0.0,0.0,0.0,0.0,1.4671236734486632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBBP4,0.0,0.5380683298322373,0.0,0.0,0.48234007504170884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM12,0.0,0.3974451179025855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFPQ,0.0,1.0724732343917278,0.0,0.7298789314129303,0.7071983579834434,1.0112548610554202,0.0,1.01326090678439,0.0,0.0,0.0,0.4965839461546909,0.0,0.6832958771139013,0.5045994032423156,0.9471411228498208,0.0,0.0,0.0,0.0
PSMB2,0.0,0.530089993914729,0.0,0.0,1.1583462823278374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37726436845286665,0.0,0.0,0.0,0.0,0.0
MAP7D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09801273879244803,0.0,0.0,0.0,0.0,0.0
THRAP3,0.0,0.9043540971070734,0.0,0.0,0.4728636946267514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074347537857039,0.34523001498734546,0.0,0.0,0.0,0.0
LSM10,0.0,0.41344605660887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS15,0.0,0.4634014643018378,0.0,0.0,0.7110057523184089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25535137414594555,0.0,0.0,0.0,0.0,0.0
CSF3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963147356004226,0.0,0.0,2.8497211178795583,0.0,0.0,0.0
MEAF6,0.0,0.2424880752699625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214769107102111,0.0,0.0,0.0,0.0,0.0
AKIRIN1,0.0,0.38053768671935606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,1.0665734708997103,1.144270203791958,1.631514692557433,0.9789342490704886,1.6378433465170708,0.992003504803479,0.0,1.4687772353250224,0.0,0.982074205833715,0.0,1.1299563824185626,0.0,1.2015572290552354,0.9859156358545648,0.9761866869765481,0.0,0.7146816498948562,1.3676385899203531,0.0
MACF1,0.0,0.0,0.0,0.0,0.0,1.2364855064838158,0.0,0.0,0.0,0.0,1.2880046053415586,0.0,0.0,0.0,0.7232975581246459,0.9920274748545874,0.0,0.0,0.2933279968680833,0.0
PABPC4,0.0,0.8658825559698399,0.0,0.0,0.9342196107990072,0.0,0.0,0.0,0.0,0.38187068026792326,0.0,1.0073775922804997,0.0,0.0,0.7023453827666937,0.0,0.0,0.5437142476028539,0.0,0.0
CAP1,1.0310866487694168,1.6578823370539064,0.0,1.2130770479250632,0.0,1.2558677958189826,0.0,0.0,0.0,1.3937383126517802,0.0,1.2512477042953516,0.0,1.608636074576789,1.5110359516685599,1.1811620782477932,2.5242480546548256,0.0,1.4252492063119984,1.0903449624678263
PPT1,0.0,1.371260128257298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7813027684977915,0.0,0.9812698604569835,0.0,0.5998500080084392,1.0745772430134706,0.0,0.0,0.0,0.0,0.0
SMAP2,0.0,0.24296870170760415,0.0,0.0,0.0,0.6304361669820429,0.0,0.0,0.0,0.5655789974402068,0.0,1.2820499214667012,1.2758531785993934,1.2152036667765076,1.0438584085752707,0.0,0.0,0.33128380579145733,0.0,0.0
CITED4,0.0,0.0,1.7216645840350766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
