,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythroid,Erythrophagocytic macrophages,GC_B (I),ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Megakaryocytes,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Pre-B,Pro-B,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Th1/Th17,Trm_gut_CD8,pDC
MAD2L2,0.0,0.0,0.0,0.0,0.9536331906551268,0.0,0.9139927843721901,0.9135986406628679,0.0,0.9248921783958993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.9336255018304034,0.928343844123003,0.0,0.0,0.8876973972087954,0.8780487804878049,0.0,0.0,0.0,0.9024070893845907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169015884399414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000285646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIAA2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.7405215225568632,0.0,0.7915555267799191,0.7317073170731707,0.7501029648431917,0.0,0.7629243935026774,0.0,0.0,0.0,0.0,0.8037069090982762,0.8141091218808802,0.0,0.0,0.0,0.0,0.0,0.0,0.779254576055015,0.0,0.0,0.8608886585002993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623981353713245,0.0,0.7537920198789457,0.0,0.0,0.0,0.7477806515809966,0.0,0.0,0.0,0.0
VPS13D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM2,0.9220605216375212,0.0,0.0,0.0,0.8373014679769191,0.0,0.8376239465504158,0.0,0.0,0.8613207921749209,0.0,0.0,0.0,0.0,0.9305084943771362,0.0,0.0,0.0,0.9155668136550159,0.0,0.0,0.0,0.0,0.8048780487804879,0.8286604270702456,0.0,0.0,0.0,0.8074300681672445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.5978342469145612,0.6876902027827937,0.6611529225256385,0.7394245557668733,0.6624924831274079,0.6749362960094358,0.0,0.0,0.5740551672330717,0.5430405634205516,0.7218024105560489,0.0,0.0,0.6424813488634621,0.5811350621828218,0.0,0.0,0.0,0.7548860485960798,0.6705921670285667,0.0,0.6682082487315666,0.0,0.5365853658536586,0.0,0.0,0.5438369614322011,0.57237921400768,0.0,0.0,0.6574327742181173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6173971266281314,0.0,0.5761741268925551
DDI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
