,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ENSG00000116459,0.4009842059083074,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116473,0.8500995419580709,1.1667965565693195,0.9383994408121645,1.446637300536137,0.8621668366640418,1.1819600553804528,1.0541170487815585
ENSG00000171385,1.4089568182380683,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143079,0.0,0.9871079502863852,0.0,0.0,0.0,0.21487615345562994,0.0
ENSG00000007341,0.4458737116246352,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116489,0.5817967779788012,0.0,0.0,0.9316416967053291,0.0,0.0,0.0
ENSG00000155380,0.6443072469831619,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000226419,1.2070316427684336,0.0,0.6282747449706965,0.0,0.0,0.0,0.0
ENSG00000238198,0.31672183511789925,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198799,0.45892059790868023,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000081026,0.40678050564386736,0.7354164360111237,0.8218606414935823,0.0,0.7484925789000667,0.0,0.6939155248159545
ENSG00000197323,0.6759775102587753,0.592631954655837,0.5787616067187349,0.5461554780603978,0.7344255616475379,0.0,0.9132100752903447
ENSG00000009307,0.6196723982210899,0.0,0.0,0.0,0.0,0.0,0.37971613464575704
ENSG00000134259,0.0,0.0,0.5132054727655071,0.0,1.0234087172286275,0.0,0.0
ENSG00000118729,1.5362876688487113,0.0,0.0,0.0,0.0,0.0,1.403645480436741
ENSG00000163393,0.47371290993248527,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163399,0.7520426540530083,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000203865,0.2644749284631556,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116815,0.42530667340420725,0.5654331400013359,0.0,0.0,0.0,0.0,0.0
ENSG00000198162,0.7146217635054566,0.0,0.36803415392562067,0.0,0.0,0.0,0.0
ENSG00000231365,0.24218608149031967,0.0,0.6006995476766137,0.0,0.0,0.0,0.0
ENSG00000134250,0.0,0.0,0.8399113481998017,0.8138619348772379,0.0,0.0,0.0
ENSG00000171943,0.0,0.0,0.0,0.9162655199534555,0.0,0.0,0.0
ENSG00000232527,0.0,0.0,0.35772858620467474,0.0,0.0,0.0,0.0
ENSG00000196369,0.0,0.0,0.0,1.049201581455336,0.0,0.0,0.0
ENSG00000265491,0.9767760029295482,1.3442346825305578,0.8935902612139747,0.7171726929913107,0.6951265082349626,0.0,1.0657390073239554
ENSG00000265972,1.5941416957239847,1.621027885574418,0.7587395285293104,1.1148236258781086,1.1924573338300501,1.390864837352632,0.4618771153364969
ENSG00000116128,0.3067781715352186,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178104,2.259860071093338,0.0,0.0,0.0,0.0,0.7278772743593659,0.0
ENSG00000274265,0.20760404717285058,0.0,0.0,0.0,0.0,0.8385238014316926,0.0
ENSG00000264522,0.49633961223205736,0.0,0.0,0.0,0.0,1.3119954479550384,0.6327554245820859
ENSG00000136631,0.8013023355682247,0.0,0.0,0.0,0.0,0.0,0.9717388980323324
ENSG00000163125,0.6874680120979952,0.6630972830216013,0.7876934290833502,0.15013192719268298,0.7057709308394814,0.0,0.7736723260305169
ENSG00000143420,0.0,0.6729981774931302,0.6315777975353449,0.0,0.7141255869451371,0.0,0.0
ENSG00000163131,0.0,0.0,0.0,0.8164360544594742,0.0,0.0,0.0
ENSG00000143437,0.22547014489480954,0.0,0.6509330458418543,0.0,0.0,0.0,0.0
ENSG00000143458,0.31783455839852504,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143398,0.804285516302601,0.0,0.6321094783847356,0.5950865436142856,0.729573708876281,0.0,0.668594084629328
ENSG00000143442,0.7865604795493706,0.9237222570189237,1.0415320124942482,0.8004184540468866,1.1440868259014496,1.2168515166261722,1.2327801196277015
ENSG00000159445,0.3341270607858973,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197747,0.0,0.0,0.0,0.0,0.0,1.0856977326332165,0.0
ENSG00000197956,0.0,0.0,0.5630941985860297,0.0,0.0,1.690127777615748,0.0
ENSG00000196154,0.0,0.0,0.0,0.0,0.0,0.9692938280348047,0.0
