,"Alveolar epithelial cells, type 1","Alveolar epithelial cells, type 2",B cells,Basal cells,"CD8+ enriched T, common subtype","Chondrocytes, cartilage cells","Ciliated cells, major (common) subtype","Ciliated cells, secretory-like","Dendritic cells, conventional (myeloid)","Dendritic cells, plasmacytoid","Endothelial cells, arterial","Endothelial cells, capillary, aerocyte-enriched","Endothelial cells, capillary, common","Endothelial cells, lymphatic","Endothelial cells, smooth muscle-like","Endothelial cells, venous; fenestrated","Fibroblasts, adventitial-enriched","Fibroblasts, alveolar-enriched","Fibroblasts, common subtype","Fibroblasts, matrix and myofibroblasts","Glandular, mucous cells","Glandular, serous cells","Glial, Schwann cells",Hybrid cells,Intermediate cells,Ionocytes,"Macrophages, M1-2 intermediate","Macrophages, inflammatory, M1-like","Macrophages, non-inflammatory, M2-like",Mast cells,Monocytes,Myoepithelial cells,Natural killer cells,Neuroendocrine cells,Neutrophils,Pericytes,Plasma cells,Pre-ciliated (deuterosomal) cells,"Secretory cells, major (common) subtype","Secretory cells, mucous","Smooth muscle cells, airway-enriched","Smooth muscle cells, vascular enriched 1","Smooth muscle cells, vascular enriched 2","T cells, central memory and naïve","T cells, interferon-stimulated","T cells, resident memory","T cells, undefined",T-NK intermediate cells,Terminal airway-enriched secretory cells,Undetermined or mixed
ENSG00000010671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000241343,0.08781032699583341,0.2743914570045572,0.3435923875051593,0.28420699329400534,0.18748788384520573,0.19867865366850107,0.07074902178053517,0.081197927730858,0.2109370137241296,0.21867228180511383,0.21174147413944291,0.07917504134915612,0.08428651747159097,0.27568319568010924,0.24120332092928504,0.3006351196283771,0.23745801348052897,0.24229367655554657,0.18153782286152487,0.37098514019103795,0.14256764529937713,0.1098787423959502,0.0,0.10376523077513344,0.2585982523474347,0.07815531950105627,0.21638581276890703,0.10312396571056381,0.12848831743679268,0.21797797271524919,0.17302210506431284,0.23953360802521087,0.14033353803910284,0.09361433090429679,0.0,0.0,0.1040654070206195,0.188618238120806,0.1677414865826092,0.1167689389554086,0.1535579714109022,0.2236107925740458,0.200348805281719,0.4011172361580778,0.4173375981716971,0.12522260198003543,0.3420730050666417,0.1976542531730557,0.21919328277696232,0.061224489795918366
ENSG00000102393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9551263869133199,0.0,0.0,0.0,0.0,0.0,0.8587831853975001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.887130392392745,0.0,0.0,0.9205135635453886,0.8939893307888701,0.0,0.9385450683717796,0.0,0.0,0.0,0.0,0.0,0.8780415134484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9858019252119784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133134,0.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933367201192189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185222,0.0,0.8306383659363523,0.0,0.8163265306122449,0.0,0.8487948777401804,0.0,0.0,0.0,0.0,0.9056113148958767,0.0,0.0,0.0,0.8465861808531591,0.0,0.8745523814591106,0.0,0.0,0.8764321992702512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8309575113353895,0.0,0.0,0.0,0.0,0.0,0.8504133887200463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431686465959022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166681,0.916056221387802,0.8411415988547475,0.0,0.0,0.0,0.8455841466936497,0.0,0.0,0.0,0.0,0.8432975193401623,0.0,0.0,0.0,0.8108387982257728,0.0,0.8127964009108115,0.0,0.0,0.8312496818199675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8101063403435725,0.0,0.8630521950080631,0.0,0.0,0.0,0.0,0.0,0.0,0.8547901205430422,0.0,0.7959183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133142,0.0,0.7569240131536341,0.0,0.0,0.0,0.7961305578448016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8158700969398324,0.0,0.7887111758620141,0.8416454343530152,0.0,0.8203162960358016,0.0,0.0,0.0,0.7551020408163265,0.0,0.0,0.0,0.0,0.7619649598712178,0.0,0.0,0.8421518188575882,0.0,0.7888561675963829,0.0,0.0,0.0,0.0,0.0,0.0,0.9233767018771819,0.8539816626022065,0.8418478192091754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
