,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000182899,3.1579585,3.6294112,2.8377476,3.6950223,3.0874224,3.349824,3.740396,3.5529003,2.8232303,3.1976187,3.7050638,3.1324384
ENSG00000121552,3.001737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879576,2.4621167,0.0,0.0
ENSG00000166710,3.577462,0.0,4.651991,3.698857,4.2732534,0.0,0.0,4.710678,4.5906754,0.0,0.0,4.630086
ENSG00000166340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
ENSG00000244734,0.0,0.0,0.0,0.0,0.0,7.012478,5.06657,0.0,0.0,0.0,0.0,0.0
ENSG00000051523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4453747,0.0,0.0,0.0,0.0
ENSG00000163682,2.8732533,3.0871994,0.0,3.382677,2.7567935,2.7544947,3.0814521,3.3575182,2.4470394,2.7784677,3.2112277,2.6249654
ENSG00000011600,2.9981103,0.0,0.0,0.0,2.2284007,0.0,0.0,3.3575182,3.9990723,2.2501295,0.0,0.0
ENSG00000211899,0.0,2.611721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110700,3.29989,3.6866932,2.4655662,3.4216096,3.5090022,3.276304,3.6113071,3.255278,3.4923792,3.10761,3.8108163,3.2812192
ENSG00000067082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0179603,0.0,0.0,0.0,0.0
ENSG00000110079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.019885,0.0,0.0,0.0,0.0
ENSG00000119705,0.0,0.0,0.0,1.8154814,0.0,2.394569,2.9539628,1.208604,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2829256,0.0,0.0,0.0,0.0
ENSG00000213741,3.4842944,3.8175836,2.7745848,4.0211377,3.7453146,3.5573916,3.6942573,1.4453747,0.0,3.2874012,4.1055336,3.547512
ENSG00000070081,0.0,0.0,0.0,2.678863,0.0,0.0,0.0,0.0,0.0,0.0,2.3120456,0.0
ENSG00000089157,3.126168,3.733289,2.5126731,3.7844338,2.914623,3.5507934,3.7107887,2.9705815,2.4470394,3.040721,3.8530397,3.1509764
ENSG00000117450,0.0,2.436884,0.0,2.0468006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000231389,0.0,0.0,0.0,0.0,3.8579438,0.0,0.0,4.286759,0.0,0.0,0.0,0.0
ENSG00000166927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6873121,0.0,0.0,0.0,0.0
ENSG00000135486,0.0,2.7981594,0.0,2.8332133,0.0,0.0,2.3437877,0.0,0.0,0.0,2.3510747,0.0
ENSG00000158417,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151366,0.0,0.0,0.0,0.0,0.0,0.0,1.299283,0.0,0.0,0.0,0.0,0.0
ENSG00000136929,0.0,0.0,0.0,0.0,0.0,1.9353988,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085265,2.887543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2015457,0.0,0.0,0.0
ENSG00000071082,3.9660404,4.019767,2.5759203,4.4583917,4.049887,3.8806014,4.1366076,1.5260868,3.4599893,3.6885383,4.6090927,3.8710444
