celltype_l2,mean,std,median,count,q1,q3,f_score
CD14 Monocyte,0.030051392581887392,0.43154281172107894,0.3011769948417743,33,-0.191246074963615,0.3241607737756251,0.6153846153846154
Naïve Th Cell,0.20087719503858376,0.2360520759965739,0.2100221178647321,91,0.0981412495460631,0.3993365404627218,0.5627009646302251
Macrophage Resident,0.11645439911139989,0.2736469597049271,0.2020269726979781,279,-0.06677537753065149,0.3489411424962595,0.8188021228203184
Macrophage Activated,0.10323691419488626,0.24183318238169865,0.15424114764409735,32,-0.09926982510009374,0.303723926906036,0.3846153846153846
TAL Injured,-0.07683673097815624,0.33341428340586,0.0072963166313768,137,-0.3072356097417151,0.2111986095670322,0.1228070175438596
vSMC,-0.03039604231015398,0.046739894139586326,-0.0354519141701966,5,-0.0571648379095087,-0.035033692785548,0.5555555555555556
Myofibroblast,-0.15371533185260447,0.38003152691500924,-0.04315566460628274,28,-0.5041017082530798,0.1824446295974753,0.5625
JG Cell,-0.07683923795110228,0.06270168318782031,-0.0753241496405635,22,-0.12350480887855309,-0.03224263160318725,0.6
PT Injured,-0.1301096154669549,0.23721410567742557,-0.1327450123100547,511,-0.31934230712405387,0.07098011313290109,0.683494044242768
Macrophage HIF1A+,-0.1948998114970321,0.2970343899011523,-0.16532766442824914,6,-0.46097532006576825,0.06802441211032115,0.7142857142857143
Monocyte Transitioning,-0.3288557858316412,0.2525306180141686,-0.362703606712122,18,-0.4403692562753044,-0.12370025972110808,0.3846153846153846
