,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000257527,-0.011035125,0.05903171,-0.029931603,0.012437371,-0.044574566,-0.0036347017,-0.11197208,0.046811055,0.069619775,-0.07236561,0.001451821,0.05980827,0.058784362,0.033193883,0.033483714,0.056728467,-0.0397252,0.058322236,-0.080978066,-0.086279295,0.01806023,-0.015992904,0.060186595
ENSG00000261924,-0.01253257,0.06842267,-0.032417968,-0.014722044,0.014904976,0.019520082,-0.06171885,0.006264919,0.15230912,-0.054602034,0.031195974,0.06922632,0.058363125,0.028448971,-0.0913478,0.0069354693,-0.01898136,0.109413624,-0.088689946,-0.06306893,-0.015730409,-0.026166284,0.13187748
ENSG00000266654,-0.012908096,0.0025720862,-0.021507073,0.02257865,0.0129211,0.004905595,-0.02258372,0.050838016,0.06463188,-0.02761394,0.021439077,0.013579815,0.010484197,0.0054670903,-0.007894368,0.017803576,0.0007910538,0.04488848,-0.042815045,-0.027358808,-0.03239843,-0.018724963,0.053830836
ENSG00000287284,0.00087133393,0.12624803,-0.038662743,-0.028672934,-0.037794635,0.02065898,-0.13832006,0.023060912,0.15637854,-0.08049372,0.018022886,0.13412744,0.118886866,0.060145978,-0.017001448,0.08240883,-0.048418414,0.12786794,-0.09987718,-0.103259206,0.047888774,-0.008196827,0.14948666
ENSG00000260601,-0.00038572447,0.07150991,-0.023307048,-0.027067184,-0.033927858,0.007918953,-0.08730388,-0.00084845035,0.07756665,-0.051495913,0.0070426688,0.07363184,0.06373958,0.031546377,-0.016457802,0.03964862,-0.025122141,0.06472365,-0.0603984,-0.06424803,0.029433612,-0.011375924,0.07495579
ENSG00000260756,-0.006135664,0.07217643,-0.034339596,-0.029860673,-0.007900471,0.01237643,-0.072153926,-0.0026716236,0.11513826,-0.047282137,0.011013107,0.08041983,0.075745225,0.02688104,-0.05857389,0.038630936,-0.0363069,0.08858992,-0.06962552,-0.06291369,0.0066307727,-0.009893173,0.10823236
ENSG00000255158,-0.00219357,0.044077106,0.001075247,-0.02087617,-0.028662473,0.006729329,-0.049370967,0.0029244707,0.02164856,-0.024394877,0.0003281705,0.04560048,0.039504994,0.016996512,-0.0026722748,0.035541497,-7.5902004e-05,0.030882997,-0.018557936,-0.030088732,0.04277015,0.014963394,0.030952606
ENSG00000183562,0.0039613447,0.068046704,-0.015108041,0.011165091,-0.03005611,0.011566854,-0.08376504,0.040655963,0.07168543,-0.04902482,0.015895074,0.0700306,0.06463441,0.040852915,0.023518752,0.0514043,-0.018365646,0.063241795,-0.055585973,-0.06220266,0.033644196,0.0025255722,0.06511456
ENSG00000251009,0.047151417,0.19188935,0.03669793,0.012776773,-0.045900673,0.06919475,-0.13900954,0.06977233,0.13572194,-0.052890744,0.06676716,0.19262686,0.15781221,0.10757755,0.074333414,0.13356207,0.047148086,0.1615133,-0.036962535,-0.07241189,0.18635567,0.07349768,0.16480073
ENSG00000261177,-0.006797509,0.052055955,-0.0045062755,-0.02656486,-0.045820378,-1.03258335e-05,-0.08237749,-0.0032518697,0.0249672,-0.04499158,-0.0016465189,0.05163058,0.03931975,0.019416723,0.000621668,0.01877253,-0.007768883,0.03692685,-0.038701415,-0.05469258,0.048498616,0.00061478815,0.03746672
ENSG00000287935,0.021332595,0.12139174,0.016880177,0.010955946,-0.04347894,0.038438827,-0.109409146,0.04828008,0.08275369,-0.048879307,0.03487097,0.12313418,0.10346841,0.065338336,0.05641572,0.088810086,0.02044139,0.10120918,-0.038443565,-0.06307964,0.11861423,0.043921247,0.102334514
ENSG00000273554,-0.0025665837,0.051789492,-0.018582039,0.01256364,-0.029542234,0.00414781,-0.077344306,0.037424505,0.056829415,-0.04790934,0.007514082,0.05233927,0.05136991,0.029485047,0.030508315,0.050693695,-0.022636842,0.048482597,-0.05299714,-0.058495052,0.023252359,-0.0037919409,0.05100601
ENSG00000262848,0.0066852123,0.08573077,-0.015907232,-0.03860677,-0.008825831,0.011620539,-0.085163206,-0.009203324,0.123440295,-0.049190715,0.029078117,0.08553985,0.08839941,0.049798742,-0.09885292,-0.014297794,-0.034186207,0.101259895,-0.06902988,-0.06756068,0.011908971,-0.017375037,0.116475515
ENSG00000287074,-0.0034811548,0.07755941,-0.028598355,0.0055817533,-0.0465421,0.00800473,-0.11058749,0.03320729,0.076357275,-0.06666965,0.0071157888,0.07767543,0.07320184,0.0380302,0.02756783,0.068315245,-0.027981166,0.06813612,-0.07244378,-0.08170568,0.037469383,-0.0021265384,0.07357404
ENSG00000253344,-0.014690796,0.045262054,-0.030289052,-0.0057062055,-0.0018220698,0.00692809,-0.060281143,0.018186819,0.097888544,-0.046591222,0.007351689,0.053605694,0.049197946,0.019336578,-0.04007996,0.018931696,-0.030955933,0.0717912,-0.07088475,-0.057422824,-0.01744885,-0.01906595,0.08432335
ENSG00000283148,-0.015803136,0.051532693,-0.037194505,-0.015422201,0.009461617,0.010537036,-0.05651947,0.0024334227,0.12735921,-0.052871212,0.024315283,0.050258078,0.040648732,0.01734393,-0.07814243,0.0033771535,-0.021715503,0.088306986,-0.08282503,-0.060182508,-0.019982079,-0.029401692,0.10863648
ENSG00000264956,0.035145074,0.16360916,0.021245116,0.012296973,-0.04087706,0.05597314,-0.12983963,0.05835554,0.124454364,-0.053911317,0.054470696,0.1652253,0.13243322,0.08739415,0.062753074,0.11889763,0.029325781,0.13411617,-0.044552084,-0.07114141,0.14213076,0.052068576,0.14546752
ENSG00000247130,0.019156575,0.10324903,0.018080441,-0.0019673188,-0.034833986,0.033839718,-0.08226983,0.029908724,0.06652227,-0.033456106,0.025717894,0.10474885,0.09588183,0.054254577,0.031132303,0.082303196,0.017052976,0.083386526,-0.02443078,-0.045118388,0.09916465,0.045293823,0.08339874
ENSG00000249849,0.00708592,0.08382726,0.010290785,-0.0044092825,-0.04554514,0.016753314,-0.09360124,0.025150413,0.044127353,-0.043380965,0.01219066,0.08441627,0.06775815,0.043294724,0.039240655,0.06340422,0.007015469,0.062849104,-0.03402402,-0.05527371,0.08346012,0.03204907,0.060474563
ENSG00000250909,-0.0011062106,0.050412565,-0.017196845,0.01126836,-0.026966881,0.0057138074,-0.071789965,0.035468563,0.054683644,-0.04401204,0.006675854,0.051656988,0.051260967,0.027265562,0.027588807,0.049976192,-0.019031255,0.04696669,-0.04864558,-0.053840414,0.024493497,-0.0014145906,0.049972802
ENSG00000248469,0.025741993,0.12922949,0.019665252,0.0044279774,-0.039643254,0.04293167,-0.104826435,0.041497473,0.08835124,-0.04320003,0.039079733,0.13069823,0.102785856,0.06957696,0.048505455,0.09290377,0.025401311,0.10775758,-0.032037724,-0.057739705,0.12322104,0.045491632,0.10909128
