,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (cardiac),"Myocyte (cardiac, cytoplasmic)",Pericyte/SMC,Schwann cell
ENSG00000152082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6866597,0.0,0.0
ENSG00000176771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4830977,0.0,0.0,0.0
ENSG00000152127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6437415,0.0,0.0,0.0
ENSG00000115839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8866315,0.0,0.0,0.0
ENSG00000075884,0.0,0.0,0.0,0.0,3.1582322,1.5948858,2.5168512,3.2112277,3.0560234,0.0,0.0,0.0,0.0
ENSG00000169554,2.3557978,0.0,0.0,0.0,0.0,3.1429856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204406,1.4758968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7242467,0.0,0.0,0.0
ENSG00000157827,1.5043886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9380656,0.0,0.0,0.0
ENSG00000123636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0661017,0.0,0.0,0.0
ENSG00000153250,1.2310519,0.0,0.0,2.1665335,0.0,0.0,0.0,0.0,0.0,1.4669143,0.0,0.0,0.0
ENSG00000182263,1.5616077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4685209
ENSG00000136546,0.0,0.0,0.0,2.7403724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2830715
ENSG00000198648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0576246,0.0,0.0,0.0
ENSG00000172292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1288521,0.0,0.0,0.0
ENSG00000144357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6318907,0.0,0.0,0.0
ENSG00000115840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6321113,0.0,0.0,0.0
ENSG00000091436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6938705,1.7182144,0.0,0.0
ENSG00000154518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7627995,0.0,0.0
ENSG00000155657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5877204,4.374463,0.0,0.0
ENSG00000163492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5861701,0.0,0.0,0.0
ENSG00000115252,0.0,1.8052187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064989,1.5961318,2.453653,2.114244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003436,0.0,3.2048843,0.0,1.9309744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204262,1.818935,0.0,0.0,2.2470975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000081320,0.0,0.0,0.0,0.0,2.1360438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3265884,0.0,0.0,0.0
ENSG00000065413,0.0,0.0,0.0,0.0,3.108851,2.0465076,2.8109076,3.036935,2.7862883,0.0,0.0,0.0,0.0
ENSG00000115896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9043448,0.0,2.414422,0.0
ENSG00000119013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707782,0.0,0.0
ENSG00000003402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8067062,0.0,0.0,0.0
ENSG00000115993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1527365,0.0,0.0,0.0
ENSG00000138395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9531016,0.0,0.0,0.0,0.0
ENSG00000204217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1478668,0.0,0.0,0.0
ENSG00000144426,1.6866597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1483817,0.0
ENSG00000116117,1.7564029,2.021387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0465277,0.0,0.0,0.0
ENSG00000118257,0.0,1.9229517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1272798,0.0,0.0,0.0
ENSG00000178568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6769695,0.0,0.0,0.0
ENSG00000115414,0.0,0.0,0.0,2.0061994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000079308,1.8566861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9219681,1.197917,0.0,0.0
ENSG00000175084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.171388,0.0,0.0
ENSG00000135905,0.0,0.0,0.0,0.0,2.5823014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
