,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
WASF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83074901252985,0.0,0.7505037374794483,0.0,0.0,0.0,0.0,0.75,0.7567517422139645,0.761547151952982
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532567784190178,0.0,0.0,0.0,0.0,0.0,0.9375,0.0
THEMIS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.770191490650177,0.7822282202541828,0.0,0.0,0.0,0.0,0.0,0.75,0.7749428749084473,0.7930721193552017
DNAJC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATP5IF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8035385049879551,0.8074953183531761,0.0,0.759706974029541,0.75,0.7705319225788116
PHACTR4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF4,0.0,0.0,0.0,0.0,0.9393941201269627,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.45291128382086754,0.33924951031804085,0.0,0.2930346839129925,0.0,0.0,0.0,0.438419945538044,0.25135117769241333,0.45308326184749603,0.4679235443472862,0.25,0.26142995804548264,0.3210456930100918,0.2873853072524071,0.3931523971259594,0.3059552274644375
PUM1,0.0,0.0,0.9375,0.0,0.0,0.0,0.9419699646532536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8908969648182392,0.0,0.0,0.0,0.0,0.0,0.9033845588564873,0.875,0.0
KHDRBS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065325893461704,0.0,0.0,0.0,0.0,0.0,0.875,0.8889757730066776,0.0
EIF3I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.8832615092396736,0.8846139051020145,0.0
LCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MARCKSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827894121408463,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0
