,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
PHB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60684264,0.0,1.9461687
SPOP,0.0,0.0,0.0,0.0,0.0,0.0,0.4780892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,1.4978855,0.0,0.0,0.0,1.3076509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUC7L3,0.0,0.0,1.3435069,0.0,1.2985562,1.1449375,1.1944962,0.0,0.0,0.0,0.0,0.7867811,1.183969,0.0,0.6093036,0.0,1.1234839
SPAG9,0.0,0.0,0.0,0.0,1.0342816,0.0,1.1742642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NME1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5918999,0.0,0.0
MBTD1,0.0,0.0,0.0,0.0,0.0,0.0,0.6584934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOM1L1,0.0,0.0,0.0,0.0,0.0,0.0,1.0267992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLF,0.0,0.0,0.0,0.0,0.0,0.0,2.0761237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSI2,0.0,0.0,1.6714084,0.0,0.0,1.7810075,1.062505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR142HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1901038,0.700528,0.0
SUPT4H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938993,1.0293367,0.0
MTMR4,0.0,0.0,0.0,0.0,0.0,0.0,0.40337613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMP1,0.0,0.0,1.2854877,0.0,0.0,0.0,1.2181993,1.7409158,0.8185141,1.663157,1.6763369,0.0,0.0,0.0,0.81540155,0.792229,0.0
USP32,0.0,0.0,0.0,0.0,0.0,0.0,0.77108693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCAS3,0.0,0.0,1.2129843,0.0,0.9277656,1.3801014,1.9036125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED13,0.0,0.0,1.0819604,0.0,0.0,0.0,1.3358123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLK2,0.0,0.0,0.0,0.0,0.0,0.0,0.6266984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMD2,1.674925,0.0,0.0,1.5787961,0.0,0.0,0.0,0.0,0.0,1.190539,0.0,0.0,0.0,0.0,1.5994344,1.3396468,0.0
PSMC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28994852,0.0,0.0,0.0,0.0,0.0,0.5352776,0.0,0.0
CD79B,1.9259511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606584,0.0,0.0,0.0,0.0,0.0
ICAM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9733906,0.0,0.0,0.0,0.0,0.0
ERN1,0.0,0.0,0.0,0.0,0.0,0.0,2.060284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX5,2.2822747,1.7971969,0.0,2.5764725,1.7061703,1.1059998,0.6658139,1.9986256,2.2976003,1.9629009,1.6016438,1.9724295,2.572133,2.4475217,1.7434409,1.9073704,2.2036512
CEP112,0.0,0.0,0.0,0.0,0.0,0.9531547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOH,0.0,0.0,0.0,0.0,0.0,0.0,1.5860221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCA,0.0,0.0,2.0937026,0.0,2.1620982,1.7341621,1.9948666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELZ,0.0,0.0,1.2291666,0.0,1.3817741,0.7045904,1.608191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PITPNC1,0.0,0.0,0.0,0.0,0.0,0.0,1.2754966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPTF,0.0,0.0,1.3763278,0.0,1.3345997,1.2590483,1.3788674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKAR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99304885,0.0,0.0
FAM20A,0.0,0.0,0.0,0.0,0.0,0.0,0.9547491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,1.1511083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA9,0.0,0.0,0.0,0.0,0.0,0.0,0.90767837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA6,0.0,0.0,0.0,0.0,0.0,0.0,1.9091167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,1.5288169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNJ16,0.0,0.0,1.5630976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC39A11,0.0,0.0,0.0,0.0,0.0,0.0,1.458728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL38,3.1868372,2.7019117,0.0,2.6393359,0.0,0.0,0.0,2.6593895,2.8504472,3.038826,1.7353575,2.5095534,2.396079,2.8453426,2.9422345,3.1051638,2.7581758
ATP5PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9598476,0.9919001,0.0,0.79842824,0.0,0.0,0.93860805,1.0565829,0.0
JPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98164725,0.0,0.0,0.0,0.0,0.0,1.1840122,0.0,0.0
SUMO2,1.4723923,1.7859498,0.0,1.6239954,0.0,0.0,0.0,1.6212213,1.8630965,1.7913429,0.0,1.4365492,1.5953481,1.4829661,1.6121502,1.6439099,1.8069544
MIF4GD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59057695,0.0,0.0
GRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62449497,0.0
LLGL2,0.0,0.0,0.79728746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3-3B,2.3863842,3.6439853,0.0,2.7625678,0.0,0.0,0.0,2.7198489,2.4655807,2.976514,3.5944006,2.289656,3.0305042,2.641149,2.6965227,2.8589306,2.721626
ACOX1,0.0,0.0,0.0,0.0,0.0,0.0,1.2354763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8347014,0.0,0.0,1.151256,0.0,0.0,1.2039269,1.2370071,1.0644218
