,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
AP3D1,0.0,0.0,0.34612092,0.0,0.19593087,0.0,0.0,0.13385385,0.0,0.0,0.0,0.0,0.0,0.0
APH1A,0.0,0.0,0.4054485,0.24531893,0.21645865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3516476
APLP1,0.0,0.0,0.72308594,0.47093174,0.50183076,0.0,0.0,1.0358465,0.0,0.0,0.0,0.0,0.0,0.54629886
APLP2,0.0,0.0,0.5724999,0.39325756,0.75659037,0.0,0.0,0.779113,0.0,0.0,0.0,0.0,0.0,0.3062299
APOH,0.0,0.0,0.56552374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,0.0,0.0,0.88144135,0.53845394,0.76864415,0.0,0.0,0.93276036,0.0,0.0,0.0,0.0,0.0,0.4212118
APRT,0.0,0.0,0.9566946,0.52344656,0.8358635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40122712
AQP3,0.0,0.0,0.0,0.0,1.5663584,0.0,0.0,1.5013936,0.0,0.0,0.0,0.0,0.0,0.0
ARF1,0.0,0.0,1.3196466,1.0033157,1.1350577,0.0,0.0,1.0759664,0.0,0.0,0.0,0.0,0.0,1.2083539
ARF3,0.0,0.0,0.7991458,0.44529262,0.68063647,0.0,0.0,0.7409252,0.0,0.0,0.0,0.0,0.0,0.23895971
ARF4,0.0,0.0,0.9234297,0.75916564,0.87609726,0.0,0.0,0.68262887,0.0,0.0,0.0,0.0,0.0,1.2578216
ARF5,0.0,0.0,0.6584934,0.5017725,0.79800284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627325
ARFGAP3,0.0,0.0,0.19841559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARFGEF3,0.0,0.0,0.53605175,0.0,0.5494088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARFIP2,0.0,0.0,0.24919692,0.0,0.08164254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35339287
ARGLU1,0.0,0.0,0.42023283,0.1836412,0.2161885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP24,1.3427747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP5,0.0,0.0,0.0,0.0,0.2843994,0.0,0.0,0.5867861,0.0,0.0,0.0,0.0,0.0,0.0
ARHGDIA,0.0,0.0,1.009882,0.5023581,0.8187993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46415374
ARID4B,0.0,0.0,0.0,0.1668436,0.35058936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARID5B,0.0,0.0,0.0,0.32032788,0.4499992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56652725
ARL1,0.0,0.0,0.58458686,0.45062825,0.530548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6144721
ARL16,0.0,0.0,0.0,0.32032788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL2,0.0,0.0,1.0643882,0.6543957,0.75711596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5281245
ARL2BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23752831
ARL3,0.0,0.0,0.86024714,0.5663708,0.8354566,0.0,0.0,0.7681873,0.0,0.0,0.0,0.0,0.0,0.4212118
ARL4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23552738
ARL5A,0.0,0.0,0.2595729,0.3001902,0.4427374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL6IP1,0.0,0.0,0.5906633,0.43017936,0.4891045,0.0,0.0,0.4227277,0.0,0.0,0.0,0.0,0.0,0.7543613
ARL6IP4,0.0,0.0,1.3453939,1.2650858,1.3589478,0.0,0.0,0.27454904,0.0,0.0,0.0,0.0,0.0,1.1060675
ARL6IP5,0.0,0.0,0.5371282,0.4749422,0.4941225,0.0,0.0,0.34301847,0.0,0.0,0.0,0.0,0.0,0.0
ARMCX3,0.0,0.0,0.3683584,0.39443603,0.2979295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43909222
ARPC1A,0.0,0.0,0.9526652,0.76785314,0.8593133,0.0,0.0,0.3850476,0.0,0.0,0.0,0.0,0.0,0.4447691
ARPC1B,0.0,0.0,1.0071696,0.50365007,1.0003369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPC2,0.0,0.0,1.3682232,0.76472956,1.2578982,0.0,0.0,1.0489128,0.0,0.0,0.0,0.0,0.0,0.71075046
ARPC3,0.0,0.0,1.5603886,0.9178837,1.4480994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8527906
ARPC4,0.0,0.0,0.7423357,0.39194608,0.52949893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37114817
ARPC5,0.0,0.0,1.162212,0.70488805,0.92528826,0.0,0.0,0.53769934,0.0,0.0,0.0,0.0,0.0,0.56351125
ARPC5L,0.0,0.0,0.62328887,0.32633847,0.5304905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882018
ARPP19,0.0,0.0,0.81171227,0.7047974,0.6231084,0.0,0.0,0.6260401,0.0,0.0,0.0,0.0,0.0,0.9855411
ARX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56925315,0.0,0.0,0.0,0.0,0.0,0.0
ASAH1,0.0,0.0,0.6189667,0.40195042,0.49581355,0.0,0.0,0.18336204,0.0,0.0,0.0,0.0,0.0,0.3650236
ASAP1,0.0,0.0,0.0,0.27967933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASH1L,0.0,0.0,0.41475087,0.27527076,0.29734403,0.0,0.0,0.47902894,0.0,0.0,0.0,0.0,0.0,0.0
ASPH,0.0,0.0,0.63563347,0.22569245,0.27907312,0.0,0.0,0.53403217,0.0,0.0,0.0,0.0,0.0,0.0
ASPHD1,0.0,0.0,0.5412081,0.18877533,0.45779526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32898155
ATF4,0.0,0.0,1.0652597,0.7527393,0.89380395,0.0,0.0,0.63382375,0.0,0.0,0.0,0.0,0.0,1.5615705
ATG101,0.0,0.0,0.37443087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40533185
ATG3,0.0,0.0,0.47524118,0.30742544,0.398071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36933184
PGGHG,2.5608974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOX1,0.0,0.0,0.9446476,0.61023617,0.829202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4009011
ATP1A1,0.0,0.0,0.58398986,0.388836,0.47476986,0.0,0.0,0.49143738,0.0,0.0,0.0,0.0,0.0,0.24689247
ATP1B1,0.0,0.0,1.2732384,1.0451758,1.1723291,0.0,0.0,0.7793015,0.0,0.0,0.0,0.0,0.0,0.6687826
ATP1B3,0.0,0.0,0.23023543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B1,0.0,0.0,0.69709545,0.2855071,0.5444696,0.0,0.0,0.51181567,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MJ,0.0,0.0,1.4658501,1.2738547,1.5078523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0427303
ATP5MK,0.0,0.0,1.6881738,1.3085568,1.4917319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2564743
