,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
H3-3A,2.2480438,2.3564029,0.0,2.5175066,2.4193428,2.3942237,2.4015574,2.1864185,2.200788,2.294614,1.9910352,1.9847825,2.3539276
ARF1,0.90183836,0.8162847,0.0,0.19038586,0.0,1.1338127,0.0,0.0,0.0,0.0,0.0,0.0,0.79815954
GUK1,1.6454837,1.7613757,0.0,2.0302474,1.2266072,1.5137166,1.4636512,1.6207333,1.2451371,1.4538978,1.6014857,1.4367936,1.7752846
IRF2BP2,1.1298971,1.0424687,0.0,0.0,0.0,0.7523683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMM20,0.8532852,0.8299304,0.0,0.0,0.0,0.6641624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPU,0.70027256,0.9621577,0.0,0.0,0.0,0.0,0.0,1.2764757,0.0,0.0,0.0,0.0,0.7083881
RPS7,3.5088274,3.3036149,0.0,3.1837869,2.8898401,3.0702806,2.8188987,3.1238794,2.6679792,2.643775,2.4838226,3.2665484,3.0545409
ID2,0.0,0.0,0.0,1.0900477,2.2390049,0.20807007,0.0,0.0,0.0,1.5794075,0.0,1.6745725,0.0
YWHAQ,1.1384068,1.1100757,0.0,0.9679408,0.0,1.1489941,1.1212626,1.3020132,1.1418796,1.2509801,1.3508826,0.0,0.8379604
LAPTM4A,1.6949587,1.791343,0.0,1.8151085,1.5159314,1.993131,2.63408,1.9549215,2.6297293,2.5736704,2.5120656,0.0,1.6599302
RHOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4347392,0.0,0.0,0.0,0.0,0.0
SF3B6,1.3345945,1.2531202,0.0,0.0,0.0,0.9013167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB10,1.3980714,1.1564777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OST4,1.5145463,1.2854877,0.0,1.7003561,1.3913784,1.6065642,1.675736,1.327708,1.3100502,1.5486419,1.7275679,1.850784,1.4879886
ATRAID,0.0,0.0,0.0,0.0,0.0,0.39717388,0.0,0.0,0.0,0.0,0.954089,0.0,0.0
MRPL33,0.0,0.0,0.0,0.36544573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.930906
FOSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916322,0.0,0.0,0.0,0.0,0.98333615
PPP1CB,1.2712352,1.5058125,0.0,0.75872886,1.7024407,1.0901839,0.0,1.5630976,0.0,0.0,1.0907197,1.6520432,0.7844426
LBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2792764,0.0,0.0,0.0,0.0,0.0
QPCT,0.0,0.0,0.0,0.0,0.0,1.6282605,0.0,0.0,0.0,0.0,1.1883972,0.0,0.0
CDC42EP3,0.0,0.0,0.0,0.0,0.0,0.6453455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF7,0.66270155,0.86921656,0.0,0.0,0.0,0.6783335,0.0,0.0,0.0,0.0,0.0,1.3778788,0.0
EML4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2242274,0.0
COX7A2L,0.71881694,0.9732369,0.0,0.55975294,0.0,0.70331246,0.0,0.0,0.0,0.0,0.0,0.0,0.6034962
ZFP36L2,2.1552665,2.459993,0.0,1.6534091,0.0,1.5109589,2.0070353,0.0,2.2335923,2.8553212,2.369082,2.541495,1.486663
EPAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0467676
CALM2,2.519998,2.7969208,0.0,2.4529138,2.3763583,2.5858796,2.473734,2.9394321,2.545781,2.7215943,2.390654,2.3276236,2.3693016
SPTBN1,0.0,0.0,0.0,1.4015932,0.0,0.43741384,0.0,0.0,0.0,0.0,0.0,0.0,0.97750807
RTN4,1.9892629,2.1803377,0.0,1.5043907,1.2973468,1.7777317,1.7259549,1.1767809,1.7583878,1.7261426,1.8688676,0.0,1.29561
RPS27A,4.072579,4.0612197,0.0,3.929994,3.5662324,3.623509,3.6242435,3.8474112,3.7992601,3.5954595,3.3808465,4.24303,3.8436382
EFEMP1,0.0,0.0,0.0,1.2177525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL,1.1857815,1.4433068,0.0,0.0,2.4900725,0.7931557,0.0,0.0,0.0,0.0,0.0,1.3537487,1.2266062
PELI1,0.0,0.7043097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB1A,0.9382606,1.0498964,0.0,0.0,0.0,0.94562864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP1,1.4515147,1.4794651,0.0,1.4692998,1.6858832,1.4984248,1.1964695,1.3493451,1.191336,0.8410236,1.2756361,1.3438209,1.4491407
SNRPG,1.0316552,1.0459286,0.0,0.0,0.0,1.0405704,0.0,0.0,0.0,0.0,0.0,0.0,0.5832365
MTHFD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1170812,0.0,0.0,0.0,0.0,0.0
POLE4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85592324
TMSB10,2.6192834,2.6701868,0.0,4.1345444,4.1108737,3.4930232,3.7542377,2.7924404,3.7558625,3.7523797,3.9792202,3.9877892,4.22753
VAMP8,1.0889727,0.88629603,0.0,0.0,1.0234194,0.87037104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP5,0.0,0.0,0.0,0.9215603,0.0,1.0788116,0.0,0.0,0.0,0.0,0.0,0.0,1.1065414
RNF181,0.0,0.0,0.0,0.0,0.0,0.40139037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSP2,0.0,0.0,0.0,0.0,1.4471484,0.0,0.0,0.0,0.0,0.0,0.0,1.8535022,0.0
ARID5A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2988002,0.0,0.0,0.0,0.0,1.0500171
COX5B,1.3913405,1.2211839,0.0,1.522156,1.4177767,1.7769151,1.2552693,1.5401914,0.0,0.98239446,1.096551,0.0,1.3423567
EIF5B,1.0257077,1.0871452,0.0,0.0,0.0,0.61177266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL31,3.4550986,3.2760732,0.0,3.4219196,3.1632013,3.0026462,3.3825629,3.314676,3.386636,3.2533014,3.1030173,3.7305021,3.371166
IL1R2,0.0,0.0,0.0,0.0,1.7694058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHL2,0.7773232,1.4139961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMS1,0.0,0.0,0.0,1.1675526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1B,0.0,0.0,0.0,0.0,1.2921523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1RN,0.7735311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3,1.1254485,1.2334608,0.0,0.0,0.8939965,0.39717388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX18,0.0,0.5626974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBI,1.5645908,0.8311721,0.0,0.7788131,1.5887243,1.5758493,0.0,0.0,0.0,0.93272525,1.2257568,0.0,0.70340264
GYPC,0.0,0.0,0.0,1.4656115,0.0,0.7684108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MZT2B,1.1174961,1.006758,0.0,1.4392457,0.0,1.196691,0.9399994,0.0,0.0,0.0,0.9736504,0.0,0.0
